Tabela 1383 - Taxa de alfabetização das pessoas de 10 anos ou mais de idade por sexo;;;
Ano;Cód.;Microrregião Geográfica;taxa_alfab
2010;24017;Macaíba (RN);81
2010;24018;Natal (RN);91,9
2010;24019;Litoral Sul (RN);75,2
2010;25001;Catolé do Rocha (PB);72,1
2010;25002;Cajazeiras (PB);77,2
2010;25003;Sousa (PB);74,7
2010;25004;Patos (PB);81
2010;25005;Piancó (PB);70
2010;25006;Itaporanga (PB);72,4
2010;25007;Serra do Teixeira (PB);73,8
2010;25008;Seridó Ocidental Paraibano (PB);79,1
2010;25009;Seridó Oriental Paraibano (PB);76,5
2010;25010;Cariri Ocidental (PB);76,5
2010;25011;Cariri Oriental (PB);78
2010;25012;Curimataú Ocidental (PB);72,4
2010;25013;Curimataú Oriental (PB);67,8
2010;25014;Esperança (PB);76,4
2010;25015;Brejo Paraibano (PB);70,1
2010;25016;Guarabira (PB);73,2
2010;25017;Campina Grande (PB);86,6
2010;25018;Itabaiana (PB);68,6
2010;25019;Umbuzeiro (PB);67,7
2010;25020;Litoral Norte (PB);71,4
2010;25021;Sapé (PB);69,7
2010;25022;João Pessoa (PB);89,9
2010;25023;Litoral Sul (PB);75
2010;26001;Araripina (PE);74,8
2010;26002;Salgueiro (PE);79,4
2010;26003;Pajeú (PE);78,1
2010;26004;Sertão do Moxotó (PE);75,3
2010;26005;Petrolina (PE);85,5
2010;26006;Itaparica (PE);80,5
2010;26007;Vale do Ipanema (PE);65,3
2010;26008;Vale do Ipojuca (PE);78,6
2010;26009;Alto Capibaribe (PE);79,3
2010;26010;Médio Capibaribe (PE);73,4
2010;26011;Garanhuns (PE);73,4
2010;26012;Brejo Pernambucano (PE);69,4
2010;26013;Mata Setentrional Pernambucana (PE);79
2010;26014;Vitória de Santo Antão (PE);77,3
2010;26015;Mata Meridional Pernambucana (PE);75,9
2010;26016;Itamaracá (PE);85,2
2010;26017;Recife (PE);92,3
2010;26018;Suape (PE);85,8
2010;26019;Fernando de Noronha (PE);95,1
2010;27001;Serrana do Sertão Alagoano (AL);66,6
2010;27002;Alagoana do Sertão do São Francisco (AL);75,4
2010;27003;Santana do Ipanema (AL);70,3
2010;27004;Batalha (AL);69,5
2010;27005;Palmeira dos Índios (AL);71
2010;27006;Arapiraca (AL);73
2010;27007;Traipu (AL);61,9
2010;27008;Serrana dos Quilombos (AL);69,7
2010;27009;Mata Alagoana (AL);69,7
2010;27010;Litoral Norte Alagoano (AL);72,1
2010;27011;Maceió (AL);87,1
2010;27012;São Miguel dos Campos (AL);75,8
2010;27013;Penedo (AL);73,5
2010;28001;Sergipana do Sertão do São Francisco (SE);71,9
2010;28002;Carira (SE);71,7
2010;28003;Nossa Senhora das Dores (SE);74,2
2010;28004;Agreste de Itabaiana (SE);78
2010;28005;Tobias Barreto (SE);74,5
2010;28006;Agreste de Lagarto (SE);76,6
2010;28007;Propriá (SE);78,7
2010;28008;Cotinguiba (SE);77,9
2010;28009;Japaratuba (SE);76,8
2010;28010;Baixo Cotinguiba (SE);85,1
2010;28011;Aracaju (SE);92,3
2010;28012;Boquim (SE);74,9
2010;28013;Estância (SE);79,7
2010;29001;Barreiras (BA);86,5
2010;29002;Cotegipe (BA);77,4
2010;29003;Santa Maria da Vitória (BA);77,8
2010;29004;Juazeiro (BA);81,2
2010;29005;Paulo Afonso (BA);81,1
2010;29006;Barra (BA);78,5
2010;29007;Bom Jesus da Lapa (BA);79,5
2010;29008;Senhor do Bonfim (BA);79,9
2010;29009;Irecê (BA);82,7
2010;29010;Jacobina (BA);79,8
2010;29011;Itaberaba (BA);78,6
2010;29012;Feira de Santana (BA);86
2010;29013;Jeremoabo (BA);67,5
2010;29014;Euclides da Cunha (BA);73,4
2010;29015;Ribeira do Pombal (BA);72,3
2010;29016;Serrinha (BA);79,4
2010;29017;Alagoinhas (BA);83,1
2010;29018;Entre Rios (BA);80,6
2010;29019;Catu (BA);88,6
2010;29020;Santo Antônio de Jesus (BA);84,2
2010;29021;Salvador (BA);95,4
2010;29022;Boquira (BA);77,4
2010;29023;Seabra (BA);81,5
2010;29024;Jequié (BA);78,8
2010;29025;Livramento do Brumado (BA);78,9
2010;29026;Guanambi (BA);79,7
2010;29027;Brumado (BA);77,1
2010;29028;Vitória da Conquista (BA);80,5
2010;29029;Itapetinga (BA);79,4
2010;29030;Valença (BA);78,9
2010;29031;Ilhéus-Itabuna (BA);81,7
2010;29032;Porto Seguro (BA);83,3
2010;31001;Unaí (MG);89,3
2010;31002;Paracatu (MG);91,7
2010;31003;Januária (MG);82,8
2010;31004;Janaúba (MG);81,9
2010;31005;Salinas (MG);79,1
2010;31006;Pirapora (MG);89,2
2010;31007;Montes Claros (MG);89,3
2010;31008;Grão Mogol (MG);82,2
2010;31009;Bocaiúva (MG);87,2
2010;31010;Diamantina (MG);89,9
2010;31011;Capelinha (MG);82
2010;31012;Araçuaí (MG);79,6
2010;31013;Pedra Azul (MG);80,4
