Tabela 74 - Produção de origem animal, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto de origem animal - Total;;;
;Ano;;
Baião (PA);1749;2625;3809
Bannach (PA);3451;3527;4580
Barcarena (PA);133;147;146
Belém (PA);38;103;122
Belterra (PA);777;835;805
Benevides (PA);2104;3440;1295
Bom Jesus do Tocantins (PA);5082;16234;17842
Bonito (PA);320;315;102
Bragança (PA);820;1116;1143
Brasil Novo (PA);3242;3656;3921
Brejo Grande do Araguaia (PA);2667;2941;3778
Breu Branco (PA);5070;2777;3227
Breves (PA);146;183;183
Bujaru (PA);986;979;964
Cachoeira do Piriá (PA);370;423;573
Cachoeira do Arari (PA);2381;2253;2908
Cametá (PA);674;822;938
Canaã dos Carajás (PA);8173;9053;11367
Capanema (PA);1101;1555;1030
Capitão Poço (PA);1692;1792;1278
Castanhal (PA);6156;6556;7144
Chaves (PA);3168;4054;4067
Colares (PA);278;307;147
Conceição do Araguaia (PA);4113;10014;7746
Concórdia do Pará (PA);971;1160;1152
Cumaru do Norte (PA);11696;8281;8503
Curionópolis (PA);4898;5268;7033
Curralinho (PA);47;69;72
Curuá (PA);6066;8327;8797
Curuçá (PA);1743;970;966
Dom Eliseu (PA);13843;13092;13627
Eldorado do Carajás (PA);10272;12691;16683
Faro (PA);1200;1774;1795
Floresta do Araguaia (PA);7203;3354;3495
Garrafão do Norte (PA);582;739;982
Goianésia do Pará (PA);916;620;607
Gurupá (PA);426;468;493
Igarapé-Açu (PA);1034;1052;1041
Igarapé-Miri (PA);194;241;241
Inhangapi (PA);226;264;294
Ipixuna do Pará (PA);6663;7029;7481
Irituia (PA);1947;2029;1742
Itaituba (PA);23152;25072;25728
Itupiranga (PA);6682;7927;10005
Jacareacanga (PA);516;532;576
Jacundá (PA);2729;1468;2388
Juruti (PA);2664;3034;3992
Limoeiro do Ajuru (PA);103;122;131
Mãe do Rio (PA);4922;4480;4773
Magalhães Barata (PA);16;21;19
Marabá (PA);10122;11659;15032
Maracanã (PA);65;78;91
Marapanim (PA);70;89;81
Marituba (PA);412;1183;835
Medicilândia (PA);1724;1861;1809
Melgaço (PA);63;90;91
Mocajuba (PA);295;398;498
Moju (PA);1148;1235;1301
Mojuí dos Campos (PA);583;656;670
Monte Alegre (PA);4381;4814;7573
Muaná (PA);549;529;703
Nova Esperança do Piriá (PA);471;487;482
Nova Ipixuna (PA);2321;2677;3442
Nova Timboteua (PA);590;718;536
Novo Progresso (PA);3304;3424;3643
Novo Repartimento (PA);8258;5290;6396
Óbidos (PA);13872;16486;17648
Oeiras do Pará (PA);66;93;115
Oriximiná (PA);17057;20417;25322
Ourém (PA);749;615;286
Ourilândia do Norte (PA);8640;11454;13947
Pacajá (PA);10794;11499;10976
Palestina do Pará (PA);1221;1446;2054
Paragominas (PA);25113;19958;22266
Parauapebas (PA);2471;2592;3310
Pau D'Arco (PA);1711;2925;2180
Peixe-Boi (PA);540;554;462
Piçarra (PA);17322;19509;23640
Placas (PA);5421;6691;4922
Ponta de Pedras (PA);2777;2424;3177
Portel (PA);449;610;562
Porto de Moz (PA);11171;10576;10961
Prainha (PA);11568;11848;13132
Primavera (PA);197;124;91
Quatipuru (PA);121;130;134
Redenção (PA);11835;5453;4067
Rio Maria (PA);14895;16087;20720
Rondon do Pará (PA);3754;4234;4758
Rurópolis (PA);4731;5203;3708
Salinópolis (PA);90;82;82
Salvaterra (PA);318;412;486
Santa Bárbara do Pará (PA);597;960;809
Santa Cruz do Arari (PA);1310;1206;1359
Santa Izabel do Pará (PA);26360;35002;39455
Santa Luzia do Pará (PA);481;533;928
Santa Maria das Barreiras (PA);5358;10046;8744
Santa Maria do Pará (PA);586;758;744
Santana do Araguaia (PA);6831;7187;5707
Santarém (PA);20086;20957;23073
Santarém Novo (PA);161;132;115
Santo Antônio do Tauá (PA);8400;12288;14333
São Caetano de Odivelas (PA);958;1251;933
São Domingos do Araguaia (PA);6790;7905;10253
São Domingos do Capim (PA);921;874;871
São Félix do Xingu (PA);15734;16522;21431
São Francisco do Pará (PA);399;507;473
São Geraldo do Araguaia (PA);9040;9480;11878
São João da Ponta (PA);76;91;65
São João de Pirabas (PA);239;234;297
São João do Araguaia (PA);1733;2049;2674
São Miguel do Guamá (PA);668;817;811
São Sebastião da Boa Vista (PA);11;11;13
Sapucaia (PA);1498;1797;2424
Senador José Porfírio (PA);646;672;642
Soure (PA);1760;2385;2232
Tailândia (PA);14;17;252
Terra Alta (PA);147;184;167
Terra Santa (PA);4443;5250;5549
Tomé-Açu (PA);4089;4871;5131
Tracuateua (PA);258;399;311
Trairão (PA);2258;2536;2938
Tucumã (PA);10794;11392;14478
Tucuruí (PA);3950;1700;1208
Ulianópolis (PA);5795;5858;6255
Uruará (PA);2272;2953;2655
Vigia (PA);1232;2061;1845
Viseu (PA);892;903;906
Vitória do Xingu (PA);516;521;465
Xinguara (PA);13334;18935;22666
Serra do Navio (AP);279;76;110
Amapá (AP);6149;2728;2558
Pedra Branca do Amapari (AP);469;74;85
Calçoene (AP);962;686;744
Cutias (AP);1123;111;124
Ferreira Gomes (AP);465;160;185
Itaubal (AP);678;223;253
Laranjal do Jari (AP);404;331;392
Macapá (AP);5176;2941;2947
Mazagão (AP);493;362;393
Oiapoque (AP);570;279;320
Porto Grande (AP);1172;632;705
Pracuúba (AP);952;330;377
Santana (AP);697;331;345
Tartarugalzinho (AP);1276;1105;1284
Vitória do Jari (AP);318;186;185
Abreulândia (TO);1959;4270;4374
Aguiarnópolis (TO);414;448;502
Aliança do Tocantins (TO);1560;2531;3521
Almas (TO);2605;2758;3173
Alvorada (TO);1475;2129;2925
Ananás (TO);2743;2955;4144
Angico (TO);376;534;639
Aparecida do Rio Negro (TO);1046;1074;1290
Aragominas (TO);2043;3072;3340
Araguacema (TO);1611;2774;3068
Araguaçu (TO);8214;11918;16632
Araguaína (TO);9142;5321;6091
Araguanã (TO);1900;941;1362
Araguatins (TO);5649;5271;5219
Arapoema (TO);7267;7218;8756
Arraias (TO);5545;8028;6399
Augustinópolis (TO);2090;2405;2438
Aurora do Tocantins (TO);1913;2189;3267
Axixá do Tocantins (TO);1267;2036;2108
Babaçulândia (TO);24205;22122;23264
Bandeirantes do Tocantins (TO);6467;6926;7880
Barra do Ouro (TO);1372;640;929
Barrolândia (TO);2590;3134;2982
Bernardo Sayão (TO);4555;5136;6481
Bom Jesus do Tocantins (TO);1297;1567;1893
Brasilândia do Tocantins (TO);1574;1951;1984
Brejinho de Nazaré (TO);2898;2927;2739
Buriti do Tocantins (TO);855;1340;1226
Cachoeirinha (TO);54;92;115
Campos Lindos (TO);1800;787;1425
Cariri do Tocantins (TO);1709;1978;2926
Carmolândia (TO);1116;337;515
Carrasco Bonito (TO);675;920;952
Caseara (TO);1248;1389;1849
Centenário (TO);912;1029;1359
Chapada de Areia (TO);1202;1423;1746
Chapada da Natividade (TO);2398;2055;2394
Colinas do Tocantins (TO);5235;6241;7126
Combinado (TO);1730;1644;2126
Conceição do Tocantins (TO);2147;1526;2485
Couto Magalhães (TO);2077;2910;3207
Cristalândia (TO);2615;2740;2574
Crixás do Tocantins (TO);1041;1206;1469
Darcinópolis (TO);271;1217;82198
Dianópolis (TO);3002;2356;3025
Divinópolis do Tocantins (TO);3837;4221;4768
Dois Irmãos do Tocantins (TO);4607;5061;6412
Dueré (TO);1991;2925;4038
Esperantina (TO);1306;1722;1653
Fátima (TO);1057;1203;1286
Figueirópolis (TO);1994;2831;3874
Filadélfia (TO);4786;1982;2227
Formoso do Araguaia (TO);4344;6429;8402
Fortaleza do Tabocão (TO);2878;3308;3813
Goianorte (TO);3899;4397;5819
Goiatins (TO);2842;1448;1616
Guaraí (TO);3978;4227;9302
