Tabela 74 - Produção de origem animal, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto de origem animal - Total;;;
;Ano;;
Santana dos Garrotes (PB);2302;2371;2332
Joca Claudino (PB);503;500;419
Santa Rita (PB);1062;996;1257
Santa Teresinha (PB);806;951;1164
Santo André (PB);340;363;452
São Bento (PB);2095;2513;3217
São Bentinho (PB);736;866;930
São Domingos do Cariri (PB);420;436;493
São Domingos (PB);678;1052;1287
São Francisco (PB);794;746;687
São João do Cariri (PB);557;633;807
São João do Tigre (PB);356;359;414
São José da Lagoa Tapada (PB);1258;1288;1398
São José de Caiana (PB);1295;1302;1274
São José de Espinharas (PB);1165;1496;1790
São José dos Ramos (PB);448;497;592
São José de Piranhas (PB);5202;5525;4855
São José de Princesa (PB);680;565;825
São José do Bonfim (PB);272;319;448
São José do Brejo do Cruz (PB);590;759;898
São José do Sabugi (PB);1123;1274;1468
São José dos Cordeiros (PB);474;662;849
São Mamede (PB);2057;2443;2688
São Miguel de Taipu (PB);307;350;352
São Sebastião de Lagoa de Roça (PB);328;396;477
São Sebastião do Umbuzeiro (PB);313;364;442
Sapé (PB);611;617;696
São Vicente do Seridó (PB);699;652;676
Serra Branca (PB);404;466;611
Serra da Raiz (PB);518;529;557
Serra Grande (PB);488;531;528
Serra Redonda (PB);1247;1322;1392
Serraria (PB);1040;1148;1309
Sertãozinho (PB);4402;5801;2392
Sobrado (PB);197;211;245
Solânea (PB);1823;2059;2183
Soledade (PB);3815;4233;4333
Sossêgo (PB);158;193;211
Sousa (PB);5707;6124;7022
Sumé (PB);1053;987;1492
Tacima (PB);1080;1237;1355
Taperoá (PB);2854;2986;3129
Tavares (PB);931;761;901
Teixeira (PB);340;331;457
Tenório (PB);324;375;395
Triunfo (PB);1706;1494;1637
Uiraúna (PB);1439;1562;1597
Umbuzeiro (PB);2280;2613;2677
Várzea (PB);757;1087;1167
Vieirópolis (PB);738;736;664
Zabelê (PB);284;384;477
Abreu e Lima (PE);695;1090;1406
Afogados da Ingazeira (PE);1232;1096;3408
Afrânio (PE);3113;5662;4394
Agrestina (PE);11145;11700;8325
Água Preta (PE);2459;2641;3267
Águas Belas (PE);15362;34520;58684
Alagoinha (PE);4826;4485;5945
Aliança (PE);6190;6639;8380
Altinho (PE);1551;3366;3324
Amaraji (PE);3024;3654;4510
Angelim (PE);13375;16986;24301
Araçoiaba (PE);76;120;165
Araripina (PE);4155;4895;4564
Arcoverde (PE);11419;16345;15566
Barra de Guabiraba (PE);1245;2421;4540
Barreiros (PE);937;1796;1881
Belém de Maria (PE);309;794;605
Belém do São Francisco (PE);1647;2603;3268
Belo Jardim (PE);32439;50971;63754
Betânia (PE);871;1099;724
Bezerros (PE);5517;8108;7985
Bodocó (PE);14319;26507;19382
Bom Conselho (PE);33841;83883;100310
Bom Jardim (PE);3635;2917;2806
Bonito (PE);2024;2793;4885
Brejão (PE);24387;16963;34045
Brejinho (PE);566;657;1014
Brejo da Madre de Deus (PE);1460;840;870
Buenos Aires (PE);499;794;863
Buíque (PE);57674;59337;77082
Cabo de Santo Agostinho (PE);988;766;1193
Cabrobó (PE);3420;2826;3470
Cachoeirinha (PE);7375;7465;9129
Caetés (PE);9127;9714;13112
Calçado (PE);1255;1964;2152
Calumbi (PE);367;446;491
Camaragibe (PE);1799;2015;2586
Camocim de São Félix (PE);347;1213;1225
Camutanga (PE);487;644;826
Canhotinho (PE);7869;26028;24499
Capoeiras (PE);9864;11511;12496
Carnaíba (PE);1469;1237;1756
Carnaubeira da Penha (PE);1685;1263;1505
Carpina (PE);6023;8174;4675
Caruaru (PE);26301;54097;41715
Casinhas (PE);6616;3391;3877
Catende (PE);661;816;723
Cedro (PE);2802;2169;2598
Chã de Alegria (PE);161;17102;662
Chã Grande (PE);487;773;955
Condado (PE);864;600;1084
Correntes (PE);9931;13402;22360
Cortês (PE);150;353;589
Cumaru (PE);2436;4470;4715
Cupira (PE);917;1054;1319
Custódia (PE);4996;4365;7295
Dormentes (PE);1900;1832;2838
Escada (PE);441;765;1747
Exu (PE);12550;22967;19712
Feira Nova (PE);1590;2348;2676
Fernando de Noronha (PE);...;32;34
Ferreiros (PE);1131;944;1225
Flores (PE);1767;2277;2111
Floresta (PE);1893;2405;1376
Frei Miguelinho (PE);1525;2964;3103
Gameleira (PE);307;526;1085
Garanhuns (PE);9425;15057;27693
Glória do Goitá (PE);11917;61824;12093
Goiana (PE);32580;39793;44266
Granito (PE);3210;9326;10110
Gravatá (PE);5353;4722;6461
Iati (PE);11120;18355;18756
Ibimirim (PE);7364;7497;2767
Ibirajuba (PE);3699;4719;5118
Igarassu (PE);1548;4716;5526
Iguaracy (PE);2050;1580;2338
Inajá (PE);2305;2798;1662
Ingazeira (PE);844;602;1010
Ipojuca (PE);894;847;1266
Ipubi (PE);436;532;1150
Itacuruba (PE);870;675;843
Itaíba (PE);46227;55147;52656
Ilha de Itamaracá (PE);150;196;564
Itambé (PE);2490;1856;3524
Itapetim (PE);1682;1845;3212
Itapissuma (PE);209;118;235
Itaquitinga (PE);3244;3496;4784
Jaboatão dos Guararapes (PE);2709;2864;3461
Jaqueira (PE);187;403;662
Jataúba (PE);707;788;750
Jatobá (PE);504;578;590
João Alfredo (PE);1371;1392;1524
Joaquim Nabuco (PE);108;181;269
Jucati (PE);1799;6531;7475
Jupi (PE);1944;8238;8095
Jurema (PE);2700;5634;6209
Lagoa do Carro (PE);18650;14617;23182
Lagoa de Itaenga (PE);1700;1727;1938
Lagoa do Ouro (PE);2200;4168;15412
Lagoa dos Gatos (PE);792;694;1003
Lagoa Grande (PE);2230;2411;2706
Lajedo (PE);12172;16933;18631
Limoeiro (PE);2485;9199;9760
Macaparana (PE);2471;2027;4400
Machados (PE);809;145;375
Manari (PE);5903;5215;3138
Maraial (PE);696;848;1035
Mirandiba (PE);3626;2675;3320
Moreno (PE);7847;12622;16114
Nazaré da Mata (PE);6084;12538;16658
Olinda (PE);255;116;181
Orobó (PE);43522;49647;58249
Orocó (PE);1361;1611;2056
Ouricuri (PE);7645;6092;6450
Palmares (PE);816;11082;1815
Palmeirina (PE);3453;4740;9501
Panelas (PE);1701;1675;1927
Paranatama (PE);414;473;1744
Parnamirim (PE);15771;11098;13932
Passira (PE);8836;4117;4559
Paudalho (PE);62257;120672;94290
Paulista (PE);1445;976;2432
Pedra (PE);54782;79733;47821
Pesqueira (PE);17334;22863;21931
Petrolândia (PE);3500;3940;5301
Petrolina (PE);5783;5932;6688
Poção (PE);2933;2325;3115
Pombos (PE);10250;11844;8614
Primavera (PE);295;506;1474
Quipapá (PE);1624;2114;3071
Quixaba (PE);903;594;1455
Recife (PE);91;226;364
Riacho das Almas (PE);6355;9505;5265
Ribeirão (PE);858;1432;3217
Rio Formoso (PE);294;558;853
Sairé (PE);5856;14322;9996
Salgadinho (PE);1091;837;926
Salgueiro (PE);7582;5914;7032
Saloá (PE);4765;14090;6857
Sanharó (PE);15360;16450;15900
Santa Cruz (PE);1461;1508;1485
Santa Cruz da Baixa Verde (PE);757;992;1138
Santa Cruz do Capibaribe (PE);622;889;503
Santa Filomena (PE);646;1050;1188
Santa Maria da Boa Vista (PE);3354;2877;4202
Santa Maria do Cambucá (PE);1227;1227;1350
Santa Terezinha (PE);786;790;1305
São Benedito do Sul (PE);971;1363;1642
São Bento do Una (PE);213527;217933;268202
São Caitano (PE);5656;9550;7380
São João (PE);10154;8661;14972
São Joaquim do Monte (PE);1813;3552;3404
São José da Coroa Grande (PE);517;1487;801
São José do Belmonte (PE);2926;3707;4142
São José do Egito (PE);13467;13080;18015
São Lourenço da Mata (PE);916;1911;2135
São Vicente Férrer (PE);1878;1400;1986
Serra Talhada (PE);5423;7471;7157
Serrita (PE);6812;4954;6033
Sertânia (PE);3848;11800;7585
Sirinhaém (PE);176;318;429
Moreilândia (PE);5191;3360;4139
Solidão (PE);505;533;946
Surubim (PE);9048;5759;5446
Tabira (PE);2486;1703;3134
Tacaimbó (PE);5619;9467;11010
Tacaratu (PE);870;1061;1075
Tamandaré (PE);323;503;762
Taquaritinga do Norte (PE);990;884;880
Terezinha (PE);3223;3201;6598
Terra Nova (PE);2369;1673;2070
Timbaúba (PE);6586;4929;7324
Toritama (PE);376;288;255
Tracunhaém (PE);2620;2140;2462
Trindade (PE);416;616;822
Triunfo (PE);680;874;963
Tupanatinga (PE);28545;35354;34656
Tuparetama (PE);864;990;1446
Venturosa (PE);20659;36921;37646
Verdejante (PE);1847;1478;1750
Vertente do Lério (PE);943;1321;1338
Vertentes (PE);8235;3967;2752
Vicência (PE);1462;1601;2732
Vitória de Santo Antão (PE);17800;11952;11353
Xexéu (PE);399;732;975
Água Branca (AL);1036;1364;2205
Anadia (AL);1770;1159;3526
Arapiraca (AL);59367;80801;68521
Atalaia (AL);897;455;5115
Barra de Santo Antônio (AL);204;207;325
Barra de São Miguel (AL);15;32;53
Batalha (AL);16872;27794;27287
Belém (AL);4429;4713;4890
Belo Monte (AL);6799;11371;13571
Boca da Mata (AL);374;545;4520
Branquinha (AL);358;610;1749
Cacimbinhas (AL);12122;12376;15099
Cajueiro (AL);654;347;487
Campestre (AL);31;31;551
Campo Alegre (AL);591;383;870
Campo Grande (AL);744;584;3396
Canapi (AL);2037;3771;6880
Capela (AL);532;383;2693
Carneiros (AL);1247;1266;1316
Chã Preta (AL);2508;1783;5569
Coité do Nóia (AL);2465;4069;5334
Colônia Leopoldina (AL);303;576;707
Coqueiro Seco (AL);34;12;14
Coruripe (AL);1663;1061;4856
Craíbas (AL);10266;16856;18665
Delmiro Gouveia (AL);865;1394;3365
Dois Riachos (AL);5311;5473;6428
Estrela de Alagoas (AL);8806;7209;9601
Feira Grande (AL);4961;7994;8193
Feliz Deserto (AL);103;46;70
Flexeiras (AL);679;1040;2560
Girau do Ponciano (AL);9237;15080;17416
Ibateguara (AL);1176;1895;3079
Igaci (AL);11089;11150;11467
Igreja Nova (AL);2147;1731;10132
Inhapi (AL);2331;2999;7067
Jacaré dos Homens (AL);13489;22965;25925
Jacuípe (AL);74;86;1278
Japaratinga (AL);59;59;381
Jaramataia (AL);6741;11256;5789
Jequiá da Praia (AL);42;41;109
Joaquim Gomes (AL);996;1879;3095
Jundiá (AL);126;143;691
Junqueiro (AL);958;1299;3478
Lagoa da Canoa (AL);3331;5553;7645
Limoeiro de Anadia (AL);1008;643;4782
Maceió (AL);524;900;990
Major Isidoro (AL);27607;28759;34970
Maragogi (AL);287;340;1642
Maravilha (AL);2174;4445;5050
Marechal Deodoro (AL);156;76;1064
Maribondo (AL);1428;979;4062
Mar Vermelho (AL);820;522;556
Mata Grande (AL);2134;2645;3745
Matriz de Camaragibe (AL);187;191;935
Messias (AL);58;55;66
Minador do Negrão (AL);10510;10727;9713
Monteirópolis (AL);3541;6781;7683
Murici (AL);2048;2049;5295
Novo Lino (AL);289;580;754
Olho d'Água das Flores (AL);3182;3458;3904
Olho d'Água do Casado (AL);1120;1283;2370
Olho d'Água Grande (AL);810;557;3403
Olivença (AL);3642;7517;8105
Ouro Branco (AL);2476;3394;4274
Palestina (AL);1308;1782;2076
Palmeira dos Índios (AL);29953;30551;33167
Pão de Açúcar (AL);10116;15511;17761
Pariconha (AL);585;627;958
Paripueira (AL);2;11;11
Passo de Camaragibe (AL);331;384;582
Paulo Jacinto (AL);1036;748;638
Penedo (AL);1842;1215;5396
Piaçabuçu (AL);256;463;697
Pilar (AL);324;388;851
Pindoba (AL);305;236;1481
Piranhas (AL);1762;2932;3061
Poço das Trincheiras (AL);3259;6713;7484
Porto Calvo (AL);130;152;2970
Porto de Pedras (AL);231;272;447
Porto Real do Colégio (AL);1157;885;6831
Quebrangulo (AL);3497;2714;13416
Rio Largo (AL);191;118;737
Roteiro (AL);...;...;21
Santa Luzia do Norte (AL);119;118;116
Santana do Ipanema (AL);8270;13556;15716
Santana do Mundaú (AL);1439;2091;5259
São Brás (AL);653;433;4798
São José da Laje (AL);702;1095;3110
São José da Tapera (AL);8929;11377;13014
São Luís do Quitunde (AL);1219;2265;4080
São Miguel dos Campos (AL);1064;675;1272
São Miguel dos Milagres (AL);40;44;168
São Sebastião (AL);1079;813;6241
Satuba (AL);682;414;698
Senador Rui Palmeira (AL);2461;6866;7701
Tanque d'Arca (AL);3808;3923;4193
Taquarana (AL);4716;4857;5264
Teotônio Vilela (AL);653;408;2720
Traipu (AL);6863;11190;21280
União dos Palmares (AL);25805;20625;29282
Viçosa (AL);1814;1416;6438
Amparo do São Francisco (SE);500;242;257
Aquidabã (SE);13928;16158;11450
Aracaju (SE);267;269;288
Arauá (SE);2125;1969;2526
Areia Branca (SE);18543;16503;14725
Barra dos Coqueiros (SE);241;261;227
Boquim (SE);1485;1546;2336
Brejo Grande (SE);473;499;398
Campo do Brito (SE);1555;2208;2680
Canhoba (SE);4081;4343;4470
Canindé de São Francisco (SE);26043;26473;28496
Capela (SE);4470;5088;5856
Carira (SE);6906;6723;8264
Carmópolis (SE);205;241;246
Cedro de São João (SE);1518;1265;947
Cristinápolis (SE);1888;2026;2173
Cumbe (SE);4361;4897;5867
Divina Pastora (SE);352;354;554
Estância (SE);6470;5546;5837
Feira Nova (SE);11045;9616;9947
Frei Paulo (SE);4431;4991;6400
Gararu (SE);23260;26311;31692
General Maynard (SE);206;192;208
Gracho Cardoso (SE);8520;9201;10941
Ilha das Flores (SE);239;198;209
Indiaroba (SE);2324;2783;3740
Itabaiana (SE);5836;5578;9659
Itabaianinha (SE);3074;3115;3808
Itabi (SE);9270;10985;13014
Itaporanga d'Ajuda (SE);3951;3831;4588
Japaratuba (SE);1722;1620;2999
Japoatã (SE);6264;5582;4893
Lagarto (SE);8987;10449;10631
Laranjeiras (SE);690;544;659
Macambira (SE);1090;2300;1910
Malhada dos Bois (SE);919;769;1019
Malhador (SE);440;535;677
Maruim (SE);442;413;321
Moita Bonita (SE);718;1092;1384
Monte Alegre de Sergipe (SE);18033;18656;24066
Muribeca (SE);790;633;769
Neópolis (SE);1078;1016;1006
Nossa Senhora Aparecida (SE);2292;3126;4652
Nossa Senhora da Glória (SE);50422;50176;61259
Nossa Senhora das Dores (SE);11353;13197;13373
Nossa Senhora de Lourdes (SE);11871;13738;16527
Nossa Senhora do Socorro (SE);908;887;1041
Pacatuba (SE);3094;2899;585
Pedra Mole (SE);565;782;967
Pedrinhas (SE);650;783;846
Pinhão (SE);1311;1263;1552
Pirambu (SE);368;291;356
Poço Redondo (SE);34471;39426;51133
Poço Verde (SE);3498;5087;4100
Porto da Folha (SE);36136;37953;46714
Propriá (SE);2186;2013;1585
Riachão do Dantas (SE);4071;4841;4272
Riachuelo (SE);321;338;421
Ribeirópolis (SE);2681;3204;4203
Rosário do Catete (SE);714;587;735
Salgado (SE);2711;3632;3512
Santa Luzia do Itanhy (SE);1998;1835;1988
Santana do São Francisco (SE);290;265;310
Santa Rosa de Lima (SE);594;562;838
Santo Amaro das Brotas (SE);701;736;825
São Cristóvão (SE);31919;36517;43262
São Domingos (SE);661;775;254
São Francisco (SE);772;707;810
São Miguel do Aleixo (SE);1024;1234;2809
Simão Dias (SE);8020;10929;6589
Siriri (SE);1613;1606;1575
Telha (SE);977;687;539
Tobias Barreto (SE);5777;7960;8237
Tomar do Geru (SE);1338;1401;1635
Umbaúba (SE);610;565;747
Abaíra (BA);367;395;303
Abaré (BA);701;719;392
Acajutiba (BA);1101;1474;1164
Adustina (BA);2551;2727;3708
Água Fria (BA);8469;6183;6793
Érico Cardoso (BA);1127;1264;756
Aiquara (BA);1985;2584;2082
Alagoinhas (BA);10236;8508;3323
Alcobaça (BA);10395;3722;4373
Almadina (BA);988;1217;1091
Amargosa (BA);1982;3647;3521
Amélia Rodrigues (BA);337;595;435
América Dourada (BA);556;652;2088
Anagé (BA);6205;1929;2081
Andaraí (BA);369;605;398
Andorinha (BA);2026;3160;1898
Angical (BA);3216;5530;4264
Anguera (BA);544;529;541
Antas (BA);3329;3829;3266
Antônio Cardoso (BA);1829;1794;1229
Antônio Gonçalves (BA);1213;1770;1208
Aporá (BA);1959;5336;4817
Apuarema (BA);2715;428;399
Aracatu (BA);2821;3153;3858
Araçás (BA);2110;2078;383
Araci (BA);4152;5720;4058
Aramari (BA);2243;2417;782
Arataca (BA);321;377;362
Aratuípe (BA);416;305;253
Aurelino Leal (BA);1333;1681;1611
Baianópolis (BA);912;1890;1522
Baixa Grande (BA);2809;3265;3418
Banzaê (BA);2381;3128;2828
Barra (BA);805;1107;1422
Barra da Estiva (BA);1996;2887;1005
Barra do Choça (BA);5431;3897;3462
Barra do Mendes (BA);1237;1256;1046
Barra do Rocha (BA);1463;1543;733
Barreiras (BA);26998;41948;38821
Barro Alto (BA);832;1139;1081
Barrocas (BA);485;725;610
Barro Preto (BA);398;689;613
Belmonte (BA);3566;1394;1360
Belo Campo (BA);3516;1656;1667
Biritinga (BA);836;1212;3291
Boa Nova (BA);1463;1785;1060
Boa Vista do Tupim (BA);9060;1999;2502
Bom Jesus da Lapa (BA);8793;1792;1926
Bom Jesus da Serra (BA);1511;639;625
Boninal (BA);600;507;399
Bonito (BA);513;633;522
Boquira (BA);679;887;923
Botuporã (BA);490;877;2146
Brejões (BA);1205;434;516
Brejolândia (BA);7278;5864;6019
Brotas de Macaúbas (BA);468;667;709
Brumado (BA);4939;5631;7877
Buerarema (BA);2161;2010;3095
Buritirama (BA);566;1158;1262
Caatiba (BA);5273;2012;2231
Cabaceiras do Paraguaçu (BA);643;733;434
Cachoeira (BA);3027;3586;2562
Caculé (BA);3616;2378;3241
Caém (BA);393;2855;4235
Caetanos (BA);1974;961;926
Caetité (BA);3712;5100;4516
Cafarnaum (BA);542;722;1005
Cairu (BA);110;14;18
Caldeirão Grande (BA);918;1689;2216
Camacan (BA);3575;3141;3094
Camaçari (BA);2813;672;304
Camamu (BA);472;189;181
Campo Alegre de Lourdes (BA);1864;6705;6271
Campo Formoso (BA);3420;3964;1800
Canápolis (BA);3402;1557;881
Canarana (BA);1254;2578;2272
Canavieiras (BA);3367;5016;4795
Candeal (BA);4566;4073;2848
Candeias (BA);1021;716;744
Candiba (BA);2522;3224;5135
Cândido Sales (BA);3134;2057;1626
Cansanção (BA);859;1015;2638
Canudos (BA);998;907;609
Capela do Alto Alegre (BA);17172;10595;7426
Capim Grosso (BA);1490;3764;5306
Caraíbas (BA);3080;1537;1706
Caravelas (BA);16529;10128;11621
Cardeal da Silva (BA);1700;2165;532
Carinhanha (BA);3343;4244;2782
Casa Nova (BA);2570;5963;7637
Castro Alves (BA);924;637;538
Catolândia (BA);1335;2535;2055
Catu (BA);6864;6929;783
Caturama (BA);2429;2299;1907
Central (BA);2113;980;1132
Chorrochó (BA);241;324;420
Cícero Dantas (BA);5899;6077;7112
Cipó (BA);770;858;1156
Coaraci (BA);1927;2492;1226
Cocos (BA);3457;3728;1281
Conceição da Feira (BA);912;1384;527
Conceição do Almeida (BA);1124;1308;1418
Conceição do Coité (BA);4708;5111;5427
Conceição do Jacuípe (BA);10781;13506;17063
Conde (BA);915;1119;2476
Condeúba (BA);3834;1856;2522
Contendas do Sincorá (BA);1011;1189;870
Coração de Maria (BA);10525;11619;1746
Cordeiros (BA);1876;818;774
Coribe (BA);3995;3462;2643
Coronel João Sá (BA);3862;4665;8776
Correntina (BA);6418;5276;3502
Cotegipe (BA);2908;6989;1490
Cravolândia (BA);879;434;460
Crisópolis (BA);7753;9039;1087
Cristópolis (BA);884;1454;1492
Cruz das Almas (BA);948;1176;974
Curaçá (BA);1502;1812;1095
Dário Meira (BA);2736;2887;906
Dias d'Ávila (BA);538;100;87
Dom Basílio (BA);1501;1653;1192
Dom Macedo Costa (BA);777;886;276
Elísio Medrado (BA);1857;2057;539
Encruzilhada (BA);6694;2859;2658
Entre Rios (BA);36854;53896;43363
Esplanada (BA);1811;2669;5021
Euclides da Cunha (BA);1619;1899;8425
Eunápolis (BA);9728;11017;10875
Fátima (BA);2389;2739;2479
Feira da Mata (BA);8560;1005;900
Feira de Santana (BA);13838;16282;16547
Filadélfia (BA);1710;4763;2776
Firmino Alves (BA);2985;2433;2757
Floresta Azul (BA);5875;5790;1469
Formosa do Rio Preto (BA);1437;2083;1896
Gandu (BA);861;911;899
Gavião (BA);3416;4414;2751
Gentio do Ouro (BA);1316;364;371
Glória (BA);8051;7054;7170
Gongogi (BA);7322;7715;1732
Governador Mangabeira (BA);626;701;255
Guajeru (BA);2986;4234;1559
Guanambi (BA);6238;7171;11546
Guaratinga (BA);19066;13306;13661
Heliópolis (BA);3245;4142;3632
Iaçu (BA);10639;1225;1586
Ibiassucê (BA);2317;2423;2854
Ibicaraí (BA);4077;3858;5276
Ibicoara (BA);1056;1179;625
Ibicuí (BA);13619;10189;9212
Ibipeba (BA);1411;1477;1510
Ibipitanga (BA);811;1031;1298
Ibiquera (BA);4707;534;602
Ibirapitanga (BA);926;985;549
Ibirapuã (BA);9302;9710;13326
Ibirataia (BA);1074;1122;822
Ibitiara (BA);1273;1405;701
Ibititá (BA);1209;3549;3023
Ibotirama (BA);1033;1303;1490
Ichu (BA);1359;1821;1375
Igaporã (BA);2233;2776;3204
Igrapiúna (BA);158;45;59
Iguaí (BA);7500;7677;7828
Ilhéus (BA);3548;3336;2382
Inhambupe (BA);7176;11077;1061
Ipecaetá (BA);2594;2863;831
Ipiaú (BA);3903;4125;3296
Ipirá (BA);14221;12763;13790
Ipupiara (BA);544;1058;966
Irajuba (BA);451;500;247
Iramaia (BA);1423;1654;948
Iraquara (BA);581;1002;844
Irará (BA);3882;4903;496
Irecê (BA);2268;5213;4187
Itabela (BA);6543;2390;2605
Itaberaba (BA);12643;3344;3502
Itabuna (BA);5576;4067;6021
Itacaré (BA);334;238;155
Itaeté (BA);3886;572;777
Itagi (BA);1952;2358;981
Itagibá (BA);11299;11910;3948
Itagimirim (BA);6846;4224;4256
Itaguaçu da Bahia (BA);1509;646;500
Itaju do Colônia (BA);7663;7430;2968
Itajuípe (BA);645;1286;1251
Itamaraju (BA);41512;11509;12175
Itamari (BA);677;723;356
Itambé (BA);26548;9315;7577
Itanagra (BA);1126;727;174
Itanhém (BA);20687;13756;18270
Itaparica (BA);75;84;26
Itapé (BA);6070;5816;6663
Itapebi (BA);8720;3469;3977
Itapetinga (BA);17724;9029;8417
Itapicuru (BA);2113;2365;2576
Itapitanga (BA);2724;1904;2159
Itaquara (BA);312;318;248
Itarantim (BA);18600;19319;18049
Itatim (BA);385;514;470
Itiruçu (BA);1691;1355;403
Itiúba (BA);3092;4770;5060
Itororó (BA);3930;4487;4663
Ituaçu (BA);2303;2867;1245
Ituberá (BA);207;26;24
Iuiu (BA);3814;4895;4582
Jaborandi (BA);14642;12327;20066
Jacaraci (BA);3281;3464;2372
Jacobina (BA);5799;4663;6834
Jaguaquara (BA);6165;4043;1211
Jaguarari (BA);2169;3217;863
Jaguaripe (BA);650;683;465
Jandaíra (BA);761;927;711
Jequié (BA);3173;3548;3570
Jeremoabo (BA);9339;14549;11924
Jiquiriçá (BA);778;128;140
Jitaúna (BA);2070;2190;1947
João Dourado (BA);2518;4203;3120
Juazeiro (BA);1954;2394;1646
Jucuruçu (BA);22096;3362;3694
Jussara (BA);1330;1629;1545
Jussari (BA);5071;4783;1416
Jussiape (BA);708;657;1032
Lafaiete Coutinho (BA);3033;3240;3117
Lagoa Real (BA);2117;3502;1854
Laje (BA);2993;390;447
Lajedão (BA);5183;4446;5122
Lajedinho (BA);2050;600;491
Lajedo do Tabocal (BA);1820;763;707
Lamarão (BA);499;445;490
Lapão (BA);1208;2824;2071
Lauro de Freitas (BA);713;681;748
Lençóis (BA);119;215;350
Licínio de Almeida (BA);2437;2363;1907
Livramento de Nossa Senhora (BA);5081;5708;4588
Luís Eduardo Magalhães (BA);4961;8846;9133
Macajuba (BA);2637;1089;994
Macarani (BA);19125;11123;10619
Macaúbas (BA);3748;4137;3989
Macururé (BA);371;333;264
Madre de Deus (BA);...;...;...
Maetinga (BA);1580;591;555
Maiquinique (BA);7903;10171;10194
Mairi (BA);1829;4422;4508
Malhada (BA);2774;3482;3522
Malhada de Pedras (BA);2265;2646;937
Manoel Vitorino (BA);1682;1879;3332
Mansidão (BA);815;1939;1572
Maracás (BA);8046;7596;2932
Maragogipe (BA);1317;1471;271
Maraú (BA);376;199;205
Marcionílio Souza (BA);11249;1213;1461
Mascote (BA);2956;2823;2771
Mata de São João (BA);4449;1332;1192
Matina (BA);1385;1586;2903
Medeiros Neto (BA);16466;14552;19583
Miguel Calmon (BA);2547;4079;5874
Milagres (BA);757;858;424
Mirangaba (BA);1283;1217;1753
Mirante (BA);1237;1296;805
Monte Santo (BA);567;808;2713
Morpará (BA);384;556;840
Morro do Chapéu (BA);3053;3803;2097
Mortugaba (BA);3220;2444;1539
Mucugê (BA);558;488;429
Mucuri (BA);7039;3877;4692
Mulungu do Morro (BA);388;523;584
Mundo Novo (BA);2681;3415;4746
Muniz Ferreira (BA);474;365;327
Muquém do São Francisco (BA);618;1009;1151
Muritiba (BA);655;1112;455
Mutuípe (BA);1195;345;397
Nazaré (BA);971;353;305
Nilo Peçanha (BA);147;30;31
Nordestina (BA);543;763;612
Nova Canaã (BA);8096;10680;8840
Nova Fátima (BA);3931;3261;2428
Nova Ibiá (BA);811;856;434
Nova Itarana (BA);721;614;318
Nova Redenção (BA);435;623;580
Nova Soure (BA);1826;2119;1393
Nova Viçosa (BA);3953;1941;2697
Novo Horizonte (BA);1022;705;770
Novo Triunfo (BA);1232;1326;1277
Olindina (BA);1705;1833;1424
Oliveira dos Brejinhos (BA);1458;2030;2429
Ouriçangas (BA);2507;2794;361
Ourolândia (BA);1169;798;1020
Palmas de Monte Alto (BA);3089;3928;6072
Palmeiras (BA);621;594;493
Paramirim (BA);1626;1768;2304
Paratinga (BA);4544;2350;2482
Paripiranga (BA);3280;4010;3769
Pau Brasil (BA);5239;4863;6485
Paulo Afonso (BA);2512;3709;3897
Pé de Serra (BA);8838;8522;6156
Pedrão (BA);2739;3436;1395
Pedro Alexandre (BA);7273;7692;11210
Piatã (BA);1131;1171;907
Pilão Arcado (BA);2329;2884;1466
Pindaí (BA);2038;2365;4446
Pindobaçu (BA);1952;3388;1169
Pintadas (BA);2703;4326;4314
Piraí do Norte (BA);490;41;44
Piripá (BA);2036;1157;1084
Piritiba (BA);1942;2445;3423
Planaltino (BA);3596;3334;876
Planalto (BA);5499;3471;3584
Poções (BA);4250;3395;3155
Pojuca (BA);3885;888;838
Ponto Novo (BA);1367;1970;1915
Porto Seguro (BA);4827;4417;3542
Potiraguá (BA);11185;3819;3770
Prado (BA);25503;8429;8864
Presidente Dutra (BA);538;972;904
Presidente Jânio Quadros (BA);4651;2001;1976
Presidente Tancredo Neves (BA);1796;426;216
Queimadas (BA);6292;8693;5990
Quijingue (BA);261;811;3833
Quixabeira (BA);892;1374;1895
Rafael Jambeiro (BA);1908;1263;1331
Remanso (BA);2592;4972;5694
Retirolândia (BA);751;775;869
Riachão das Neves (BA);3524;2689;2053
Riachão do Jacuípe (BA);12869;15865;11625
Riacho de Santana (BA);8249;3628;4006
Ribeira do Amparo (BA);1941;2260;2152
Ribeira do Pombal (BA);9040;10981;21616
Ribeirão do Largo (BA);15035;6426;5554
Rio de Contas (BA);1449;1402;1138
Rio do Antônio (BA);2703;3373;1843
Rio do Pires (BA);1462;1342;1230
Rio Real (BA);3882;4725;1668
Rodelas (BA);225;194;50
Ruy Barbosa (BA);8655;1811;1779
Salinas da Margarida (BA);63;61;6
Salvador (BA);68;43;48
Santa Bárbara (BA);3185;3631;1759
Santa Brígida (BA);2707;3740;2797
Santa Cruz Cabrália (BA);2105;1631;1625
Santa Cruz da Vitória (BA);3251;2208;2117
Santa Inês (BA);1514;1119;425
Santaluz (BA);2510;1606;3167
