Tabela 6579 - População residente estimada;;;
Ano;Cód.;Município;População residente estimada (Pessoas)
2002;1500107;Abaetetuba (PA);123184
2002;1500131;Abel Figueiredo (PA);6291
2002;1500206;Acará (PA);55270
2002;1500305;Afuá (PA);31503
2002;1500347;Água Azul do Norte (PA);25291
2002;1500404;Alenquer (PA);41190
2002;1500503;Almeirim (PA);34065
2002;1500602;Altamira (PA);79776
2002;1500701;Anajás (PA);19172
2002;1500800;Ananindeua (PA);423325
2002;1500859;Anapu (PA);8558
2002;1500909;Augusto Corrêa (PA);33577
2002;1500958;Aurora do Pará (PA);21278
2002;1501006;Aveiro (PA);16495
2002;1501105;Bagre (PA);13679
2002;1501204;Baião (PA);21339
2002;1501253;Bannach (PA);3656
2002;1501303;Barcarena (PA);66913
2002;1501402;Belém (PA);1322683
2002;1501451;Belterra (PA);15467
2002;1501501;Benevides (PA);38458
2002;1501576;Bom Jesus do Tocantins (PA);13426
2002;1501600;Bonito (PA);10084
2002;1501709;Bragança (PA);96618
2002;1501725;Brasil Novo (PA);18387
2002;1501758;Brejo Grande do Araguaia (PA);7686
2002;1501782;Breu Branco (PA);36376
2002;1501808;Breves (PA);81845
2002;1501907;Bujaru (PA);22487
2002;1501956;Cachoeira do Piriá (PA);16952
2002;1502004;Cachoeira do Arari (PA);16317
2002;1502103;Cametá (PA);100241
2002;1502152;Canaã dos Carajás (PA);11761
2002;1502202;Capanema (PA);58372
2002;1502301;Capitão Poço (PA);50677
2002;1502400;Castanhal (PA);141318
2002;1502509;Chaves (PA);17339
2002;1502608;Colares (PA);11115
2002;1502707;Conceição do Araguaia (PA);43668
2002;1502756;Concórdia do Pará (PA);22157
2002;1502764;Cumaru do Norte (PA);6043
2002;1502772;Curionópolis (PA);17863
2002;1502806;Curralinho (PA);21028
2002;1502855;Curuá (PA);9429
2002;1502905;Curuçá (PA);27351
2002;1502939;Dom Eliseu (PA);42720
2002;1502954;Eldorado do Carajás (PA);33424
2002;1503002;Faro (PA);11462
2002;1503044;Floresta do Araguaia (PA);14585
2002;1503077;Garrafão do Norte (PA);25010
2002;1503093;Goianésia do Pará (PA);25135
2002;1503101;Gurupá (PA);23967
2002;1503200;Igarapé-Açu (PA);33472
2002;1503309;Igarapé-Miri (PA);54868
2002;1503408;Inhangapi (PA);7894
2002;1503457;Ipixuna do Pará (PA);28473
2002;1503507;Irituia (PA);30393
2002;1503606;Itaituba (PA);95252
2002;1503705;Itupiranga (PA);54088
2002;1503754;Jacareacanga (PA);27058
2002;1503804;Jacundá (PA);42773
2002;1503903;Juruti (PA);32868
2002;1504000;Limoeiro do Ajuru (PA);20214
2002;1504059;Mãe do Rio (PA);24562
2002;1504109;Magalhães Barata (PA);7769
2002;1504208;Marabá (PA);177352
2002;1504307;Maracanã (PA);27991
2002;1504406;Marapanim (PA);25692
2002;1504422;Marituba (PA);82095
2002;1504455;Medicilândia (PA);21735
2002;1504505;Melgaço (PA);22437
2002;1504604;Mocajuba (PA);20972
2002;1504703;Moju (PA);55583
2002;1504752;Mojuí dos Campos (PA);...
2002;1504802;Monte Alegre (PA);62041
2002;1504901;Muaná (PA);26119
2002;1504950;Nova Esperança do Piriá (PA);21469
2002;1504976;Nova Ipixuna (PA);12573
2002;1505007;Nova Timboteua (PA);11822
2002;1505031;Novo Progresso (PA);29018
2002;1505064;Novo Repartimento (PA);44610
2002;1505106;Óbidos (PA);47370
2002;1505205;Oeiras do Pará (PA);24194
2002;1505304;Oriximiná (PA);49945
2002;1505403;Ourém (PA);14741
2002;1505437;Ourilândia do Norte (PA);19637
2002;1505486;Pacajá (PA);29540
2002;1505494;Palestina do Pará (PA);7968
2002;1505502;Paragominas (PA);79988
2002;1505536;Parauapebas (PA);78303
2002;1505551;Pau D'Arco (PA);7641
2002;1505601;Peixe-Boi (PA);8137
2002;1505635;Piçarra (PA);13160
2002;1505650;Placas (PA);14026
2002;1505700;Ponta de Pedras (PA);19156
2002;1505809;Portel (PA);39851
2002;1505908;Porto de Moz (PA);25351
2002;1506005;Prainha (PA);29729
2002;1506104;Primavera (PA);10087
2002;1506112;Quatipuru (PA);11270
2002;1506138;Redenção (PA);65766
2002;1506161;Rio Maria (PA);15596
2002;1506187;Rondon do Pará (PA);41703
2002;1506195;Rurópolis (PA);25752
2002;1506203;Salinópolis (PA);35717
2002;1506302;Salvaterra (PA);15797
2002;1506351;Santa Bárbara do Pará (PA);11929
2002;1506401;Santa Cruz do Arari (PA);5356
2002;1506500;Santa Izabel do Pará (PA);45310
2002;1506559;Santa Luzia do Pará (PA);19519
2002;1506583;Santa Maria das Barreiras (PA);11739
2002;1506609;Santa Maria do Pará (PA);21461
2002;1506708;Santana do Araguaia (PA);34436
2002;1506807;Santarém (PA);266391
2002;1506906;Santarém Novo (PA);5633
2002;1507003;Santo Antônio do Tauá (PA);20405
2002;1507102;São Caetano de Odivelas (PA);15314
2002;1507151;São Domingos do Araguaia (PA);21208
2002;1507201;São Domingos do Capim (PA);28779
2002;1507300;São Félix do Xingu (PA);36668
2002;1507409;São Francisco do Pará (PA);14798
2002;1507458;São Geraldo do Araguaia (PA);27531
2002;1507466;São João da Ponta (PA);4001
2002;1507474;São João de Pirabas (PA);17742
2002;1507508;São João do Araguaia (PA);13659
2002;1507607;São Miguel do Guamá (PA);43140
2002;1507706;São Sebastião da Boa Vista (PA);18240
2002;1507755;Sapucaia (PA);3499
2002;1507805;Senador José Porfírio (PA);14173
2002;1507904;Soure (PA);20479
2002;1507953;Tailândia (PA);42796
2002;1507961;Terra Alta (PA);8889
2002;1507979;Terra Santa (PA);15390
2002;1508001;Tomé-Açu (PA);48508
2002;1508035;Tracuateua (PA);23980
2002;1508050;Trairão (PA);15138
2002;1508084;Tucumã (PA);24033
2002;1508100;Tucuruí (PA);77728
2002;1508126;Ulianópolis (PA);21740
2002;1508159;Uruará (PA);49380
2002;1508209;Vigia (PA);40756
2002;1508308;Viseu (PA);51806
2002;1508357;Vitória do Xingu (PA);10876
2002;1508407;Xinguara (PA);33622
2002;1600055;Serra do Navio (AP);3587
2002;1600105;Amapá (AP);7219
2002;1600154;Pedra Branca do Amapari (AP);4545
2002;1600204;Calçoene (AP);7057
2002;1600212;Cutias (AP);3617
2002;1600238;Ferreira Gomes (AP);3817
2002;1600253;Itaubal (AP);3226
