Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;;;;;;;;;
Ano;Cód.;Microrregião Geográfica;Produto Interno Bruto a preços correntes (Mil Reais);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da microrregião geográfica (%);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da mesorregião geográfica (%);Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social no valor adicionado bruto a preços correntes total (%)
2002;21003;Rosário (MA);214317;-;2,78;11,36;24,04;26,66;37,94
2002;21004;Lençóis Maranhenses (MA);164356;-;2,13;19,96;7,45;23,87;48,72
2002;21005;Baixada Maranhense (MA);690553;-;8,97;25,22;5,18;28,67;40,92
2002;21006;Itapecuru Mirim (MA);234061;-;3,04;16,72;9,65;30,97;42,67
2002;21007;Gurupi (MA);278517;-;8,2;31,29;5,39;19,99;43,33
2002;21008;Pindaré (MA);1021026;-;30,05;24,91;7,61;34,46;33,02
2002;21009;Imperatriz (MA);2097951;-;61,75;8,73;23,61;50,63;17,04
2002;21010;Médio Mearim (MA);771050;-;49,78;18,17;10,64;39,54;31,66
2002;21011;Alto Mearim e Grajaú (MA);462613;-;29,87;30,1;5,6;27,75;36,55
2002;21012;Presidente Dutra (MA);315240;-;20,35;22,09;10,28;34,03;33,61
2002;21013;Baixo Parnaíba Maranhense (MA);153032;-;7,08;23,53;4,92;24,37;47,17
2002;21014;Chapadinha (MA);297361;-;13,76;24,67;5,36;32,09;37,88
2002;21015;Codó (MA);459056;-;21,24;11,25;24,47;29,29;34,99
2002;21016;Coelho Neto (MA);157127;-;7,27;7,8;29,56;31,84;30,8
2002;21017;Caxias (MA);774610;-;35,83;7,14;23,78;38,14;30,94
2002;21018;Chapadas do Alto Itapecuru (MA);320544;-;14,83;28,39;5,96;30,18;35,47
2002;21019;Porto Franco (MA);232359;-;20,83;30,54;7,63;35,28;26,55
2002;21020;Gerais de Balsas (MA);673414;-;60,36;35,19;7,78;46,1;10,93
2002;21021;Chapadas das Mangabeiras (MA);209846;-;18,81;53,01;7,63;20,29;19,07
2002;22001;Baixo Parnaíba Piauiense (PI);426152;-;44,65;11,52;4,58;27,77;56,13
2002;22002;Litoral Piauiense (PI);528258;-;55,35;9,25;7,54;39,32;43,9
2002;22003;Teresina (PI);3794637;-;86,04;1,18;21,55;54,73;22,53
2002;22004;Campo Maior (PI);287354;-;6,52;11,12;3,59;28,42;56,88
2002;22005;Médio Parnaíba Piauiense (PI);172294;-;3,91;10,98;3,31;29,15;56,57
2002;22006;Valença do Piauí (PI);156039;-;3,54;15,16;3,28;28,51;53,06
2002;22007;Alto Parnaíba Piauiense (PI);138215;-;15;35,56;15,57;26,61;22,25
2002;22008;Bertolínia (PI);78748;-;8,54;16,04;21;22,36;40,6
2002;22009;Floriano (PI);273911;-;29,72;8,9;14,94;39,58;36,58
2002;22010;Alto Médio Gurguéia (PI);134217;-;14,56;21,04;3,68;29,42;45,87
2002;22011;São Raimundo Nonato (PI);177629;-;19,27;10,13;4,22;31,64;54,01
2002;22012;Chapadas do Extremo Sul Piauiense (PI);118849;-;12,9;17,6;4,76;27,21;50,43
2002;22013;Picos (PI);371508;-;44,42;7,68;6,84;43,66;41,82
2002;22014;Pio IX (PI);67580;-;8,08;15,89;2,6;22,45;59,07
2002;22015;Alto Médio Canindé (PI);397245;-;47,5;11,91;14,17;22,78;51,13
2002;23001;Litoral de Camocim e Acaraú (CE);578755;-;20,05;15,76;11,46;28,8;43,98
2002;23002;Ibiapaba (CE);551186;-;19,1;27,23;7,98;27,15;37,64
2002;23003;Coreaú (CE);74842;-;2,59;16,29;5,29;24,06;54,37
2002;23004;Meruoca (CE);33102;-;1,15;19,5;4,73;20,55;55,22
2002;23005;Sobral (CE);1254264;-;43,46;6,07;36,11;33,66;24,15
2002;23006;Ipu (CE);222775;-;7,72;21,75;4,56;27,11;46,57
2002;23007;Santa Quitéria (CE);171077;-;5,93;20,52;23,12;22,77;33,6
2002;23008;Itapipoca (CE);498635;-;22,36;14,04;31,24;27,1;27,62
2002;23009;Baixo Curu (CE);240340;-;10,78;15,34;25,69;28,04;30,92
2002;23010;Uruburetama (CE);266003;-;11,93;19,16;29,39;23,93;27,52
2002;23011;Médio Curu (CE);121782;-;5,46;18,71;5,77;24,6;50,92
2002;23012;Canindé (CE);236361;-;10,6;16,77;13,64;29,09;40,51
2002;23013;Baturité (CE);389769;-;17,48;24,78;13,4;24,44;37,37
2002;23014;Chorozinho (CE);102675;-;4,6;17,41;7,37;25,42;49,8
2002;23015;Cascavel (CE);374367;-;16,79;14,85;32,7;26,14;26,3
2002;23016;Fortaleza (CE);17149198;-;96,13;0,67;24,7;58,28;16,35
2002;23017;Pacajus (CE);689620;-;3,87;5,04;59,94;22,77;12,25
2002;23018;Sertão de Cratéus (CE);446839;-;27,94;24,04;6,4;28,88;40,68
2002;23019;Sertão de Quixeramobim (CE);533062;-;33,33;23,59;10,5;28,94;36,97
2002;23020;Sertão de Inhamuns (CE);242042;-;15,14;25,43;4,66;24,98;44,94
2002;23021;Sertão de Senador Pompeu (CE);377248;-;23,59;27,52;5,79;24,04;42,65
2002;23022;Litoral de Aracati (CE);330543;-;22,79;12,44;28,32;33,53;25,7
2002;23023;Baixo Jaguaribe (CE);860821;-;59,34;23,11;19,53;29,21;28,15
2002;23024;Médio Jaguaribe (CE);187926;-;12,95;24,96;23,6;24,15;27,3
2002;23025;Serra do Pereiro (CE);71351;-;4,92;23,11;4,66;23,35;48,88
2002;23026;Iguatu (CE);543120;-;69,52;17,72;11,25;39,28;31,75
2002;23027;Várzea Alegre (CE);145004;-;18,56;18,75;6,34;26,09;48,82
2002;23028;Lavras da Mangabeira (CE);93143;-;11,92;24,95;5,66;23,64;45,76
2002;23029;Chapada do Araripe (CE);151717;-;7,85;20,33;4,92;27,04;47,71
