Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;;;;;;;;;
Ano;Cód.;Microrregião Geográfica;Produto Interno Bruto a preços correntes (Mil Reais);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da microrregião geográfica (%);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da mesorregião geográfica (%);Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social no valor adicionado bruto a preços correntes total (%)
2004;31056;Itajubá (MG);1486125;-;7,27;6,09;33,99;43,71;16,2
2004;31057;Lavras (MG);1152788;-;30,37;15,15;24,53;44,74;15,58
2004;31058;São João Del Rei (MG);1082077;-;28,51;10,03;26,47;43,63;19,87
2004;31059;Barbacena (MG);1560968;-;41,12;6,56;32,14;42,04;19,27
2004;31060;Ponte Nova (MG);928336;-;6,76;14,3;15,2;44,4;26,09
2004;31061;Manhuaçu (MG);1351112;-;9,84;23,64;8,68;44,65;23,03
2004;31062;Viçosa (MG);824888;-;6;15,52;7,47;45,55;31,45
2004;31063;Muriaé (MG);1189924;-;8,66;11,44;9,88;51,01;27,66
2004;31064;Ubá (MG);1548819;-;11,27;6,59;28,36;45,25;19,8
2004;31065;Juiz de Fora (MG);6375210;-;46,41;1,59;27,42;54,68;16,31
2004;31066;Cataguases (MG);1519186;-;11,06;5,15;23,77;52,69;18,39
2004;32001;Barra de São Francisco (ES);403863;-;17,23;13,36;15,08;37,04;34,52
2004;32002;Nova Venécia (ES);625500;-;26,69;14,25;18,23;37,56;29,96
2004;32003;Colatina (ES);1314215;-;56,08;5,65;21,83;47,46;25,05
2004;32004;Montanha (ES);283788;-;5,29;33,83;6,7;31,34;28,13
2004;32005;São Mateus (ES);1346444;-;25,09;14,4;32,07;33,05;20,48
2004;32006;Linhares (ES);3736513;-;69,62;5,57;49,18;30,96;14,29
2004;32007;Afonso Cláudio (ES);666613;-;2,37;20,57;9,58;38,13;31,72
2004;32008;Santa Teresa (ES);584254;-;2,07;28,68;9,98;33,23;28,11
2004;32009;Vitória (ES);24780170;-;88,01;0,13;38,65;49,4;11,81
2004;32010;Guarapari (ES);2126568;-;7,55;2,45;50,92;33,52;13,11
2004;32011;Alegre (ES);634493;-;16,42;14,99;6,69;38,82;39,49
2004;32012;Cachoeiro de Itapemirim (ES);2404485;-;62,22;4,21;26,87;45,81;23,11
2004;32013;Itapemirim (ES);825734;-;21,37;8,49;52,98;24,77;13,76
2004;33001;Itaperuna (RJ);1407347;-;64,66;6,53;10,61;47,73;35,13
2004;33002;Santo Antônio de Pádua (RJ);769066;-;35,34;11,82;10,38;36,74;41,06
2004;33003;Campos dos Goytacazes (RJ);19294959;-;67,85;1,24;65,9;25,29;7,57
2004;33004;Macaé (RJ);9142175;-;32,15;0,7;58,69;30,81;9,79
2004;33005;Três Rios (RJ);1401231;-;32,42;2,46;18,64;48,6;30,3
2004;33006;Cantagalo-Cordeiro (RJ);701163;-;16,22;3,4;43,91;27,49;25,19
2004;33007;Nova Friburgo (RJ);2036163;-;47,11;6,11;18,41;45,82;29,66
2004;33008;Santa Maria Madalena (RJ);183601;-;4,25;18,81;6,9;27,1;47,19
2004;33009;Bacia de São João (RJ);5819819;-;45,16;0,36;70,42;23,61;5,6
2004;33010;Lagos (RJ);7067476;-;54,84;0,95;49,94;31,78;17,34
2004;33011;Vale do Paraíba Fluminense (RJ);15292832;-;75,55;0,56;51,69;33,96;13,78
2004;33012;Barra do Piraí (RJ);1497551;-;7,4;3,35;24,29;45,69;26,67
2004;33013;Baía da Ilha Grande (RJ);3451981;-;17,05;0,87;34,06;44,01;21,06
2004;33014;Vassouras (RJ);1156134;-;0,67;4,48;11,35;49,59;34,59
2004;33015;Serrana (RJ);4907518;-;2,83;4,1;16,37;53,12;26,4
2004;33016;Macacu-Caceribu (RJ);1314263;-;0,76;2,29;18,96;54,82;23,93
2004;33017;Itaguaí (RJ);4438270;-;2,56;0,56;17,11;70,33;12,01
2004;33018;Rio de Janeiro (RJ);161325188;-;93,18;0,08;20,14;58,87;20,9
2004;35001;Jales (SP);1203879;-;7,95;15,38;22,53;43,85;18,25
2004;35002;Fernandópolis (SP);1121462;-;7,41;11,54;28,51;46,64;13,32
2004;35003;Votuporanga (SP);1200122;-;7,93;9,1;26,69;49,41;14,8
2004;35004;São José do Rio Preto (SP);8045312;-;53,13;9,01;22,79;55,84;12,36
2004;35005;Catanduva (SP);2094167;-;13,83;11,63;23,41;49,74;15,23
2004;35006;Auriflama (SP);318340;-;2,1;27,2;16;35,96;20,84
2004;35007;Nhandeara (SP);563686;-;3,72;19,39;25,52;39,59;15,5
2004;35008;Novo Horizonte (SP);596502;-;3,94;31,82;13,23;38,64;16,31
2004;35009;Barretos (SP);1778418;-;6,47;12,61;28,4;47,03;11,96
2004;35010;São Joaquim da Barra (SP);3097310;-;11,27;21,71;27,11;41,67;9,51
2004;35011;Ituverava (SP);990624;-;3,6;18,92;17,11;50,69;13,28
2004;35012;Franca (SP);3584208;-;13,04;7,88;34,57;43,66;13,88
2004;35013;Jaboticabal (SP);4126173;-;15,01;14,54;24,74;47,06;13,67
2004;35014;Ribeirão Preto (SP);12887404;-;46,87;4,67;24,49;59,83;11
2004;35015;Batatais (SP);1029519;-;3,74;19,8;22,21;43,74;14,25
2004;35016;Andradina (SP);1659884;-;24,81;15,76;23,22;44;17,02
2004;35017;Araçatuba (SP);2845396;-;42,53;12,09;23,09;52,16;12,66
2004;35018;Birigui (SP);2185383;-;32,66;13,12;30,3;41,15;15,43
2004;35019;Lins (SP);1732561;-;11,68;9,47;38,92;40,17;11,44
2004;35020;Bauru (SP);5810136;-;39,16;7,43;25,69;53,69;13,18
2004;35021;Jaú (SP);3605528;-;24,3;9,01;30,18;48,93;11,89
2004;35022;Avaré (SP);1320610;-;8,9;21,97;17,12;43,21;17,7
2004;35023;Botucatu (SP);2369757;-;15,97;14,45;33,22;41,42;10,9
2004;35024;Araraquara (SP);5826802;-;57,55;13,08;31,47;43,92;11,53
2004;35025;São Carlos (SP);4298311;-;42,45;8,72;41,04;40,22;10,02
2004;35026;Rio Claro (SP);3620496;-;17,89;5,92;45,82;37,61;10,65
2004;35027;Limeira (SP);7888708;-;38,98;3,89;42,55;43,56;9,99
2004;35028;Piracicaba (SP);8729575;-;43,13;4,08;42,36;44,38;9,18
2004;35029;Pirassununga (SP);1898335;-;2,8;14,08;29,07;43,24;13,62
2004;35030;São João da Boa Vista (SP);3879982;-;5,72;14,44;24,61;46,62;14,32
2004;35031;Mogi Mirim (SP);5626558;-;8,29;7,94;43,18;38,75;10,14
2004;35032;Campinas (SP);54600868;-;80,45;0,84;44,39;46,59;8,18
2004;35033;Amparo (SP);1860496;-;2,74;9,89;33,06;43,32;13,74
2004;35034;Dracena (SP);747461;-;9,95;12,67;10,68;56,4;20,25
2004;35035;Adamantina (SP);1222436;-;16,27;16,31;19,06;47,22;17,41
2004;35036;Presidente Prudente (SP);5545569;-;73,79;9,54;27,8;48,73;13,93
2004;35037;Tupã (SP);1159732;-;25,03;29,91;17,98;39,83;12,29
2004;35038;Marília (SP);3474016;-;74,97;5,96;27,08;53,2;13,76
2004;35039;Assis (SP);2705880;-;50,08;18,64;17,8;49,67;13,89
2004;35040;Ourinhos (SP);2697758;-;49,92;12,22;24,29;48,81;14,68
2004;35041;Itapeva (SP);1747324;-;23,75;24,88;16,46;39,3;19,37
2004;35042;Itapetininga (SP);1975906;-;26,86;21,63;29,12;37,92;11,33
2004;35043;Tatuí (SP);2804123;-;38,12;5,58;41,78;40,67;11,97
2004;35044;Capão Bonito (SP);829319;-;11,27;30,95;16,15;30,37;22,53
2004;35045;Piedade (SP);1179908;-;2,86;27,82;14,71;37,4;20,07
2004;35046;Sorocaba (SP);19516146;-;47,35;1,33;42,99;45,93;9,74
2004;35047;Jundiaí (SP);14631794;-;35,5;0,58;39,24;53,27;6,91
2004;35048;Bragança Paulista (SP);5890159;-;14,29;6,08;35,74;46,29;11,89
2004;35049;Campos do Jordão (SP);481333;-;1,2;4,2;11,98;61,61;22,21
2004;35050;São José dos Campos (SP);32457920;-;80,85;0,35;56,76;36,03;6,85
2004;35051;Guaratinguetá (SP);3966768;-;9,88;1,16;40,64;44,82;13,38
2004;35052;Bananal (SP);124862;-;0,31;12,3;20,72;34,8;32,19
2004;35053;Paraibuna/Paraitinga (SP);408590;-;1,02;14,6;27,66;32,09;25,64
2004;35054;Caraguatatuba (SP);2705950;-;6,74;0,46;8,71;70;20,83
2004;35055;Registro (SP);2008929;-;63,66;14,47;25,84;40,86;18,84
2004;35056;Itanhaém (SP);1146591;-;36,34;11,12;11,29;50,03;27,55
2004;35057;Osasco (SP);41456012;-;10,88;0,06;21,14;71,59;7,21
2004;35058;Franco da Rocha (SP);2720835;-;0,71;0,16;40,96;38,62;20,26
2004;35059;Guarulhos (SP);18003063;-;4,72;0,18;41,43;47,6;10,78
2004;35060;Itapecerica da Serra (SP);10087851;-;2,65;0,2;38,29;48,04;13,47
2004;35061;São Paulo (SP);273502079;-;71,76;0,01;23,44;68,7;7,85
2004;35062;Mogi das Cruzes (SP);15322970;-;4,02;2,28;40,37;46,79;10,56
2004;35063;Santos (SP);20037765;-;5,26;0,05;33,22;54,39;12,34
2004;41001;Paranavaí (PR);1903631;-;38,47;23,57;18,69;39,56;18,18
2004;41002;Umuarama (PR);1850482;-;37,39;21,44;14,27;46,95;17,34
2004;41003;Cianorte (PR);1194844;-;24,14;23,11;27,08;35,46;14,35
2004;41004;Goioerê (PR);1137840;-;33,51;40,54;8,95;37,52;13
2004;41005;Campo Mourão (PR);2257400;-;66,49;27,53;16,6;43,79;12,08
2004;41006;Astorga (PR);1361109;-;6,78;27,79;16,99;37,89;17,34
2004;41007;Porecatu (PR);817754;-;4,07;24,07;24,8;37,38;13,75
2004;41008;Floraí (PR);416580;-;2,07;46,47;7,55;34,47;11,52
2004;41009;Maringá (PR);5074860;-;25,27;3,98;22,99;59,97;13,05
2004;41010;Apucarana (PR);3112465;-;15,5;9,47;39,42;40,4;10,7
2004;41011;Londrina (PR);8061108;-;40,14;5,04;26,55;56,84;11,57
2004;41012;Faxinal (PR);348477;-;1,74;43,99;7,97;31,88;16,16
2004;41013;Ivaiporã (PR);890737;-;4,44;36,45;7,03;36,37;20,15
2004;41014;Assaí (PR);565944;-;13,41;35,23;14,86;33,82;16,09
2004;41015;Cornélio Procópio (PR);1600386;-;37,91;29,45;17,52;38,87;14,16
2004;41016;Jacarezinho (PR);987795;-;23,4;21,02;23,47;40,71;14,79
2004;41017;Ibaiti (PR);443936;-;10,52;30,56;13,44;35,26;20,74
2004;41018;Wenceslau Braz (PR);622927;-;14,76;32,66;12,33;35,89;19,12
2004;41019;Telêmaco Borba (PR);1813402;-;20,19;31,39;35,5;22,5;10,62
2004;41020;Jaguariaíva (PR);1667814;-;18,57;19,65;49,43;22,43;8,49
2004;41021;Ponta Grossa (PR);5501553;-;61,25;10,89;37,03;41,52;10,57
2004;41022;Toledo (PR);4156321;-;28,91;24,38;18,26;45,22;12,13
2004;41023;Cascavel (PR);4383307;-;30,49;18,79;23,48;45,66;12,07
2004;41024;Foz do Iguaçu (PR);5835759;-;40,6;6,54;47,02;35,93;10,51
2004;41025;Capanema (PR);712413;-;14,7;32,88;15,42;35,16;16,53
2004;41026;Francisco Beltrão (PR);2014581;-;41,58;30,5;17,65;37,13;14,71
2004;41027;Pato Branco (PR);2117778;-;43,71;18,28;36,63;35,74;9,35
2004;41028;Pitanga (PR);458879;-;8,63;39,89;5,52;32,61;21,97
2004;41029;Guarapuava (PR);3630368;-;68,24;18,08;36,3;32,37;13,25
2004;41030;Palmas (PR);1230798;-;23,14;16,47;50,24;24,29;9
2004;41031;Prudentópolis (PR);937729;-;28,87;41,55;16,37;26,66;15,43
2004;41032;Irati (PR);759315;-;23,38;29,11;23,28;32,62;14,99
2004;41033;União da Vitória (PR);1006558;-;30,99;22,8;26,69;35,83;14,68
2004;41034;São Mateus do Sul (PR);544260;-;16,76;32,36;24,32;30,5;12,82
2004;41035;Cerro Azul (PR);138531;-;0,26;49,26;3,88;21,21;25,66
2004;41036;Lapa (PR);426525;-;0,79;30,64;22,6;32,41;14,36
2004;41037;Curitiba (PR);48801200;-;90,32;0,69;35,83;54,61;8,87
2004;41038;Paranaguá (PR);3758316;-;6,96;0,72;40,01;49,09;10,18
2004;41039;Rio Negro (PR);907847;-;1,68;23,78;34,11;29,33;12,78
2004;42001;São Miguel do Oeste (SC);1696967;-;11,78;26,59;20,55;38,59;14,27
2004;42002;Chapecó (SC);4861762;-;33,74;16,63;28,54;43,02;11,8
2004;42003;Xanxerê (SC);1903023;-;13,21;28,12;23,11;37,09;11,68
2004;42004;Joaçaba (SC);4204212;-;29,18;18,5;30,94;38,63;11,94
2004;42005;Concórdia (SC);1741526;-;12,09;25,86;26,03;35,72;12,39
2004;42006;Canoinhas (SC);2544196;-;14,01;25,65;27,41;34,06;12,89
2004;42007;São Bento do Sul (SC);1803854;-;9,93;5,02;50,38;33,65;10,95
2004;42008;Joinville (SC);13817140;-;76,06;1,52;50,22;39,07;9,2
2004;42009;Curitibanos (SC);1251296;-;32,18;28,39;24,28;33,33;14
2004;42010;Campos de Lages (SC);2637659;-;67,82;13,67;28,87;41,36;16,09
2004;42011;Rio do Sul (SC);2089012;-;11,28;15,18;29,5;42,12;13,2
2004;42012;Blumenau (SC);9604643;-;51,85;1,56;45,17;43;10,27
2004;42013;Itajaí (SC);6346005;-;34,26;2,59;18,86;65,74;12,81
2004;42014;Ituporanga (SC);483939;-;2,61;35,75;16,56;33,28;14,41
2004;42015;Tijucas (SC);727583;-;7,13;10,36;37,71;36,86;15,08
2004;42016;Florianópolis (SC);9281335;-;90,92;1,95;17,14;66,61;14,3
2004;42017;Tabuleiro (SC);199753;-;1,96;43,63;10,45;28,68;17,24
2004;42018;Tubarão (SC);3106924;-;36,88;12,24;27,33;44,22;16,2
2004;42019;Criciúma (SC);3765847;-;44,7;5,09;39,18;42,73;13
2004;42020;Araranguá (SC);1552289;-;18,42;21,54;21,29;41,76;15,41
2004;43001;Santa Rosa (RS);1677283;-;7,63;18,33;18,34;49,57;13,75
2004;43002;Três Passos (RS);2282557;-;10,38;14,85;53,55;22,85;8,75
2004;43003;Frederico Westphalen (RS);1210743;-;5,51;35,51;8,82;36,7;18,96
2004;43004;Erechim (RS);2511452;-;11,42;18,79;29,28;40,23;11,7
2004;43005;Sananduva (RS);576517;-;2,62;43,86;6,78;35,47;13,88
2004;43006;Cerro Largo (RS);517204;-;2,35;28,38;10,52;42,52;18,59
2004;43007;Santo Ângelo (RS);1784947;-;8,12;21,93;13,1;49,45;15,52
2004;43008;Ijuí (RS);2155624;-;9,8;20,9;15,18;51,26;12,67
2004;43009;Carazinho (RS);1798223;-;8,18;28,2;13,48;45,87;12,45
2004;43010;Passo Fundo (RS);3858114;-;17,54;19,35;18,25;51,38;11,02
2004;43011;Cruz Alta (RS);2330617;-;10,6;27,58;13,18;49,8;9,43
2004;43012;Não-Me-Toque (RS);806660;-;3,67;23,49;26,59;41,8;8,12
2004;43013;Soledade (RS);480436;-;2,18;30,09;11,39;39,83;18,68
2004;43014;Guaporé (RS);1816336;-;10,72;23,72;38,79;27,96;9,53
2004;43015;Vacaria (RS);1626254;-;9,6;36,75;13,32;37,48;12,45
2004;43016;Caxias do Sul (RS);13500855;-;79,68;4,75;45,68;40,87;8,7
2004;43017;Santiago (RS);1264472;-;26,49;30,96;21,34;36,41;11,28
2004;43018;Santa Maria (RS);2928610;-;61,36;13,96;12,27;57,66;16,11
2004;43019;Restinga Seca (RS);579462;-;12,14;38,31;15,25;30,74;15,7
2004;43020;Santa Cruz do Sul (RS);4884743;-;50,34;14,2;39,29;37,22;9,29
2004;43021;Lajeado-Estrela (RS);3596650;-;37,06;16,22;31,55;40,66;11,57
2004;43022;Cachoeira do Sul (RS);1222709;-;12,6;30,87;10,77;42,52;15,84
2004;43023;Montenegro (RS);2285214;-;3,56;13,72;36,6;37,11;12,57
2004;43024;Gramado-Canela (RS);3470821;-;5,4;9;40,81;38,46;11,74
2004;43025;São Jerônimo (RS);5226592;-;8,13;7,08;67,17;20,79;4,96
2004;43026;Porto Alegre (RS);49394973;-;76,86;0,46;29,57;58,49;11,48
2004;43027;Osório (RS);2720658;-;4,23;15,15;13,13;51,83;19,89
2004;43028;Camaquã (RS);1171097;-;1,82;33,84;14,26;37,95;13,95
2004;43029;Campanha Ocidental (RS);3375508;-;54,89;31,11;12,37;41,83;14,68
2004;43030;Campanha Central (RS);1343294;-;21,84;28,76;9,93;44,22;17,09
2004;43031;Campanha Meridional (RS);1431214;-;23,27;26,4;11,53;45,99;16,07
2004;43032;Serras de Sudeste (RS);997147;-;13,54;23,6;35,83;24,64;15,93
2004;43033;Pelotas (RS);3050424;-;41,43;14,13;12,86;52,33;20,68
2004;43034;Jaguarão (RS);404213;-;5,49;42,8;6,59;33,03;17,58
2004;43035;Litoral Lagunar (RS);2910582;-;39,53;11,85;27,13;47,73;13,29
2004;50001;Baixo Pantanal (MS);915808;-;61,4;24,46;9,25;39,13;27,16
2004;50002;Aquidauana (MS);575699;-;38,6;27,67;8,76;33,54;30,03
2004;50003;Alto Taquari (MS);1451588;-;16,27;46,22;7,31;31,37;15,09
2004;50004;Campo Grande (MS);7472908;-;83,73;6,6;17,7;55,79;19,91
2004;50005;Cassilândia (MS);1039347;-;17,75;46,66;8,95;34,3;10,1
2004;50006;Paranaíba (MS);1282431;-;21,9;21,21;53,54;15,19;10,06
2004;50007;Três Lagoas (MS);2536355;-;43,31;38,95;31,93;19,01;10,11
2004;50008;Nova Andradina (MS);998339;-;17,05;21,13;29,34;32,09;17,43
2004;50009;Bodoquena (MS);668405;-;9,41;31,49;8,66;30,65;29,2
2004;50010;Dourados (MS);4817114;-;67,85;28,09;13,34;41,28;17,3
2004;50011;Iguatemi (MS);1614314;-;22,74;33,05;16,37;27,58;23
2004;51001;Aripuanã (MT);956163;-;8,28;31,65;22,53;27,42;18,4
2004;51002;Alta Floresta (MT);581550;-;5,03;23,85;14,22;36,71;25,23
2004;51003;Colíder (MT);760641;-;6,58;24,41;12,84;35,52;27,23
2004;51004;Parecis (MT);2737129;-;23,69;64,33;8,06;22,31;5,3
2004;51005;Arinos (MT);719794;-;6,23;46,45;16,44;21,01;16,1
2004;51006;Alto Teles Pires (MT);3709847;-;32,11;57,12;11,32;25,65;5,91
2004;51007;Sinop (MT);1816440;-;15,72;19,89;23,92;41,51;14,68
2004;51008;Paranatinga (MT);272436;-;2,36;55,27;5,46;22,24;17,03
2004;51009;Norte Araguaia (MT);578287;-;25,03;41,12;7,47;23,85;27,56
2004;51010;Canarana (MT);1176263;-;50,91;57,7;7,43;23,27;11,6
2004;51011;Médio Araguaia (MT);555829;-;24,06;16,68;18,99;45,32;19
2004;51012;Alto Guaporé (MT);394495;-;14,85;33,19;9,44;32,78;24,59
2004;51013;Tangará da Serra (MT);1400045;-;52,69;29,16;25,98;30,4;14,46
2004;51014;Jauru (MT);862592;-;32,46;21,73;34,07;25,91;18,29
2004;51015;Alto Paraguai (MT);191314;-;1,92;46,93;4,23;25,66;23,18
2004;51016;Rosário Oeste (MT);133001;-;1,33;26,99;12,07;25,71;35,22
2004;51017;Cuiabá (MT);9030144;-;90,43;1,54;27,22;55,82;15,42
2004;51018;Alto Pantanal (MT);630878;-;6,32;18,78;9,54;41,44;30,25
2004;51019;Primavera do Leste (MT);1731233;-;25,16;56,04;6,25;30,31;7,4
2004;51020;Tesouro (MT);598855;-;8,7;68,71;3,02;14,96;13,3
2004;51021;Rondonópolis (MT);3852395;-;55,98;27,42;27,77;34,57;10,24
2004;51022;Alto Araguaia (MT);699341;-;10,16;48,42;9,27;35,46;6,86
2004;52001;São Miguel do Araguaia (GO);644022;-;40,59;28,23;26,26;28,42;17,08
2004;52002;Rio Vermelho (GO);629188;-;39,65;29,98;18,02;32,35;19,65
2004;52003;Aragarças (GO);313582;-;19,76;38,45;5,49;31,34;24,72
2004;52004;Porangatu (GO);1989409;-;81,81;12,54;44,87;26,41;16,18
2004;52005;Chapada dos Veadeiros (GO);442227;-;18,19;15,53;46,87;18,96;18,63
2004;52006;Ceres (GO);1244796;-;5,07;22,34;15,39;38,47;23,79
2004;52007;Anápolis (GO);3909572;-;15,92;6,85;30;44,98;18,17
2004;52008;Iporá (GO);364628;-;1,48;24,71;13,86;36,31;25,12
2004;52009;Anicuns (GO);716323;-;2,92;18,62;26,65;33,83;20,9
2004;52010;Goiânia (GO);18320299;-;74,61;1,13;24,39;59,35;15,12
2004;52011;Vão do Paranã (GO);425461;-;8,82;20,1;15,49;34,6;29,81
2004;52012;Entorno de Brasília (GO);4397631;-;91,18;15,8;16,13;39,97;28,1
2004;52013;Sudoeste de Goiás (GO);6054854;-;34,2;36,08;18,31;35,36;10,25
2004;52014;Vale do Rio dos Bois (GO);1687965;-;9,53;43,81;21,18;25,04;9,98
2004;52015;Meia Ponte (GO);4397658;-;24,84;17,66;34,43;35,56;12,36
2004;52016;Pires do Rio (GO);798066;-;4,51;34,33;12,56;36,33;16,78
2004;52017;Catalão (GO);3121089;-;17,63;16,11;40,84;35,22;7,83
2004;52018;Quirinópolis (GO);1647045;-;9,3;13,68;59,25;17,73;9,34
2004;53001;Brasília (DF);67076505;-;100;0,36;7,9;45,32;46,43
2005;11001;Porto Velho (RO);4385121;-;90,01;5,24;16,61;51,47;26,68
2005;11002;Guajará-Mirim (RO);486444;-;9,99;9,7;8,14;47,2;34,97
2005;11003;Ariquemes (RO);1225315;-;16,04;16,05;16,97;35,59;31,39
2005;11004;Ji-Paraná (RO);2509712;-;32,85;15,08;18,3;37,2;29,42
2005;11005;Alvorada D'Oeste (RO);424375;-;5,55;28,28;6,27;22,11;43,33
2005;11006;Cacoal (RO);1815385;-;23,76;15,15;19,73;34,92;30,21
2005;11007;Vilhena (RO);1265824;-;16,57;11,38;21,84;43,48;23,3
2005;11008;Colorado do Oeste (RO);399645;-;5,23;27,55;10,63;28,77;33,04
2005;12001;Cruzeiro do Sul (AC);507765;-;66,85;11,67;5,26;29,07;54,01
2005;12002;Tarauacá (AC);251748;-;33,15;17,49;3,19;13,58;65,74
2005;12003;Sena Madureira (AC);181562;-;5,13;25,41;3,21;16,43;54,95
2005;12004;Rio Branco (AC);3099570;-;87,53;7,34;13,21;48,44;31
2005;12005;Brasiléia (AC);259938;-;7,34;26,07;5,05;23,85;45,02
2005;13001;Rio Negro (AM);182154;-;74,67;7,15;3,57;22,83;66,45
2005;13002;Japurá (AM);61795;-;25,33;10,25;1,45;8,18;80,12
2005;13003;Alto Solimões (AM);497093;-;62,3;12,7;2,24;16,86;68,2
2005;13004;Juruá (AM);300789;-;37,7;19,78;2,78;18,14;59,29
2005;13005;Tefé (AM);298647;-;0,93;29,83;2,83;21,73;45,61
2005;13006;Coari (AM);1715168;-;5,32;4,89;68,59;11,91;14,62
2005;13007;Manaus (AM);28768897;-;89,2;1,45;47,37;39,06;12,11
2005;13008;Rio Preto da Eva (AM);282054;-;0,87;24,04;21,16;21,75;33,05
2005;13009;Itacoatiara (AM);573923;-;1,78;20,63;3,93;36,88;38,56
2005;13010;Parintins (AM);611729;-;1,9;17,55;2,97;21,56;57,92
2005;13011;Boca do Acre (AM);142527;-;20,7;25,21;3,78;18,48;52,53
2005;13012;Purus (AM);141469;-;20,54;17,88;2,55;17,67;61,91
2005;13013;Madeira (AM);404633;-;58,76;23,29;5,19;19,75;51,77
2005;14001;Boa Vista (RR);2577284;-;93,12;1,53;11,78;40,35;46,34
2005;14002;Nordeste de Roraima (RR);190392;-;6,88;17,67;4,92;8,96;68,45
2005;14003;Caracaraí (RR);207664;-;48,78;6,89;5,93;19,3;67,88
2005;14004;Sudeste de Roraima (RR);218090;-;51,22;7,67;5;14,7;72,63
2005;15001;Óbidos (PA);1233476;-;33,27;14,05;37,42;30,95;17,57
2005;15002;Santarém (PA);2011500;-;54,25;21,67;13,96;39,56;24,81
2005;15003;Almeirim (PA);462956;-;12,49;10,85;49,86;22,16;17,13
2005;15004;Portel (PA);293520;-;26,8;24,77;16,39;18,94;39,9
2005;15005;Furos de Breves (PA);472428;-;43,14;18,9;17,17;20,69;43,24
2005;15006;Arari (PA);329095;-;30,05;38,21;3,99;16,61;41,19
2005;15007;Belém (PA);16036400;-;92,26;0,51;24,9;59,34;15,25
2005;15008;Castanhal (PA);1345020;-;7,74;17,81;20,38;39,77;22,04
2005;15009;Salgado (PA);575545;-;12,03;23,69;9,3;26,08;40,93
2005;15010;Bragantina (PA);978262;-;20,46;19,19;12,91;31,68;36,21
2005;15011;Cametá (PA);1025353;-;21,44;30,37;6,21;23,14;40,28
2005;15012;Tomé-Açu (PA);1038480;-;21,71;33,71;16,72;22,14;27,43
2005;15013;Guamá (PA);1164865;-;24,36;34,56;10,47;20,09;34,88
2005;15014;Itaituba (PA);802818;-;42,58;21,6;17,94;29,81;30,65
2005;15015;Altamira (PA);1082545;-;57,42;32,92;13,4;28,9;24,78
2005;15016;Tucuruí (PA);2426759;-;20,79;9,13;60,74;14,31;15,82
2005;15017;Paragominas (PA);1612646;-;13,82;26,77;26,89;28,38;17,97
2005;15018;São Félix do Xingu (PA);535567;-;4,59;52,68;4,85;20,9;21,58
2005;15019;Parauapebas (PA);3394566;-;29,09;5,25;63,12;23,29;8,34
2005;15020;Marabá (PA);2005956;-;17,19;7,19;26,36;49,93;16,52
2005;15021;Redenção (PA);1121876;-;9,61;22,68;24,02;35,05;18,25
2005;15022;Conceição do Araguaia (PA);573260;-;4,91;38,72;15,33;24,34;21,61
2005;16001;Oiapoque (AP);145667;-;58,04;7,29;6,83;31,62;54,25
2005;16002;Amapá (AP);105309;-;41,96;22,41;3,75;15,09;58,75
2005;16003;Macapá (AP);3744596;-;92,34;2,29;9,99;42,35;45,38
2005;16004;Mazagão (AP);310838;-;7,66;4,52;6,68;22,82;65,98
2005;17001;Bico do Papagaio (TO);557808;-;11,77;11,78;7,04;27,19;53,99
2005;17002;Araguaína (TO);1592960;-;33,62;8,32;17,81;45,83;28,04
2005;17003;Miracema do Tocantins (TO);827359;-;17,46;17,2;26,66;25,86;30,28
2005;17004;Rio Formoso (TO);732256;-;15,46;22,64;14;36,6;26,77
2005;17005;Gurupi (TO);1027491;-;21,69;10,78;25,91;41,18;22,13
2005;17006;Porto Nacional (TO);2192426;-;73,83;5,57;20,7;47,26;26,47
2005;17007;Jalapão (TO);294672;-;9,92;34,89;6,3;20,85;37,96
2005;17008;Dianópolis (TO);482367;-;16,24;24,9;11,55;25,41;38,14
2005;21001;Litoral Ocidental Maranhense (MA);292916;-;2,41;19,18;3,41;22,9;54,51
2005;21002;Aglomeração Urbana de São Luís (MA);9865302;-;81,06;0,71;24,62;61,89;12,77
2005;21003;Rosário (MA);346774;-;2,85;12,5;28,65;24,3;34,55
2005;21004;Lençóis Maranhenses (MA);254061;-;2,09;19,86;3,22;27,58;49,33
2005;21005;Baixada Maranhense (MA);1038551;-;8,53;24,86;3,64;28,98;42,53
2005;21006;Itapecuru Mirim (MA);372315;-;3,06;19,88;8,36;30,97;40,79
2005;21007;Gurupi (MA);401132;-;7,69;33,75;3,17;17,95;45,14
2005;21008;Pindaré (MA);1488376;-;28,53;24,78;5,14;36,37;33,71
