Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;
Variável - Valor da produção (Mil Reais);;;
Produto das lavouras temporárias e permanentes - Total;;;
;Ano;;
Água Azul do Norte (PA);15098;15903;20310
Alenquer (PA);97925;77196;118272
Almeirim (PA);5885;14751;11891
Altamira (PA);108229;129524;123318
Anajás (PA);445;2647;2681
Ananindeua (PA);482;120;216
Anapu (PA);46643;57231;44582
Augusto Corrêa (PA);19590;25127;28699
Aurora do Pará (PA);54844;87333;68793
Aveiro (PA);9254;13485;23580
Bagre (PA);173;5561;2768
Baião (PA);29972;53184;56604
Bannach (PA);705;881;403
Barcarena (PA);11207;269151;151552
Belém (PA);336;...;...
Belterra (PA);125116;67735;69749
Benevides (PA);...;...;...
Bom Jesus do Tocantins (PA);7823;9798;11829
Bonito (PA);20817;25466;18845
Bragança (PA);54215;43278;43291
Brasil Novo (PA);34888;36507;46110
Brejo Grande do Araguaia (PA);7588;8101;16925
Breu Branco (PA);28500;38257;65274
Breves (PA);620;4912;9585
Bujaru (PA);17508;117209;123712
Cachoeira do Piriá (PA);16569;15917;15655
Cachoeira do Arari (PA);18800;27320;41534
Cametá (PA);48263;402639;221116
Canaã dos Carajás (PA);18667;17055;26144
Capanema (PA);16120;16601;30467
Capitão Poço (PA);131865;188660;178053
Castanhal (PA);56647;101314;108880
Chaves (PA);...;...;283
Colares (PA);860;898;1219
Conceição do Araguaia (PA);16117;26648;24097
Concórdia do Pará (PA);95428;137208;107907
Cumaru do Norte (PA);23434;33319;66660
Curionópolis (PA);12652;9910;13863
Curralinho (PA);389;11321;12253
Curuá (PA);366;6313;4318
Curuçá (PA);18876;25935;24054
Dom Eliseu (PA);157413;270405;368150
Eldorado do Carajás (PA);14792;12313;14475
Faro (PA);2796;2946;2666
Floresta do Araguaia (PA);231699;387572;331854
Garrafão do Norte (PA);35708;47934;53668
Goianésia do Pará (PA);7414;11249;12318
Gurupá (PA);5479;4326;11224
Igarapé-Açu (PA);70437;117073;100487
Igarapé-Miri (PA);5979;1772868;665757
Inhangapi (PA);13113;61167;38145
