Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;
Variável - Valor da produção (Mil Reais);;;
Produto das lavouras temporárias e permanentes - Total;;;
;Ano;;
Alagoinha (PE);1262;2928;2011
Aliança (PE);28554;35083;37515
Altinho (PE);487;166;113
Amaraji (PE);19170;19989;30892
Angelim (PE);1072;1672;399
Araçoiaba (PE);3920;5128;7314
Araripina (PE);22234;11101;8488
Arcoverde (PE);787;605;1714
Barra de Guabiraba (PE);2983;4000;2228
Barreiros (PE);20762;32803;24088
Belém de Maria (PE);1021;897;1663
Belém do São Francisco (PE);15961;13738;24721
Belo Jardim (PE);3320;1017;695
Betânia (PE);1385;303;1527
Bezerros (PE);7924;5292;4177
Bodocó (PE);3674;3514;2316
Bom Conselho (PE);9869;12806;4489
Bom Jardim (PE);6475;6394;15983
Bonito (PE);12223;14350;12066
Brejão (PE);1261;1841;1340
Brejinho (PE);1105;502;2228
Brejo da Madre de Deus (PE);228;130;53
Buenos Aires (PE);10230;11880;2808
Buíque (PE);15767;14026;22302
Cabo de Santo Agostinho (PE);16044;34111;28580
Cabrobó (PE);41366;22595;28691
Cachoeirinha (PE);1993;1639;615
Caetés (PE);9644;26500;1564
Calçado (PE);72760;59259;2891
Calumbi (PE);522;95;508
Camaragibe (PE);11723;21600;20868
Camocim de São Félix (PE);8935;14222;13799
Camutanga (PE);12152;14676;15693
Canhotinho (PE);4623;11157;17357
Capoeiras (PE);6516;8069;353
Carnaíba (PE);1977;1301;1944
Carnaubeira da Penha (PE);3637;1241;2915
Carpina (PE);7130;8304;8462
Caruaru (PE);794;461;478
Casinhas (PE);201;105;180
Catende (PE);4542;5980;6969
Cedro (PE);8883;8102;1954
Chã de Alegria (PE);9300;10500;17498
Chã Grande (PE);1152;1591;1714
Condado (PE);19383;23856;25470
Correntes (PE);4060;5324;5878
Cortês (PE);17507;15956;21796
Cumaru (PE);1378;1177;4253
Cupira (PE);535;744;558
Custódia (PE);5892;3289;4921
Dormentes (PE);342;2984;1013
Escada (PE);18664;18676;89044
Exu (PE);10582;13068;5383
Feira Nova (PE);335;1323;624
Fernando de Noronha (PE);...;...;...
Ferreiros (PE);4384;6299;13275
Flores (PE);6365;960;2923
Floresta (PE);10426;10063;6769
Frei Miguelinho (PE);294;194;232
Gameleira (PE);31562;62254;61699
Garanhuns (PE);7441;5294;3865
Glória do Goitá (PE);6665;8485;8822
Goiana (PE);75462;76064;70773
Granito (PE);148;66;-
Gravatá (PE);5511;4930;6484
Iati (PE);4272;4067;5217
Ibimirim (PE);40662;23458;24987
Ibirajuba (PE);420;607;1152
Igarassu (PE);27064;33840;34321
Iguaracy (PE);1314;350;517
Inajá (PE);33316;27810;31253
Ingazeira (PE);711;288;235
Ipojuca (PE);19697;46330;35237
Ipubi (PE);10016;7146;6062
Itacuruba (PE);597;658;882
Itaíba (PE);1170;123;74
Ilha de Itamaracá (PE);384;64;67
Itambé (PE);57700;72367;77636
Itapetim (PE);1108;496;1539
Itapissuma (PE);6163;7068;8730
Itaquitinga (PE);34846;43446;14606
Jaboatão dos Guararapes (PE);17725;27702;25231
Jaqueira (PE);5010;11264;13089
Jataúba (PE);82;46;14
Jatobá (PE);606;258;495
João Alfredo (PE);2942;1311;3104
Joaquim Nabuco (PE);8828;5930;13849
Jucati (PE);9216;8513;9019
Jupi (PE);10843;5866;10928
Jurema (PE);980;840;8641
Lagoa do Carro (PE);2914;3384;3640
Lagoa de Itaenga (PE);4476;5810;12618
Lagoa do Ouro (PE);1297;1847;124
Lagoa dos Gatos (PE);1541;1823;2178
Lagoa Grande (PE);140132;130030;161055
Lajedo (PE);9200;3888;1600
Limoeiro (PE);5738;2269;12184
Macaparana (PE);22218;23150;21876
Machados (PE);17047;5274;24265
Manari (PE);2550;499;4217
Maraial (PE);2746;2960;6142
Mirandiba (PE);311;186;424
Moreno (PE);37224;59230;44578
Nazaré da Mata (PE);13392;15680;20856
Olinda (PE);26;...;...
Orobó (PE);3251;2321;10727
Orocó (PE);25795;47425;36404
Ouricuri (PE);2724;3157;3327
Palmares (PE);16991;23925;40109
Palmeirina (PE);738;1179;843
Panelas (PE);920;1050;884
Paranatama (PE);2821;3491;1219
Parnamirim (PE);1311;1702;497
Passira (PE);5462;2830;9303
Paudalho (PE);26028;26950;43016
Paulista (PE);26;...;...
Pedra (PE);432;49;14
Pesqueira (PE);4234;4093;4605
Petrolândia (PE);28079;25615;27398
Petrolina (PE);644463;760544;925034
Poção (PE);393;678;457
Pombos (PE);6569;8033;6885
Primavera (PE);23420;23430;22198
Quipapá (PE);12797;14754;14870
Quixaba (PE);817;299;477
Recife (PE);...;...;...
Riacho das Almas (PE);1666;1748;1193
Ribeirão (PE);45836;40326;59922
Rio Formoso (PE);27897;24991;39681
Sairé (PE);23743;33902;36435
Salgadinho (PE);103;34;1464
Salgueiro (PE);897;1036;1927
Saloá (PE);8701;11603;42
Sanharó (PE);1260;1008;1050
Santa Cruz (PE);1681;579;1461
Santa Cruz da Baixa Verde (PE);1790;405;1296
Santa Cruz do Capibaribe (PE);39;95;-
Santa Filomena (PE);2700;1191;3335
Santa Maria da Boa Vista (PE);122664;164582;237604
Santa Maria do Cambucá (PE);632;44;850
Santa Terezinha (PE);1657;283;960
São Benedito do Sul (PE);3335;3616;7238
São Bento do Una (PE);10666;12312;10120
São Caitano (PE);602;703;228
São João (PE);16763;7706;27286
São Joaquim do Monte (PE);11137;15981;16413
São José da Coroa Grande (PE);11000;135;300
São José do Belmonte (PE);15204;10087;9860
São José do Egito (PE);3570;314;918
São Lourenço da Mata (PE);12575;18318;16628
São Vicente Férrer (PE);59765;52590;49384
Serra Talhada (PE);4775;623;2664
Serrita (PE);481;526;918
Sertânia (PE);330;118;358
Sirinhaém (PE);71806;64262;102980
Moreilândia (PE);403;529;765
Solidão (PE);594;216;337
Surubim (PE);461;59;788
Tabira (PE);1971;966;1024
Tacaimbó (PE);1845;840;803
Tacaratu (PE);3901;5030;5157
Tamandaré (PE);12200;12784;14428
Taquaritinga do Norte (PE);1685;2218;1236
Terezinha (PE);781;1140;375
Terra Nova (PE);786;958;2451
Timbaúba (PE);38333;46334;49850
Toritama (PE);26;49;1
Tracunhaém (PE);16368;18480;10808
Trindade (PE);837;230;154
Triunfo (PE);3065;2824;4822
Tupanatinga (PE);5653;1470;852
Tuparetama (PE);397;165;1027
Venturosa (PE);360;4;341
Verdejante (PE);428;365;542
Vertente do Lério (PE);181;35;52
Vertentes (PE);430;193;287
Vicência (PE);70812;74531;63797
Vitória de Santo Antão (PE);21056;33168;29306
Xexéu (PE);11172;12020;11381
Água Branca (AL);830;827;550
Anadia (AL);33137;17622;17954
Arapiraca (AL);35298;31455;29186
Atalaia (AL);80876;56225;47557
Barra de Santo Antônio (AL);12298;11284;10894
Barra de São Miguel (AL);5960;5069;4592
Batalha (AL);235;460;5
Belém (AL);518;665;671
Belo Monte (AL);2212;3254;87
Boca da Mata (AL);4506;52667;55071
Branquinha (AL);19596;29891;43659
Cacimbinhas (AL);393;623;15
Cajueiro (AL);14761;1646;1767
Campestre (AL);11911;10236;10392
Campo Alegre (AL);61744;56528;62670
Campo Grande (AL);341;481;548
Canapi (AL);511;211;90
Capela (AL);31909;28325;26154
Carneiros (AL);157;163;36
Chã Preta (AL);2408;3061;6212
Coité do Nóia (AL);4126;4010;3004
Colônia Leopoldina (AL);34733;37815;35012
Coqueiro Seco (AL);2992;2907;2989
Coruripe (AL);200562;174418;212501
Craíbas (AL);1417;9920;1360
Delmiro Gouveia (AL);233;128;87
Dois Riachos (AL);544;544;-
Estrela de Alagoas (AL);543;477;441
Feira Grande (AL);7085;5853;6495
Feliz Deserto (AL);12075;11695;16098
Flexeiras (AL);22771;23238;25368
Girau do Ponciano (AL);9789;9254;6644
Ibateguara (AL);14150;14611;14526
Igaci (AL);3406;2575;2082
Igreja Nova (AL);54872;42935;45866
Inhapi (AL);590;30;157
Jacaré dos Homens (AL);31;62;...
Jacuípe (AL);11462;9112;8424
Japaratinga (AL);9342;8585;9062
Jaramataia (AL);243;450;-
Jequiá da Praia (AL);67335;53914;49952
Joaquim Gomes (AL);14355;15105;27730
Jundiá (AL);9803;12832;14665
Junqueiro (AL);42369;68010;65569
Lagoa da Canoa (AL);3337;3906;2287
Limoeiro de Anadia (AL);41598;53773;46571
Maceió (AL);39600;39663;30728
Major Isidoro (AL);402;15;23
Maragogi (AL);46170;22305;34867
Maravilha (AL);69;1248;12
Marechal Deodoro (AL);66933;57625;52413
Maribondo (AL);542;574;392
Mar Vermelho (AL);253;271;382
Mata Grande (AL);5449;6353;6887
Matriz de Camaragibe (AL);34710;30853;29807
Messias (AL);31508;27033;24529
Minador do Negrão (AL);94;122;12
Monteirópolis (AL);286;480;512
Murici (AL);47400;55867;51948
Novo Lino (AL);21963;25282;26619
Olho d'Água das Flores (AL);190;305;127
Olho d'Água do Casado (AL);312;95;87
Olho d'Água Grande (AL);294;224;274
Olivença (AL);211;261;156
Ouro Branco (AL);56;382;18
Palestina (AL);97;31;14
Palmeira dos Índios (AL);4888;5330;4185
Pão de Açúcar (AL);355;216;61
Pariconha (AL);590;171;587
Paripueira (AL);8314;9266;7834
Passo de Camaragibe (AL);41590;5720;9115
Paulo Jacinto (AL);265;132;1140
Penedo (AL);76791;124058;123148
Piaçabuçu (AL);4148;4003;9181
Pilar (AL);31153;26817;24163
Pindoba (AL);2686;1611;1537
Piranhas (AL);414;2;-
Poço das Trincheiras (AL);837;568;274
Porto Calvo (AL);35063;30121;30053
Porto de Pedras (AL);8731;7922;15107
Porto Real do Colégio (AL);6951;6838;11192
Quebrangulo (AL);1304;1676;4282
Rio Largo (AL);65702;56559;50354
Roteiro (AL);34540;17727;16979
Santa Luzia do Norte (AL);7664;7036;6476
Santana do Ipanema (AL);403;465;169
Santana do Mundaú (AL);11638;18689;55762
São Brás (AL);257;265;3299
São José da Laje (AL);51997;68047;61481
São José da Tapera (AL);462;327;113
São Luís do Quitunde (AL);70867;62719;61098
São Miguel dos Campos (AL);106842;74304;65131
São Miguel dos Milagres (AL);8781;7270;6825
São Sebastião (AL);30914;20179;23546
Satuba (AL);6202;5150;4650
Senador Rui Palmeira (AL);1057;202;22
Tanque d'Arca (AL);1637;1189;1320
Taquarana (AL);12566;14773;23271
Teotônio Vilela (AL);63362;55508;60219
Traipu (AL);3375;2312;2901
União dos Palmares (AL);63393;76914;74698
Viçosa (AL);5121;5483;6493
Amparo do São Francisco (SE);581;737;685
Aquidabã (SE);10256;12507;13194
Aracaju (SE);60;52;38
Arauá (SE);25673;24782;22557
Areia Branca (SE);5961;3143;6625
Barra dos Coqueiros (SE);1951;1785;1454
Boquim (SE);22439;25063;22086
Brejo Grande (SE);11254;8487;12843
Campo do Brito (SE);7166;7073;6285
Canhoba (SE);2224;4039;3436
Canindé de São Francisco (SE);4798;4969;5070
Capela (SE);32553;26765;16932
Carira (SE);94824;64776;15620
Carmópolis (SE);4328;3814;3216
Cedro de São João (SE);1259;1004;1352
Cristinápolis (SE);32750;29232;35349
Cumbe (SE);4474;4076;2329
Divina Pastora (SE);1944;2478;834
Estância (SE);64170;59459;57980
Feira Nova (SE);7964;4431;1783
Frei Paulo (SE);36520;30801;14561
Gararu (SE);1288;1844;69
General Maynard (SE);140;184;143
Gracho Cardoso (SE);4769;4695;2114
Ilha das Flores (SE);6009;6866;11472
Indiaroba (SE);27774;22325;42585
Itabaiana (SE);28138;25840;34281
Itabaianinha (SE);30682;26804;37119
Itabi (SE);1080;569;-
Itaporanga d'Ajuda (SE);20619;15132;17875
Japaratuba (SE);38511;45181;39646
Japoatã (SE);26800;26665;35116
Lagarto (SE);96153;106634;96964
Laranjeiras (SE);24840;30005;25083
Macambira (SE);6533;6673;7151
Malhada dos Bois (SE);927;749;1173
Malhador (SE);6888;5644;5328
Maruim (SE);6033;8563;7301
Moita Bonita (SE);11129;14499;14377
Monte Alegre de Sergipe (SE);5132;2477;12
Muribeca (SE);5048;4050;4669
Neópolis (SE);45267;51932;43765
Nossa Senhora Aparecida (SE);13216;8557;4733
Nossa Senhora da Glória (SE);12491;8500;3067
Nossa Senhora das Dores (SE);12701;8679;7777
Nossa Senhora de Lourdes (SE);1018;1304;275
Nossa Senhora do Socorro (SE);1141;10183;9693
Pacatuba (SE);21019;17968;29063
Pedra Mole (SE);6234;2931;2136
Pedrinhas (SE);7767;8297;8729
Pinhão (SE);21140;8730;4672
Pirambu (SE);1997;1893;1733
Poço Redondo (SE);11728;10150;10577
Poço Verde (SE);17144;12383;4815
Porto da Folha (SE);3675;1724;162
Propriá (SE);13676;7959;10293
Riachão do Dantas (SE);19409;25614;30351
Riachuelo (SE);8709;9896;10698
Ribeirópolis (SE);6320;4706;5276
Rosário do Catete (SE);11303;13570;10425
Salgado (SE);20571;21672;27141
Santa Luzia do Itanhy (SE);44597;39264;34413
Santana do São Francisco (SE);8762;8561;11088
Santa Rosa de Lima (SE);5233;5143;4056
Santo Amaro das Brotas (SE);11191;11160;10485
São Cristóvão (SE);6515;6602;6125
São Domingos (SE);3412;3659;2583
São Francisco (SE);1570;1345;1013
São Miguel do Aleixo (SE);2315;2040;1369
Simão Dias (SE);75304;85268;26740
Siriri (SE);6296;5105;4004
Telha (SE);2326;1287;2460
Tobias Barreto (SE);5797;4311;2313
Tomar do Geru (SE);15769;14268;17503
Umbaúba (SE);21017;20732;25223
Abaíra (BA);10378;10489;12654
Abaré (BA);882;5403;5291
Acajutiba (BA);29432;21098;17257
Adustina (BA);20965;86250;6930
Água Fria (BA);7302;3769;1537
Érico Cardoso (BA);5781;5249;7150
Aiquara (BA);14199;15576;13596
Alagoinhas (BA);13612;12345;15117
Alcobaça (BA);44188;48409;36494
Almadina (BA);49819;22389;16979
Amargosa (BA);16616;17434;26746
Amélia Rodrigues (BA);14162;316;262
América Dourada (BA);15263;21462;51210
Anagé (BA);1482;1623;1920
Andaraí (BA);392;2338;3005
Andorinha (BA);1961;898;568
Angical (BA);15325;15974;46131
Anguera (BA);872;890;112
Antas (BA);3583;4663;3739
Antônio Cardoso (BA);2042;3652;1163
Antônio Gonçalves (BA);3588;5424;1281
Aporá (BA);3264;4826;6091
Apuarema (BA);13538;16834;20636
Aracatu (BA);1110;1348;754
Araçás (BA);3250;2396;3515
Araci (BA);35791;48404;47149
Aramari (BA);1338;2471;2886
Arataca (BA);41546;43139;40517
Aratuípe (BA);6800;7238;9016
Aurelino Leal (BA);25759;24728;32634
Baianópolis (BA);50104;37151;52829
Baixa Grande (BA);416;1627;532
Banzaê (BA);1917;2543;511
Barra (BA);8492;6260;6209
Barra da Estiva (BA);65826;62080;62233
Barra do Choça (BA);155188;231940;195455
Barra do Mendes (BA);3987;4286;4245
Barra do Rocha (BA);14168;20956;21730
Barreiras (BA);846112;925867;766507
Barro Alto (BA);5980;11246;8078
Barrocas (BA);8100;13121;10372
Barro Preto (BA);15029;17365;17080
Belmonte (BA);55995;61967;58909
Belo Campo (BA);2174;2974;6095
Biritinga (BA);3093;4050;1080
Boa Nova (BA);9182;11553;7959
Boa Vista do Tupim (BA);2350;4925;6311
Bom Jesus da Lapa (BA);116233;254780;165850
Bom Jesus da Serra (BA);27;128;96
Boninal (BA);2966;3175;3573
Bonito (BA);19015;55275;41683
Boquira (BA);1142;1637;633
Botuporã (BA);853;533;1510
Brejões (BA);31584;36659;27678
Brejolândia (BA);3038;3287;3441
Brotas de Macaúbas (BA);1586;570;447
Brumado (BA);5600;9377;7014
Buerarema (BA);11481;14036;12849
Buritirama (BA);551;749;1847
Caatiba (BA);2569;4174;4003
Cabaceiras do Paraguaçu (BA);17653;16498;32056
Cachoeira (BA);22447;15005;23874
Caculé (BA);2581;2928;5793
Caém (BA);1767;6282;13645
Caetanos (BA);7;833;399
Caetité (BA);7608;8434;11842
Cafarnaum (BA);39677;41820;42513
Cairu (BA);21754;21672;14666
Caldeirão Grande (BA);5150;7153;13431
Camacan (BA);17459;26364;23953
Camaçari (BA);10052;22446;20191
Camamu (BA);69696;68136;67105
Campo Alegre de Lourdes (BA);4598;8915;6500
Campo Formoso (BA);64203;81883;75163
Canápolis (BA);3234;4295;3492
Canarana (BA);8842;13645;8703
Canavieiras (BA);43113;32145;39084
Candeal (BA);294;1188;225
Candeias (BA);812;831;1409
Candiba (BA);902;996;941
Cândido Sales (BA);17394;18025;6856
Cansanção (BA);7004;18615;4581
Canudos (BA);17035;6751;26254
Capela do Alto Alegre (BA);568;2262;594
Capim Grosso (BA);1225;2625;4888
Caraíbas (BA);1595;1935;2902
Caravelas (BA);55718;63027;54727
Cardeal da Silva (BA);897;638;1031
Carinhanha (BA);2902;2763;2930
Casa Nova (BA);316675;143282;300807
Castro Alves (BA);7884;7892;10524
Catolândia (BA);768;997;3366
Catu (BA);2415;3697;5186
Caturama (BA);1782;1875;3448
Central (BA);5531;8029;29204
Chorrochó (BA);-;-;-
Cícero Dantas (BA);6580;11289;5101
Cipó (BA);1330;1717;1903
Coaraci (BA);22676;29917;38019
Cocos (BA);158025;119878;115998
Conceição da Feira (BA);4432;2776;6893
Conceição do Almeida (BA);6232;5545;8832
Conceição do Coité (BA);42122;49894;41857
Conceição do Jacuípe (BA);3900;948;469
Conde (BA);20150;14111;16887
Condeúba (BA);895;2428;1524
Contendas do Sincorá (BA);3399;5269;5098
Coração de Maria (BA);8912;12058;9580
Cordeiros (BA);463;683;666
Coribe (BA);19166;17871;30596
Coronel João Sá (BA);10982;4402;35
Correntina (BA);1029645;789164;963903
Cotegipe (BA);12563;12893;42308
Cravolândia (BA);6707;7488;8655
Crisópolis (BA);17380;12183;14044
Cristópolis (BA);15549;18554;46130
Cruz das Almas (BA);26568;40760;14122
Curaçá (BA);51342;40846;46926
Dário Meira (BA);20001;28203;27797
Dias d'Ávila (BA);1015;2025;2334
Dom Basílio (BA);69627;70651;38398
Dom Macedo Costa (BA);7187;7568;6869
Elísio Medrado (BA);7124;7233;10147
Encruzilhada (BA);53807;70363;43629
Entre Rios (BA);12879;14976;24169
Esplanada (BA);57796;51387;61399
Euclides da Cunha (BA);70355;143285;82331
Eunápolis (BA);72021;91358;122081
Fátima (BA);4511;27379;15369
Feira da Mata (BA);7505;3251;362
Feira de Santana (BA);9018;6471;2286
Filadélfia (BA);3907;7768;2196
Firmino Alves (BA);916;2722;2674
Floresta Azul (BA);7655;8693;6897
Formosa do Rio Preto (BA);1420491;1408096;1258445
Gandu (BA);35952;53843;51714
Gavião (BA);855;1719;895
Gentio do Ouro (BA);2691;653;1176
Glória (BA);6650;6136;5661
Gongogi (BA);7386;11206;11659
Governador Mangabeira (BA);16765;18103;32595
Guajeru (BA);779;174;1280
Guanambi (BA);4735;4729;1968
Guaratinga (BA);33846;30685;36527
Heliópolis (BA);4014;14960;1854
Iaçu (BA);18073;22187;9319
Ibiassucê (BA);2794;2366;5016
Ibicaraí (BA);7363;10502;8445
Ibicoara (BA);162012;238772;284814
Ibicuí (BA);18215;22863;15210
Ibipeba (BA);12263;13756;30035
Ibipitanga (BA);722;1207;330
Ibiquera (BA);140;543;86
Ibirapitanga (BA);33270;53430;110541
Ibirapuã (BA);83449;88174;92752
Ibirataia (BA);22790;35326;27867
Ibitiara (BA);441;562;588
Ibititá (BA);16509;20081;11890
Ibotirama (BA);2841;1207;2576
Ichu (BA);188;730;114
Igaporã (BA);2038;1025;5958
Igrapiúna (BA);51251;51886;42829
Iguaí (BA);29357;36763;24322
Ilhéus (BA);113189;154774;121657
Inhambupe (BA);49314;85199;73873
Ipecaetá (BA);2119;1940;1921
Ipiaú (BA);24830;20805;16705
Ipirá (BA);882;1677;258
Ipupiara (BA);1252;2134;799
Irajuba (BA);7105;7475;8685
Iramaia (BA);2848;3895;2598
Iraquara (BA);10241;12271;24999
Irará (BA);23220;15533;16810
Irecê (BA);5134;5185;5191
Itabela (BA);130769;149011;57414
Itaberaba (BA);38123;48148;49713
Itabuna (BA);13301;20748;19033
Itacaré (BA);38454;49727;42454
Itaeté (BA);390;1455;990
Itagi (BA);19750;25071;22842
Itagibá (BA);28340;43125;39141
Itagimirim (BA);1901;2980;6606
Itaguaçu da Bahia (BA);3896;4264;5405
Itaju do Colônia (BA);1152;1609;1480
Itajuípe (BA);44013;38802;53564
Itamaraju (BA);180808;221454;171970
Itamari (BA);17440;31517;32939
Itambé (BA);3873;3773;9263
Itanagra (BA);2283;2383;3385
Itanhém (BA);10507;11027;16693
Itaparica (BA);260;266;270
Itapé (BA);1900;2789;1861
Itapebi (BA);8781;8583;8878
Itapetinga (BA);203;300;371
Itapicuru (BA);66954;69898;51932
Itapitanga (BA);5715;7067;10143
Itaquara (BA);12115;12425;12919
Itarantim (BA);779;1005;1117
Itatim (BA);326;289;455
Itiruçu (BA);15076;16932;15878
Itiúba (BA);8715;7045;4380
Itororó (BA);4207;11636;10407
Ituaçu (BA);36124;44858;74954
Ituberá (BA);58702;59063;71948
Iuiu (BA);11768;4966;1661
Jaborandi (BA);484791;290571;356893
Jacaraci (BA);2341;3003;5199
Jacobina (BA);17690;27483;36986
Jaguaquara (BA);31137;36086;37213
Jaguarari (BA);10332;12429;1293
Jaguaripe (BA);14380;14436;17209
Jandaíra (BA);88818;59423;51114
Jequié (BA);21281;41600;28360
Jeremoabo (BA);16340;13350;3961
Jiquiriçá (BA);14771;14777;31384
Jitaúna (BA);18786;30431;23963
João Dourado (BA);20245;25775;24098
Juazeiro (BA);307647;304485;368936
Jucuruçu (BA);21409;28248;21758
Jussara (BA);6423;6558;2921
Jussari (BA);5866;8599;7492
Jussiape (BA);6734;12666;11825
Lafaiete Coutinho (BA);1968;4186;4046
Lagoa Real (BA);2757;1596;2539
Laje (BA);24727;27028;42363
Lajedão (BA);20348;21466;23426
Lajedinho (BA);352;745;688
Lajedo do Tabocal (BA);20273;20901;18943
Lamarão (BA);553;1439;316
Lapão (BA);17408;24654;28487
Lauro de Freitas (BA);254;260;333
Lençóis (BA);3463;4482;7331
Licínio de Almeida (BA);3494;2544;5814
Livramento de Nossa Senhora (BA);164468;95616;67377
Luís Eduardo Magalhães (BA);809725;865418;597093
Macajuba (BA);391;2029;3609
Macarani (BA);448;494;795
Macaúbas (BA);7892;6137;13513
Macururé (BA);3;35;7
Madre de Deus (BA);31;32;40
Maetinga (BA);275;366;328
Maiquinique (BA);358;375;490
Mairi (BA);530;2092;228
Malhada (BA);13527;6057;2656
Malhada de Pedras (BA);163;261;199
Manoel Vitorino (BA);3410;4164;1968
Mansidão (BA);1302;1788;15916
Maracás (BA);10214;10169;11396
Maragogipe (BA);21387;13461;22845
Maraú (BA);53760;59232;65962
Marcionílio Souza (BA);718;1739;2414
Mascote (BA);16515;25262;15614
Mata de São João (BA);7695;7970;11014
Matina (BA);759;811;28
Medeiros Neto (BA);58816;62079;62800
Miguel Calmon (BA);4737;10528;21603
Milagres (BA);1377;1486;1986
Mirangaba (BA);8414;16410;21804
Mirante (BA);2746;4534;3904
Monte Santo (BA);14073;40322;14080
Morpará (BA);929;361;1111
Morro do Chapéu (BA);16197;17924;15014
Mortugaba (BA);2957;3464;7461
Mucugê (BA);537979;494425;511802
Mucuri (BA);70601;76071;83270
Mulungu do Morro (BA);3364;13185;13263
Mundo Novo (BA);7532;6635;10245
Muniz Ferreira (BA);5872;5235;6605
Muquém do São Francisco (BA);12373;6674;15140
Muritiba (BA);17411;13670;17422
Mutuípe (BA);20411;20561;39195
Nazaré (BA);4070;3521;4294
Nilo Peçanha (BA);21282;21327;34632
Nordestina (BA);11487;14653;14308
Nova Canaã (BA);16512;15855;12635
Nova Fátima (BA);596;1776;648
Nova Ibiá (BA);22187;40365;37483
Nova Itarana (BA);4680;3964;7772
Nova Redenção (BA);150;1624;1552
Nova Soure (BA);1746;6327;7120
Nova Viçosa (BA);20981;21948;23081
Novo Horizonte (BA);4152;10161;10922
Novo Triunfo (BA);828;629;1338
Olindina (BA);4257;5266;10417
Oliveira dos Brejinhos (BA);1037;443;1381
Ouriçangas (BA);648;378;411
Ourolândia (BA);15905;14360;29119
Palmas de Monte Alto (BA);3669;3955;82
Palmeiras (BA);2753;3191;2082
Paramirim (BA);4461;3552;4872
Paratinga (BA);16121;6522;8543
Paripiranga (BA);45796;102321;50411
Pau Brasil (BA);9057;13322;11650
Paulo Afonso (BA);1068;1021;1941
Pé de Serra (BA);379;1515;374
Pedrão (BA);1727;2029;2850
Pedro Alexandre (BA);18125;4861;204
Piatã (BA);11349;9029;9789
Pilão Arcado (BA);4474;5774;6595
Pindaí (BA);5533;4297;2832
Pindobaçu (BA);7145;9944;902
Pintadas (BA);199;567;54
Piraí do Norte (BA);8658;8703;20654
Piripá (BA);404;1256;872
Piritiba (BA);1390;5806;6394
Planaltino (BA);6596;7280;8411
Planalto (BA);23965;28465;13275
Poções (BA);16316;10150;9277
Pojuca (BA);438;827;1323
Ponto Novo (BA);13722;18619;14859
Porto Seguro (BA);85314;52880;96720
Potiraguá (BA);1004;2236;1558
Prado (BA);204592;237575;209592
Presidente Dutra (BA);4037;8136;2274
Presidente Jânio Quadros (BA);754;1203;1115
Presidente Tancredo Neves (BA);32683;33975;41214
Queimadas (BA);2133;2154;1715
Quijingue (BA);5868;26845;25748
Quixabeira (BA);1213;1450;1266
Rafael Jambeiro (BA);675;2144;273
Remanso (BA);4399;4649;5844
Retirolândia (BA);11648;19764;13999
Riachão das Neves (BA);431540;620268;513296
Riachão do Jacuípe (BA);603;2068;682
Riacho de Santana (BA);11374;2847;2269
Ribeira do Amparo (BA);15901;18256;51418
Ribeira do Pombal (BA);4015;6982;4120
Ribeirão do Largo (BA);7550;16500;13633
Rio de Contas (BA);21200;19562;19563
Rio do Antônio (BA);2721;550;2973
Rio do Pires (BA);1921;2065;3249
Rio Real (BA);132925;142591;142126
Rodelas (BA);38972;39287;39676
Ruy Barbosa (BA);1900;2446;2450
Salinas da Margarida (BA);554;569;806
Salvador (BA);7;8;10
Santa Bárbara (BA);2008;2430;156
Santa Brígida (BA);2183;574;339
Santa Cruz Cabrália (BA);28959;31545;45364
Santa Cruz da Vitória (BA);916;2206;2068
Santa Inês (BA);2752;2800;3894
Santaluz (BA);24046;43142;42416
Santa Luzia (BA);22229;27050;25615
Santa Maria da Vitória (BA);18996;9320;24081
Santana (BA);14024;13560;13045
Santanópolis (BA);1570;1503;148
Santa Rita de Cássia (BA);3148;4404;29032
Santa Terezinha (BA);1910;979;1311
Santo Amaro (BA);11303;8933;9570
Santo Antônio de Jesus (BA);13301;13640;15388
Santo Estêvão (BA);3842;2912;798
São Desidério (BA);2304958;2362012;1855473
São Domingos (BA);5807;8241;6866
São Félix (BA);5775;7731;12144
São Félix do Coribe (BA);28787;25152;44360
São Felipe (BA);13053;7011;9741
São Francisco do Conde (BA);1170;1446;2929
São Gabriel (BA);11613;13426;5336
São Gonçalo dos Campos (BA);4434;5549;5903
São José da Vitória (BA);4585;4921;4936
São José do Jacuípe (BA);279;1582;1643
São Miguel das Matas (BA);21475;25361;24470
São Sebastião do Passé (BA);4771;2243;1189
Sapeaçu (BA);28629;26064;12516
Sátiro Dias (BA);9788;22879;56238
Saubara (BA);493;987;1381
Saúde (BA);1119;2768;6667
Seabra (BA);11131;12560;18987
Sebastião Laranjeiras (BA);9047;7086;13091
Senhor do Bonfim (BA);5655;9808;2079
Serra do Ramalho (BA);32373;25301;42646
Sento Sé (BA);113294;108789;113189
Serra Dourada (BA);5473;5743;5983
Serra Preta (BA);383;494;86
Serrinha (BA);2762;4675;2172
Serrolândia (BA);1035;5608;5889
Simões Filho (BA);1683;2101;2600
Sítio do Mato (BA);11419;4707;12455
Sítio do Quinto (BA);1299;6424;670
Sobradinho (BA);22813;25468;27224
Souto Soares (BA);2200;3865;6381
