Tabela 793 - População residente;;;
Variável - População residente (Pessoas);;;
ano;cod;mun;pop
2007;1500107;Abaetetuba (PA);132222
2007;1500131;Abel Figueiredo (PA);6592
2007;1500206;Acará (PA);47923
2007;1500305;Afuá (PA);31183
2007;1500347;Água Azul do Norte (PA);28658
2007;1500404;Alenquer (PA);52661
2007;1500503;Almeirim (PA);30903
2007;1500602;Altamira (PA);92105
2007;1500701;Anajás (PA);24942
2007;1500800;Ananindeua (PA);484278
2007;1500859;Anapu (PA);17787
2007;1500909;Augusto Corrêa (PA);37086
2007;1500958;Aurora do Pará (PA);21239
2007;1501006;Aveiro (PA);18830
2007;1501105;Bagre (PA);18580
2007;1501204;Baião (PA);26190
2007;1501253;Bannach (PA);3812
2007;1501303;Barcarena (PA);84560
2007;1501402;Belém (PA);1408847
2007;1501451;Belterra (PA);12707
2007;1501501;Benevides (PA);43282
2007;1501576;Bom Jesus do Tocantins (PA);13145
2007;1501600;Bonito (PA);11279
2007;1501709;Bragança (PA);101728
2007;1501725;Brasil Novo (PA);18749
2007;1501758;Brejo Grande do Araguaia (PA);7444
2007;1501782;Breu Branco (PA);47069
2007;1501808;Breves (PA);94458
2007;1501907;Bujaru (PA);22535
2007;1501956;Cachoeira do Piriá (PA);17649
2007;1502004;Cachoeira do Arari (PA);18995
2007;1502103;Cametá (PA);110323
2007;1502152;Canaã dos Carajás (PA);23757
2007;1502202;Capanema (PA);61350
2007;1502301;Capitão Poço (PA);50839
2007;1502400;Castanhal (PA);152126
2007;1502509;Chaves (PA);19368
2007;1502608;Colares (PA);10981
2007;1502707;Conceição do Araguaia (PA);45267
2007;1502756;Concórdia do Pará (PA);21422
2007;1502764;Cumaru do Norte (PA);10452
2007;1502772;Curionópolis (PA);17769
2007;1502806;Curralinho (PA);25388
2007;1502855;Curuá (PA);11928
2007;1502905;Curuçá (PA);33768
2007;1502939;Dom Eliseu (PA);38150
2007;1502954;Eldorado do Carajás (PA);28554
2007;1503002;Faro (PA);17253
2007;1503044;Floresta do Araguaia (PA);14964
2007;1503077;Garrafão do Norte (PA);24619
2007;1503093;Goianésia do Pará (PA);27166
2007;1503101;Gurupá (PA);24384
2007;1503200;Igarapé-Açu (PA);33778
2007;1503309;Igarapé-Miri (PA);54673
2007;1503408;Inhangapi (PA);9592
2007;1503457;Ipixuna do Pará (PA);39563
2007;1503507;Irituia (PA);29746
2007;1503606;Itaituba (PA);118194
2007;1503705;Itupiranga (PA);42002
2007;1503754;Jacareacanga (PA);37073
2007;1503804;Jacundá (PA);51511
2007;1503903;Juruti (PA);33775
2007;1504000;Limoeiro do Ajuru (PA);23284
2007;1504059;Mãe do Rio (PA);27614
2007;1504109;Magalhães Barata (PA);7650
2007;1504208;Marabá (PA);196468
2007;1504307;Maracanã (PA);28296
2007;1504406;Marapanim (PA);26651
2007;1504422;Marituba (PA);93416
2007;1504455;Medicilândia (PA);22624
2007;1504505;Melgaço (PA);17845
2007;1504604;Mocajuba (PA);23258
2007;1504703;Moju (PA);63821
2007;1504802;Monte Alegre (PA);61350
2007;1504901;Muaná (PA);28796
2007;1504950;Nova Esperança do Piriá (PA);22447
2007;1504976;Nova Ipixuna (PA);14086
2007;1505007;Nova Timboteua (PA);12103
2007;1505031;Novo Progresso (PA);21598
2007;1505064;Novo Repartimento (PA);51645
2007;1505106;Óbidos (PA);46793
2007;1505205;Oeiras do Pará (PA);25420
2007;1505304;Oriximiná (PA);55175
2007;1505403;Ourém (PA);15152
2007;1505437;Ourilândia do Norte (PA);20415
2007;1505486;Pacajá (PA);38365
2007;1505494;Palestina do Pará (PA);7156
2007;1505502;Paragominas (PA);90819
2007;1505536;Parauapebas (PA);133298
2007;1505551;Pau D'Arco (PA);6466
2007;1505601;Peixe-Boi (PA);7679
2007;1505635;Piçarra (PA);12707
2007;1505650;Placas (PA);17898
2007;1505700;Ponta de Pedras (PA);24276
2007;1505809;Portel (PA);45586
2007;1505908;Porto de Moz (PA);26489
2007;1506005;Prainha (PA);26436
2007;1506104;Primavera (PA);10463
2007;1506112;Quatipuru (PA);12620
2007;1506138;Redenção (PA);64583
2007;1506161;Rio Maria (PA);16993
2007;1506187;Rondon do Pará (PA);45016
2007;1506195;Rurópolis (PA);32950
2007;1506203;Salinópolis (PA);37066
2007;1506302;Salvaterra (PA);17077
2007;1506351;Santa Bárbara do Pará (PA);13714
2007;1506401;Santa Cruz do Arari (PA);5921
2007;1506500;Santa Izabel do Pará (PA);51763
2007;1506559;Santa Luzia do Pará (PA);18123
