mun;ano;estab;taxa_estab
Mg-Perdoes;2004;63;0,113718412
Mg-Periquito;2004;1;0,03125
Mg-Pescador;2004;2;0,0625
Mg-Piau;2004;6;0,084507042
Mg-Piedade de Caratinga;2004;2;0,037735849
Mg-Piedade de Ponte Nova;2004;5;0,081967213
Mg-Piedade do Rio Grande;2004;3;0,033333333
Mg-Piedade dos Gerais;2004;3;0,107142857
Mg-Pimenta;2004;8;0,064
Mg-Pingo D'Agua;2004;0;0
Mg-Pintopolis;2004;1;0,071428571
Mg-Piracema;2004;7;0,05
Mg-Pirajuba;2004;2;0,023255814
Mg-Piranga;2004;4;0,032520325
Mg-Pirangucu;2004;8;0,098765432
Mg-Piranguinho;2004;16;0,109589041
Mg-Pirapetinga;2004;13;0,073446328
Mg-Pirapora;2004;78;0,091981132
Mg-Pirauba;2004;48;0,192771084
Mg-Pitangui;2004;58;0,112185687
Mg-Piumhi;2004;47;0,062750334
Mg-Planura;2004;5;0,03875969
Mg-Poco Fundo;2004;46;0,163701068
Mg-Pocos de Caldas;2004;354;0,089939024
Mg-Pocrane;2004;2;0,041666667
Mg-Pompeu;2004;83;0,127692308
Mg-Ponte Nova;2004;105;0,064220183
Mg-Ponto Chique;2004;0;0
Mg-Ponto dos Volantes;2004;1;0,038461538
Mg-Porteirinha;2004;12;0,047619048
Mg-Porto Firme;2004;10;0,105263158
Mg-Pote;2004;4;0,060606061
Mg-Pouso Alegre;2004;296;0,091358025
Mg-Pouso Alto;2004;17;0,092391304
Mg-Prados;2004;28;0,25
Mg-Prata;2004;27;0,029411765
Mg-Pratapolis;2004;17;0,078703704
Mg-Pratinha;2004;0;0
Mg-Presidente Bernardes;2004;2;0,055555556
Mg-Presidente Juscelino;2004;6;0,092307692
Mg-Presidente Kubitschek;2004;0;0
Mg-Presidente Olegario;2004;16;0,037825059
Mg-Alto Jequitiba;2004;7;0,082352941
Mg-Prudente de Morais;2004;14;0,102941176
Mg-Quartel Geral;2004;7;0,072164948
Mg-Queluzito;2004;1;0,021276596
Mg-Raposos;2004;5;0,080645161
Mg-Raul Soares;2004;27;0,075630252
Mg-Recreio;2004;28;0,14213198
Mg-Reduto;2004;3;0,041666667
Mg-Resende Costa;2004;37;0,183168317
Mg-Resplendor;2004;23;0,057934509
Mg-Ressaquinha;2004;9;0,096774194
Mg-Riachinho;2004;2;0,040816327
Mg-Riacho dos Machados;2004;0;0
Mg-Ribeirao das Neves;2004;100;0,092081031
Mg-Ribeirao Vermelho;2004;8;0,129032258
Mg-Rio Acima;2004;12;0,034285714
Mg-Rio Casca;2004;27;0,06601467
Mg-Rio Doce;2004;2;0,04
Mg-Rio do Prado;2004;0;0
Mg-Rio Espera;2004;2;0,105263158
Mg-Rio Manso;2004;8;0,148148148
Mg-Rio Novo;2004;26;0,101960784
Mg-Rio Paranaiba;2004;17;0,057432432
Mg-Rio Pardo de Minas;2004;15;0,130434783
Mg-Rio Piracicaba;2004;5;0,026041667
Mg-Rio Pomba;2004;60;0,138568129
Mg-Rio Preto;2004;5;0,037313433
Mg-Rio Vermelho;2004;2;0,026315789
Mg-Ritapolis;2004;8;0,103896104
Mg-Rochedo de Minas;2004;8;0,177777778
Mg-Rodeiro;2004;43;0,349593496
Mg-Romaria;2004;5;0,068493151
Mg-Rosario da Limeira;2004;5;0,166666667
Mg-Rubelita;2004;2;0,064516129
Mg-Rubim;2004;2;0,013333333
Mg-Sabara;2004;122;0,165087957
Mg-Sabinopolis;2004;7;0,037234043
Mg-Sacramento;2004;60;0,070175439
Mg-Salinas;2004;48;0,100208768
Mg-Salto da Divisa;2004;4;0,042105263
Mg-Santa Barbara;2004;31;0,083333333
Mg-Santa Barbara do Leste;2004;1;0,023809524
Mg-Santa Barbara do Monte Verde;2004;5;0,108695652
Mg-Santa Barbara do Tugurio;2004;5;0,104166667
Mg-Santa Cruz de Minas;2004;28;0,345679012
Mg-Santa Cruz de Salinas;2004;0;0
Mg-Santa Cruz do Escalvado;2004;4;0,047058824
Mg-Santa Efigenia de Minas;2004;0;0
Mg-Santa Fe de Minas;2004;2;0,095238095
Mg-Santa Helena de Minas;2004;2;0,25
Mg-Santa Juliana;2004;13;0,053278689
Mg-Santa Luzia;2004;163;0,133825944
Mg-Santa Margarida;2004;3;0,041666667
Mg-Santa Maria de Itabira;2004;8;0,042780749
Mg-Santa Maria do Salto;2004;1;0,035714286
Mg-Santa Maria do Suacui;2004;18;0,125
Mg-Santana da Vargem;2004;11;0,047619048
Mg-Santana de Cataguases;2004;12;0,222222222
Mg-Santana de Pirapama;2004;5;0,072463768
Mg-Santana do Deserto;2004;13;0,160493827
Mg-Santana do Garambeu;2004;2;0,058823529
Mg-Santana do Jacare;2004;11;0,196428571
Mg-Santana do Manhuacu;2004;3;0,066666667
Mg-Santana do Paraiso;2004;27;0,177631579
Mg-Santana do Riacho;2004;2;0,04
Mg-Santana dos Montes;2004;1;0,033333333
Mg-Santa Rita de Caldas;2004;11;0,078571429
Mg-Santa Rita de Jacutinga;2004;6;0,05
Mg-Santa Rita de Minas;2004;9;0,1125
Mg-Santa Rita de Ibitipoca;2004;4;0,075471698
Mg-Santa Rita do Itueto;2004;3;0,107142857
Mg-Santa Rita do Sapucai;2004;156;0,1625
Mg-Santa Rosa da Serra;2004;2;0,068965517
Mg-Santa Vitoria;2004;23;0,037520392
Mg-Santo Antonio do Amparo;2004;12;0,038961039
Mg-Santo Antonio do Aventureiro;2004;7;0,111111111
Mg-Santo Antonio do Grama;2004;0;0
Mg-Santo Antonio do Itambe;2004;2;0,0625
Mg-Santo Antonio do Jacinto;2004;1;0,037037037
Mg-Santo Antonio do Monte;2004;123;0,185240964
Mg-Santo Antonio do Retiro;2004;0;0
Mg-Santo Antonio do Rio Abaixo;2004;1;0,071428571
Mg-Santo Hipolito;2004;3;0,054545455
Mg-Santos Dumont;2004;61;0,066812705
Mg-Sao Bento Abade;2004;3;0,055555556
Mg-Sao Bras do Suacui;2004;8;0,109589041
Mg-Sao Domingos das Dores;2004;2;0,052631579
Mg-Sao Domingos do Prata;2004;25;0,080128205
Mg-Sao Felix de Minas;2004;0;0
Mg-Sao Francisco;2004;11;0,033536585
Mg-Sao Francisco de Paula;2004;8;0,071428571
Mg-Sao Francisco de Sales;2004;15;0,080213904
Mg-Sao Francisco do Gloria;2004;4;0,088888889
Mg-Sao Geraldo;2004;41;0,297101449
Mg-Sao Geraldo da Piedade;2004;0;0
Mg-Sao Geraldo do Baixio;2004;0;0
Mg-Sao Goncalo do Abaete;2004;3;0,020408163
Mg-Sao Goncalo do Para;2004;63;0,271551724
Mg-Sao Goncalo do Rio Abaixo;2004;10;0,072992701
Mg-Sao Goncalo do Sapucai;2004;48;0,086799277
Mg-Sao Gotardo;2004;48;0,071964018
Mg-Sao Joao Batista do Gloria;2004;18;0,105882353
Mg-Sao Joao da Lagoa;2004;2;0,074074074
Mg-Sao Joao da Mata;2004;8;0,19047619
Mg-Sao Joao da Ponte;2004;3;0,036585366
Mg-Sao Joao das Missoes;2004;0;0
Mg-Sao Joao Del Rei;2004;230;0,119854091
Mg-Sao Joao do Manhuacu;2004;4;0,06557377
Mg-Sao Joao do Manteninha;2004;19;0,452380952
Mg-Sao Joao do Oriente;2004;8;0,123076923
Mg-Sao Joao do Pacui;2004;0;0
Mg-Sao Joao do Paraiso;2004;20;0,172413793
Mg-Sao Joao Evangelista;2004;13;0,10483871
Mg-Sao Joao Nepomuceno;2004;160;0,218579235
Mg-Sao Joaquim de Bicas;2004;51;0,274193548
Mg-Sao Jose da Barra;2004;12;0,142857143
Mg-Sao Jose da Lapa;2004;27;0,1875
Mg-Sao Jose da Safira;2004;9;0,375
Mg-Sao Jose da Varginha;2004;1;0,009345794
Mg-Sao Jose do Alegre;2004;5;0,089285714
Mg-Sao Jose do Divino;2004;0;0
Mg-Sao Jose do Goiabal;2004;7;0,076923077
Mg-Sao Jose do Jacuri;2004;1;0,055555556
Mg-Sao Jose do Mantimento;2004;0;0
Mg-Sao Lourenco;2004;111;0,084797555
Mg-Sao Miguel do Anta;2004;5;0,081967213
Mg-Sao Pedro da Uniao;2004;3;0,039473684
Mg-Sao Pedro dos Ferros;2004;11;0,061797753
Mg-Sao Pedro do Suacui;2004;3;0,107142857
Mg-Sao Romao;2004;0;0
Mg-Sao Roque de Minas;2004;4;0,055555556
Mg-Sao Sebastiao da Bela Vista;2004;12;0,117647059
Mg-Sao Sebastiao da Vargem Alegre;2004;3;0,272727273
Mg-Sao Sebastiao do Anta;2004;2;0,105263158
Mg-Sao Sebastiao do Maranhao;2004;3;0,214285714
Mg-Sao Sebastiao do Oeste;2004;15;0,102739726
Mg-Sao Sebastiao do Paraiso;2004;190;0,108633505
Mg-Sao Sebastiao do Rio Preto;2004;0;0
Mg-Sao Sebastiao do Rio Verde;2004;3;0,075
Mg-Sao Tiago;2004;47;0,18359375
Mg-Sao Tomas de Aquino;2004;12;0,075949367
Mg-Sao Thome das Letras;2004;104;0,442553191
Mg-Sao Vicente de Minas;2004;21;0,110526316
Mg-Sapucai-Mirim;2004;20;0,163934426
Mg-Sardoa;2004;0;0
Mg-Sarzedo;2004;17;0,114864865
Mg-Setubinha;2004;0;0
Mg-Sem-Peixe;2004;1;0,0625
Mg-Senador Amaral;2004;0;0
Mg-Senador Cortes;2004;3;0,066666667
Mg-Senador Firmino;2004;11;0,144736842
Mg-Senador Jose Bento;2004;1;0,125
Mg-Senador Modestino Goncalves;2004;1;0,045454545
Mg-Senhora de Oliveira;2004;4;0,083333333
Mg-Senhora do Porto;2004;1;0,028571429
Mg-Senhora dos Remedios;2004;6;0,12244898
Mg-Sericita;2004;1;0,034482759
Mg-Seritinga;2004;2;0,074074074
Mg-Serra Azul de Minas;2004;1;0,058823529
Mg-Serra da Saudade;2004;0;0
Mg-Serra dos Aimores;2004;2;0,026666667
Mg-Serra do Salitre;2004;12;0,041666667
Mg-Serrania;2004;16;0,123076923
Mg-Serranopolis de Minas;2004;0;0
Mg-Serranos;2004;2;0,048780488
Mg-Serro;2004;14;0,047138047
Mg-Sete Lagoas;2004;472;0,119766557
Mg-Silveirania;2004;2;0,058823529
Mg-Silvianopolis;2004;16;0,105960265
Mg-Simao Pereira;2004;2;0,03030303
Mg-Simonesia;2004;4;0,03960396
Mg-Sobralia;2004;2;0,028985507
Mg-Soledade de Minas;2004;12;0,105263158
Mg-Tabuleiro;2004;8;0,072072072
Mg-Taiobeiras;2004;66;0,181818182
Mg-Taparuba;2004;5;0,192307692
Mg-Tapira;2004;1;0,011363636
Mg-Tapirai;2004;1;0,034482759
Mg-Taquaracu de Minas;2004;6;0,127659574
Mg-Tarumirim;2004;9;0,073170732
Mg-Teixeiras;2004;23;0,12568306
Mg-Teofilo Otoni;2004;183;0,071905697
Mg-Timoteo;2004;165;0,118619698
Mg-Tiradentes;2004;44;0,154385965
Mg-Tiros;2004;6;0,041666667
Mg-Tocantins;2004;59;0,172011662
Mg-Tocos do Moji;2004;3;0,130434783
Mg-Toledo;2004;6;0,3
Mg-Tombos;2004;15;0,085714286
Mg-Tres Coracoes;2004;138;0,08313253
Mg-Tres Marias;2004;31;0,063655031
Mg-Tres Pontas;2004;70;0,046948357
Mg-Tumiritinga;2004;2;0,037037037
Mg-Tupaciguara;2004;43;0,068690096
Mg-Turmalina;2004;31;0,161458333
Mg-Turvolandia;2004;6;0,055045872
Mg-Uba;2004;484;0,203789474
Mg-Ubai;2004;1;0,037037037
Mg-Ubaporanga;2004;6;0,06
Mg-Uberaba;2004;745;0,097372892
Mg-Uberlandia;2004;1067;0,084749801
Mg-Umburatiba;2004;1;0,023255814
Mg-Unai;2004;111;0,055223881
Mg-Uniao de Minas;2004;2;0,013071895
Mg-Uruana de Minas;2004;1;0,043478261
Mg-Urucania;2004;6;0,047244094
Mg-Urucuia;2004;0;0
Mg-Vargem Alegre;2004;3;0,073170732
Mg-Vargem Bonita;2004;1;0,022727273
Mg-Vargem Grande do Rio Pardo;2004;4;0,285714286
Mg-Varginha;2004;294;0,087266251
Mg-Varjao de Minas;2004;6;0,065217391
Mg-Varzea da Palma;2004;60;0,12145749
Mg-Varzelandia;2004;0;0
Mg-Vazante;2004;22;0,055837563
Mg-Verdelandia;2004;0;0
Mg-Veredinha;2004;0;0
Mg-Verissimo;2004;6;0,044117647
Mg-Vermelho Novo;2004;3;0,214285714
Mg-Vespasiano;2004;87;0,135303266
Mg-Vicosa;2004;155;0,081151832
Mg-Vieiras;2004;0;0
Mg-Mathias Lobato;2004;0;0
Mg-Virgem da Lapa;2004;6;0,084507042
Mg-Virginia;2004;10;0,078125
Mg-Virginopolis;2004;7;0,056910569
Mg-Virgolandia;2004;0;0
Mg-Visconde do Rio Branco;2004;124;0,145882353
Mg-Volta Grande;2004;8;0,062992126
Mg-Wenceslau Braz;2004;6;0,142857143
Mg-Abadia dos Dourados;2005;10;0,104166667
Mg-Abaete;2005;40;0,05730659
Mg-Abre Campo;2005;14;0,072916667
Mg-Acaiaca;2005;6;0,113207547
Mg-Acucena;2005;1;0,009345794
Mg-Agua Boa;2005;5;0,052631579
Mg-Agua Comprida;2005;3;0,048387097
Mg-Aguanil;2005;10;0,099009901
Mg-Aguas Formosas;2005;2;0,011494253
Mg-Aguas Vermelhas;2005;2;0,037037037
Mg-Aimores;2005;35;0,07231405
Mg-Aiuruoca;2005;9;0,050847458
Mg-Alagoa;2005;2;0,1
Mg-Albertina;2005;6;0,089552239
Mg-Alem Paraiba;2005;47;0,06167979
Mg-Alfenas;2005;152;0,080380751
Mg-Alfredo Vasconcelos;2005;7;0,067307692
Mg-Almenara;2005;26;0,041139241
Mg-Alpercata;2005;10;0,084033613
Mg-Alpinopolis;2005;45;0,113636364
Mg-Alterosa;2005;13;0,064356436
Mg-Alto Caparao;2005;2;0,038461538
Mg-Alto Rio Doce;2005;5;0,051020408
Mg-Alvarenga;2005;0;0
Mg-Alvinopolis;2005;20;0,089686099
Mg-Alvorada de Minas;2005;1;0,029411765
Mg-Amparo do Serra;2005;0;0
Mg-Andradas;2005;163;0,151346332
Mg-Cachoeira de Pajeu;2005;13;0,276595745
Mg-Andrelandia;2005;18;0,06
Mg-Angelandia;2005;2;0,071428571
Mg-Antonio Carlos;2005;14;0,061674009
Mg-Antonio Dias;2005;10;0,089285714
Mg-Antonio Prado de Minas;2005;0;0
Mg-Aracai;2005;4;0,078431373
Mg-Aracitaba;2005;0;0
Mg-Aracuai;2005;30;0,064102564
Mg-Araguari;2005;262;0,100421617
Mg-Arantina;2005;2;0,045454545
Mg-Araponga;2005;5;0,104166667
Mg-Arapora;2005;8;0,054054054
Mg-Arapua;2005;1;0,032258065
Mg-Araujos;2005;100;0,318471338
Mg-Araxa;2005;171;0,072335025
Mg-Arceburgo;2005;21;0,09375
Mg-Arcos;2005;129;0,139008621
Mg-Areado;2005;15;0,04491018
Mg-Argirita;2005;4;0,05
Mg-Aricanduva;2005;0;0
Mg-Arinos;2005;13;0,056768559
Mg-Astolfo Dutra;2005;83;0,27852349
Mg-Ataleia;2005;8;0,052980132
Mg-Augusto de Lima;2005;6;0,072289157
Mg-Baependi;2005;51;0,1
Mg-Baldim;2005;18;0,13740458
Mg-Bambui;2005;38;0,070763501
Mg-Bandeira;2005;1;0,047619048
Mg-Bandeira do Sul;2005;18;0,268656716
Mg-Barao de Cocais;2005;34;0,099415205
Mg-Barao de Monte Alto;2005;2;0,022727273
Mg-Barbacena;2005;174;0,065512048
Mg-Barra Longa;2005;4;0,041237113
Mg-Barroso;2005;39;0,125806452
Mg-Bela Vista de Minas;2005;4;0,04494382
Mg-Belmiro Braga;2005;14;0,127272727
Mg-Belo Horizonte;2005;4972;0,079231272
Mg-Belo Oriente;2005;16;0,074418605
Mg-Belo Vale;2005;11;0,097345133
Mg-Berilo;2005;4;0,06557377
Mg-Bertopolis;2005;0;0
Mg-Berizal;2005;6;0,315789474
Mg-Betim;2005;612;0,161307327
Mg-Bias Fortes;2005;6;0,088235294
Mg-Bicas;2005;53;0,122119816
Mg-Biquinhas;2005;6;0,109090909
Mg-Boa Esperanca;2005;38;0,038934426
Mg-Bocaina de Minas;2005;6;0,077922078
Mg-Bocaiuva;2005;51;0,08044164
Mg-Bom Despacho;2005;137;0,093643199
Mg-Bom Jardim de Minas;2005;12;0,09375
Mg-Bom Jesus da Penha;2005;5;0,075757576
Mg-Bom Jesus do Amparo;2005;6;0,050420168
Mg-Bom Jesus do Galho;2005;3;0,027272727
Mg-Bom Repouso;2005;6;0,073170732
Mg-Bom Sucesso;2005;27;0,058189655
Mg-Bonfim;2005;10;0,104166667
Mg-Bonfinopolis de Minas;2005;3;0,024193548
Mg-Bonito de Minas;2005;0;0
Mg-Borda da Mata;2005;111;0,306629834
Mg-Botelhos;2005;29;0,088957055
Mg-Botumirim;2005;2;0,068965517
Mg-Brasilandia de Minas;2005;8;0,034632035
Mg-Brasilia de Minas;2005;7;0,03030303
Mg-Bras Pires;2005;3;0,142857143
Mg-Braunas;2005;0;0
Mg-Brazopolis;2005;26;0,101167315
Mg-Brumadinho;2005;50;0,097847358
Mg-Bueno Brandao;2005;23;0,161971831
Mg-Buenopolis;2005;12;0,086330935
Mg-Bugre;2005;1;0,071428571
Mg-Buritis;2005;12;0,031830239
Mg-Buritizeiro;2005;13;0,038011696
Mg-Cabeceira Grande;2005;4;0,057142857
Mg-Cabo Verde;2005;17;0,044854881
Mg-Cachoeira da Prata;2005;18;0,233766234
Mg-Cachoeira de Minas;2005;30;0,196078431
Mg-Cachoeira Dourada;2005;3;0,066666667
Mg-Caetanopolis;2005;26;0,153846154
Mg-Caete;2005;53;0,116483516
Mg-Caiana;2005;1;0,034482759
Mg-Cajuri;2005;1;0,02173913
Mg-Caldas;2005;48;0,14953271
Mg-Camacho;2005;1;0,047619048
Mg-Camanducaia;2005;66;0,12890625
Mg-Cambui;2005;96;0,18079096
Mg-Cambuquira;2005;23;0,063186813
Mg-Campanario;2005;4;0,074074074
Mg-Campanha;2005;70;0,143149284
Mg-Campestre;2005;40;0,112676056
Mg-Campina Verde;2005;25;0,037821483
Mg-Campo Azul;2005;0;0
Mg-Campo Belo;2005;189;0,132724719
Mg-Campo do Meio;2005;16;0,089385475
Mg-Campo Florido;2005;5;0,024038462
Mg-Campos Altos;2005;21;0,064417178
Mg-Campos Gerais;2005;33;0,050381679
Mg-Canaa;2005;2;0,05
Mg-Canapolis;2005;9;0,046632124
Mg-Cana Verde;2005;6;0,082191781
Mg-Candeias;2005;40;0,115606936
Mg-Cantagalo;2005;5;0,238095238
Mg-Caparao;2005;2;0,074074074
Mg-Capela Nova;2005;5;0,166666667
Mg-Capelinha;2005;35;0,082352941
Mg-Capetinga;2005;19;0,102150538
Mg-Capim Branco;2005;7;0,058333333
Mg-Capinopolis;2005;24;0,065395095
Mg-Capitao Andrade;2005;1;0,033333333
Mg-Capitao Eneas;2005;8;0,070175439
Mg-Capitolio;2005;30;0,15
Mg-Caputira;2005;2;0,031746032
Mg-Carai;2005;6;0,103448276
Mg-Caranaiba;2005;2;0,054054054
Mg-Carandai;2005;26;0,055674518
Mg-Carangola;2005;60;0,081190798
Mg-Caratinga;2005;114;0,067137809
Mg-Carbonita;2005;6;0,063157895
Mg-Careacu;2005;21;0,134615385
Mg-Carlos Chagas;2005;15;0,026595745
Mg-Carmesia;2005;0;0
Mg-Carmo da Cachoeira;2005;9;0,025139665
Mg-Carmo da Mata;2005;36;0,156521739
Mg-Carmo de Minas;2005;12;0,034482759
Mg-Carmo do Cajuru;2005;116;0,281553398
Mg-Carmo do Paranaiba;2005;50;0,068027211
Mg-Carmo do Rio Claro;2005;51;0,087931034
Mg-Carmopolis de Minas;2005;42;0,127272727
Mg-Carneirinho;2005;16;0,050473186
Mg-Carrancas;2005;4;0,037735849
Mg-Carvalhopolis;2005;5;0,087719298
Mg-Carvalhos;2005;3;0,056603774
Mg-Casa Grande;2005;1;0,027027027
Mg-Cascalho Rico;2005;1;0,016393443
Mg-Cassia;2005;48;0,086021505
Mg-Conceicao da Barra de Minas;2005;2;0,055555556
Mg-Cataguases;2005;155;0,095619988
Mg-Catas Altas;2005;2;0,040816327
Mg-Catas Altas da Noruega;2005;1;0,043478261
Mg-Catuji;2005;2;0,064516129
Mg-Catuti;2005;0;0
Mg-Caxambu;2005;45;0,069124424
Mg-Cedro do Abaete;2005;0;0
Mg-Central de Minas;2005;8;0,115942029
Mg-Centralina;2005;6;0,037037037
Mg-Chacara;2005;3;0,04
Mg-Chale;2005;3;0,066666667
Mg-Chapada do Norte;2005;2;0,068965517
Mg-Chapada Gaucha;2005;0;0
Mg-Chiador;2005;1;0,02173913
Mg-Cipotanea;2005;4;0,111111111
Mg-Claraval;2005;10;0,096153846
Mg-Claro dos Pocoes;2005;1;0,014705882
Mg-Claudio;2005;160;0,237741456
Mg-Coimbra;2005;7;0,05785124
Mg-Coluna;2005;5;0,092592593
Mg-Comendador Gomes;2005;0;0
Mg-Comercinho;2005;4;0,266666667
Mg-Conceicao da Aparecida;2005;5;0,034246575
Mg-Conceicao das Pedras;2005;4;0,05
Mg-Conceicao das Alagoas;2005;21;0,046357616
Mg-Conceicao de Ipanema;2005;2;0,074074074
Mg-Conceicao do Mato Dentro;2005;8;0,046511628
Mg-Conceicao do Para;2005;10;0,086206897
Mg-Conceicao do Rio Verde;2005;19;0,057228916
Mg-Conceicao dos Ouros;2005;88;0,442211055
Mg-Conego Marinho;2005;0;0
Mg-Confins;2005;19;0,193877551
Mg-Congonhal;2005;35;0,255474453
Mg-Congonhas;2005;43;0,058984911
Mg-Congonhas do Norte;2005;0;0
Mg-Conquista;2005;14;0,073684211
Mg-Conselheiro Lafaiete;2005;148;0,069191211
Mg-Conselheiro Pena;2005;31;0,080310881
Mg-Consolacao;2005;2;0,105263158
Mg-Contagem;2005;1518;0,161386349
Mg-Coqueiral;2005;10;0,050251256
Mg-Coracao de Jesus;2005;9;0,055555556
Mg-Cordisburgo;2005;7;0,050724638
Mg-Cordislandia;2005;2;0,023529412
Mg-Corinto;2005;38;0,072519084
Mg-Coroaci;2005;2;0,03030303
Mg-Coromandel;2005;44;0,060773481
Mg-Coronel Fabriciano;2005;116;0,068275456
Mg-Coronel Murta;2005;8;0,148148148
Mg-Coronel Pacheco;2005;6;0,111111111
Mg-Coronel Xavier Chaves;2005;10;0,133333333
Mg-Corrego Danta;2005;1;0,012048193
Mg-Corrego do Bom Jesus;2005;1;0,037037037
Mg-Corrego Fundo;2005;84;0,604316547
Mg-Corrego Novo;2005;1;0,025641026
Mg-Couto de Magalhaes de Minas;2005;5;0,113636364
Mg-Crisolita;2005;1;0,012345679
Mg-Cristais;2005;63;0,242307692
Mg-Cristalia;2005;1;0,047619048
Mg-Cristiano Otoni;2005;11;0,11
Mg-Cristina;2005;20;0,102040816
Mg-Crucilandia;2005;11;0,166666667
Mg-Cruzeiro da Fortaleza;2005;3;0,045454545
Mg-Cruzilia;2005;42;0,118309859
Mg-Cuparaque;2005;1;0,0625
Mg-Curral de Dentro;2005;7;0,25
Mg-Curvelo;2005;141;0,075240128
Mg-Datas;2005;4;0,117647059
Mg-Delfim Moreira;2005;14;0,085889571
Mg-Delfinopolis;2005;3;0,013215859
Mg-Delta;2005;3;0,02970297
Mg-Descoberto;2005;26;0,203125
Mg-Desterro de Entre Rios;2005;6;0,113207547
Mg-Desterro do Melo;2005;2;0,035714286
Mg-Diamantina;2005;49;0,06163522
Mg-Diogo de Vasconcelos;2005;1;0,052631579
Mg-Dionisio;2005;5;0,041322314
Mg-Divinesia;2005;8;0,140350877
Mg-Divino;2005;12;0,064864865
Mg-Divino das Laranjeiras;2005;1;0,022222222
Mg-Divinolandia de Minas;2005;2;0,054054054
Mg-Divinopolis;2005;1132;0,194769443
Mg-Divisa Alegre;2005;2;0,068965517
Mg-Divisa Nova;2005;6;0,050847458
Mg-Divisopolis;2005;3;0,085714286
Mg-Dom Bosco;2005;1;0,043478261
Mg-Dom Cavati;2005;4;0,063492063
Mg-Dom Joaquim;2005;1;0,03125
Mg-Dom Silverio;2005;21;0,166666667
Mg-Dom Vicoso;2005;0;0
Mg-Dona Eusebia;2005;12;0,127659574
Mg-Dores de Campos;2005;82;0,431578947
Mg-Dores de Guanhaes;2005;6;0,125
Mg-Dores do Indaia;2005;41;0,073345259
Mg-Dores do Turvo;2005;4;0,108108108
Mg-Doresopolis;2005;2;0,105263158
Mg-Douradoquara;2005;2;0,111111111
Mg-Durande;2005;2;0,052631579
Mg-Eloi Mendes;2005;64;0,09653092
Mg-Engenheiro Caldas;2005;19;0,10106383
Mg-Engenheiro Navarro;2005;6;0,113207547
Mg-Entre Folhas;2005;1;0,032258065
Mg-Entre Rios de Minas;2005;19;0,067857143
Mg-Ervalia;2005;37;0,162995595
Mg-Esmeraldas;2005;52;0,087542088
Mg-Espera Feliz;2005;30;0,094043887
Mg-Espinosa;2005;31;0,136563877
Mg-Espirito Santo do Dourado;2005;5;0,12195122
Mg-Estiva;2005;15;0,141509434
Mg-Estrela Dalva;2005;0;0
Mg-Estrela do Indaia;2005;4;0,033057851
Mg-Estrela do Sul;2005;10;0,06993007
Mg-Eugenopolis;2005;37;0,25
Mg-Ewbank da Camara;2005;7;0,109375
Mg-Extrema;2005;94;0,208425721
Mg-Fama;2005;3;0,043478261
Mg-Faria Lemos;2005;6;0,1
Mg-Felicio dos Santos;2005;0;0
Mg-Sao Goncalo do Rio Preto;2005;0;0
Mg-Felisburgo;2005;0;0
Mg-Felixlandia;2005;35;0,144032922
Mg-Fernandes Tourinho;2005;0;0
Mg-Ferros;2005;5;0,023809524
Mg-Fervedouro;2005;6;0,081081081
Mg-Florestal;2005;10;0,057142857
Mg-Formiga;2005;291;0,173214286
Mg-Formoso;2005;1;0,013157895
Mg-Fortaleza de Minas;2005;4;0,056338028
Mg-Fortuna de Minas;2005;10;0,131578947
Mg-Francisco Badaro;2005;1;0,03125
Mg-Francisco Dumont;2005;11;0,224489796
Mg-Francisco Sa;2005;20;0,051948052
Mg-Franciscopolis;2005;1;0,04
Mg-Frei Gaspar;2005;1;0,015384615
Mg-Frei Inocencio;2005;5;0,031847134
Mg-Frei Lagonegro;2005;0;0
Mg-Fronteira;2005;8;0,049689441
Mg-Fronteira dos Vales;2005;0;0
Mg-Fruta de Leite;2005;0;0
Mg-Frutal;2005;94;0,068563093
Mg-Funilandia;2005;6;0,069767442
Mg-Galileia;2005;11;0,070512821
Mg-Gameleiras;2005;0;0
Mg-Glaucilandia;2005;0;0
Mg-Goiabeira;2005;3;0,25
Mg-Goiana;2005;6;0,072289157
Mg-Goncalves;2005;9;0,094736842
Mg-Gonzaga;2005;1;0,090909091
Mg-Gouveia;2005;29;0,155080214
Mg-Governador Valadares;2005;493;0,082331329
Mg-Grao Mogol;2005;6;0,058823529
Mg-Grupiara;2005;2;0,105263158
Mg-Guanhaes;2005;40;0,058737151
Mg-Guape;2005;28;0,109803922
Mg-Guaraciaba;2005;8;0,106666667
Mg-Guaraciama;2005;0;0
Mg-Guaranesia;2005;50;0,119331742
Mg-Guarani;2005;30;0,12295082
Mg-Guarara;2005;18;0,1875
Mg-Guarda-Mor;2005;7;0,034146341
Mg-Guaxupe;2005;205;0,148658448
Mg-Guidoval;2005;60;0,352941176
Mg-Guimarania;2005;11;0,083333333
Mg-Guiricema;2005;16;0,111111111
Mg-Gurinhata;2005;7;0,022222222
Mg-Heliodora;2005;14;0,123893805
Mg-Iapu;2005;3;0,017751479
Mg-Ibertioga;2005;1;0,0125
Mg-Ibia;2005;19;0,031198686
Mg-Ibiai;2005;2;0,0625
Mg-Ibiracatu;2005;0;0
Mg-Ibiraci;2005;9;0,024657534
Mg-Ibirite;2005;107;0,140235911
Mg-Ibitiura de Minas;2005;8;0,186046512
