mun;ano;estab;taxa_estab
Mg-Carangola;2002;63;0,085481682
Mg-Caratinga;2002;110;0,071801567
Mg-Carbonita;2002;7;0,093333333
Mg-Careacu;2002;19;0,125827815
Mg-Carlos Chagas;2002;15;0,028089888
Mg-Carmesia;2002;0;0
Mg-Carmo da Cachoeira;2002;9;0,026785714
Mg-Carmo da Mata;2002;36;0,165898618
Mg-Carmo de Minas;2002;15;0,045454545
Mg-Carmo do Cajuru;2002;120;0,339943343
Mg-Carmo do Paranaiba;2002;49;0,070911722
Mg-Carmo do Rio Claro;2002;41;0,076350093
Mg-Carmopolis de Minas;2002;33;0,113402062
Mg-Carneirinho;2002;11;0,038461538
Mg-Carrancas;2002;5;0,04950495
Mg-Carvalhopolis;2002;5;0,11627907
Mg-Carvalhos;2002;2;0,040816327
Mg-Casa Grande;2002;1;0,027777778
Mg-Cascalho Rico;2002;2;0,04
Mg-Cassia;2002;39;0,081589958
Mg-Conceicao da Barra de Minas;2002;2;0,058823529
Mg-Cataguases;2002;165;0,105973025
Mg-Catas Altas;2002;5;0,192307692
Mg-Catas Altas da Noruega;2002;2;0,086956522
Mg-Catuji;2002;2;0,076923077
Mg-Catuti;2002;2;0,285714286
Mg-Caxambu;2002;43;0,065648855
Mg-Cedro do Abaete;2002;1;0,071428571
Mg-Central de Minas;2002;9;0,155172414
Mg-Centralina;2002;10;0,055555556
Mg-Chacara;2002;2;0,033333333
Mg-Chale;2002;2;0,060606061
Mg-Chapada do Norte;2002;3;0,115384615
Mg-Chapada Gaucha;2002;1;0,090909091
Mg-Chiador;2002;1;0,027027027
Mg-Cipotanea;2002;4;0,153846154
Mg-Claraval;2002;9;0,101123596
Mg-Claro dos Pocoes;2002;2;0,034482759
Mg-Claudio;2002;150;0,25
Mg-Coimbra;2002;7;0,060869565
Mg-Coluna;2002;7;0,155555556
Mg-Comendador Gomes;2002;2;0,016949153
Mg-Comercinho;2002;4;0,285714286
Mg-Conceicao da Aparecida;2002;7;0,05511811
Mg-Conceicao das Pedras;2002;4;0,071428571
Mg-Conceicao das Alagoas;2002;18;0,043062201
Mg-Conceicao de Ipanema;2002;0;0
Mg-Conceicao do Mato Dentro;2002;6;0,042857143
Mg-Conceicao do Para;2002;14;0,113821138
Mg-Conceicao do Rio Verde;2002;22;0,067484663
Mg-Conceicao dos Ouros;2002;71;0,473333333
Mg-Conego Marinho;2002;0;0
Mg-Confins;2002;10;0,151515152
Mg-Congonhal;2002;24;0,233009709
Mg-Congonhas;2002;49;0,073353293
Mg-Congonhas do Norte;2002;1;0,052631579
Mg-Conquista;2002;8;0,045977011
Mg-Conselheiro Lafaiete;2002;146;0,076680672
Mg-Conselheiro Pena;2002;28;0,082111437
Mg-Consolacao;2002;2;0,105263158
Mg-Contagem;2002;1419;0,167889257
Mg-Coqueiral;2002;5;0,023148148
Mg-Coracao de Jesus;2002;19;0,121794872
Mg-Cordisburgo;2002;5;0,04
Mg-Cordislandia;2002;3;0,049180328
Mg-Corinto;2002;32;0,064257028
Mg-Coroaci;2002;3;0,047619048
Mg-Coromandel;2002;40;0,062794349
Mg-Coronel Fabriciano;2002;117;0,072088725
Mg-Coronel Murta;2002;6;0,176470588
Mg-Coronel Pacheco;2002;4;0,081632653
Mg-Coronel Xavier Chaves;2002;8;0,125
Mg-Corrego Danta;2002;2;0,029411765
Mg-Corrego do Bom Jesus;2002;1;0,055555556
Mg-Corrego Fundo;2002;98;0,601226994
Mg-Corrego Novo;2002;2;0,0625
Mg-Couto de Magalhaes de Minas;2002;3;0,073170732
Mg-Crisolita;2002;2;0,028169014
Mg-Cristais;2002;34;0,153846154
Mg-Cristalia;2002;2;0,166666667
Mg-Cristiano Otoni;2002;10;0,126582278
Mg-Cristina;2002;10;0,058479532
Mg-Crucilandia;2002;9;0,176470588
Mg-Cruzeiro da Fortaleza;2002;5;0,092592593
Mg-Cruzilia;2002;38;0,112094395
Mg-Cuparaque;2002;0;0
Mg-Curral de Dentro;2002;6;0,375
Mg-Curvelo;2002;144;0,087804878
Mg-Datas;2002;5;0,147058824
Mg-Delfim Moreira;2002;14;0,091503268
Mg-Delfinopolis;2002;2;0,012658228
Mg-Delta;2002;7;0,094594595
Mg-Descoberto;2002;26;0,222222222
Mg-Desterro de Entre Rios;2002;6;0,133333333
Mg-Desterro do Melo;2002;2;0,038461538
Mg-Diamantina;2002;57;0,076923077
Mg-Diogo de Vasconcelos;2002;1;0,066666667
Mg-Dionisio;2002;3;0,026785714
Mg-Divinesia;2002;4;0,090909091
Mg-Divino;2002;10;0,061349693
Mg-Divino das Laranjeiras;2002;4;0,114285714
Mg-Divinolandia de Minas;2002;3;0,085714286
Mg-Divinopolis;2002;1138;0,20571222
Mg-Divisa Alegre;2002;3;0,111111111
Mg-Divisa Nova;2002;6;0,065934066
Mg-Divisopolis;2002;4;0,105263158
Mg-Dom Bosco;2002;1;0,045454545
Mg-Dom Cavati;2002;5;0,072463768
Mg-Dom Joaquim;2002;2;0,068965517
Mg-Dom Silverio;2002;20;0,173913043
Mg-Dom Vicoso;2002;0;0
Mg-Dona Eusebia;2002;13;0,154761905
Mg-Dores de Campos;2002;67;0,416149068
Mg-Dores de Guanhaes;2002;4;0,117647059
Mg-Dores do Indaia;2002;39;0,081081081
Mg-Dores do Turvo;2002;1;0,03125
Mg-Doresopolis;2002;2;0,1
