Tabela 3940 - Produção da aquicultura, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto da aquicultura - Total;;;
;Ano;;
Cametá (PA);177;275;314
Canaã dos Carajás (PA);221;239;122
Capanema (PA);...;...;...
Capitão Poço (PA);1274;1993;1754
Castanhal (PA);1029;1162;1149
Conceição do Araguaia (PA);586;2039;4945
Concórdia do Pará (PA);40;47;38
Cumaru do Norte (PA);114;81;79
Curionópolis (PA);182;210;151
Curralinho (PA);...;...;...
Curuá (PA);41;101;80
Curuçá (PA);564;1048;1015
Dom Eliseu (PA);...;...;...
Eldorado do Carajás (PA);343;364;248
Faro (PA);15;...;...
Floresta do Araguaia (PA);2558;2387;756
Garrafão do Norte (PA);98;152;715
Goianésia do Pará (PA);740;1170;953
Igarapé-Açu (PA);180;208;238
Inhangapi (PA);31;38;44
Ipixuna do Pará (PA);...;...;...
Irituia (PA);213;241;338
Itaituba (PA);...;...;79
Itupiranga (PA);1071;1159;943
Jacareacanga (PA);...;...;60
Jacundá (PA);55;99;101
Juruti (PA);47;134;140
Limoeiro do Ajuru (PA);193;240;315
Mãe do Rio (PA);...;...;...
Magalhães Barata (PA);85;101;90
Marabá (PA);1785;8980;6961
Maracanã (PA);33;42;28
Marituba (PA);...;...;100
Medicilândia (PA);1280;748;412
Mocajuba (PA);202;252;331
Moju (PA);101;135;173
Mojuí dos Campos (PA);400;459;230
Monte Alegre (PA);...;380;348
Nova Esperança do Piriá (PA);...;60;430
Nova Ipixuna (PA);56;73;72
Novo Progresso (PA);120;143;189
Novo Repartimento (PA);50;76;83
Óbidos (PA);62;124;76
Oeiras do Pará (PA);1590;1260;1418
Oriximiná (PA);44;58;46
Ourém (PA);...;744;620
Ourilândia do Norte (PA);1237;1824;1938
Pacajá (PA);2400;1522;837
Palestina do Pará (PA);116;123;107
Paragominas (PA);28731;35361;27125
Parauapebas (PA);1505;1715;1155
Pau D'Arco (PA);384;318;154
Peixe-Boi (PA);...;...;46
Piçarra (PA);2353;2840;3858
Placas (PA);640;765;480
Portel (PA);...;...;...
Primavera (PA);...;298;149
Quatipuru (PA);143;160;224
Redenção (PA);594;449;133
Rio Maria (PA);300;385;810
Rondon do Pará (PA);...;...;28
Rurópolis (PA);1520;1719;2800
Salinópolis (PA);240;70;180
Santa Bárbara do Pará (PA);...;...;90
Santa Cruz do Arari (PA);...;...;40
Santa Luzia do Pará (PA);...;78;120
Santa Maria das Barreiras (PA);1650;2765;180
Santa Maria do Pará (PA);166;233;...
Santana do Araguaia (PA);198;754;97
Santarém (PA);685;3290;2765
Santarém Novo (PA);...;62;72
Santo Antônio do Tauá (PA);...;26;20
São Caetano de Odivelas (PA);17;25;30
São Domingos do Araguaia (PA);102;179;143
São Domingos do Capim (PA);29;34;39
São Félix do Xingu (PA);616;742;1150
São Francisco do Pará (PA);215;260;349
São Geraldo do Araguaia (PA);378;455;369
São João de Pirabas (PA);...;7;139
São João do Araguaia (PA);350;2940;2365
São Miguel do Guamá (PA);549;689;677
Sapucaia (PA);40;44;7
Senador José Porfírio (PA);48;31;29
Tailândia (PA);180;210;280
Terra Alta (PA);23;28;34
Terra Santa (PA);4;128;8
Tomé-Açu (PA);254;311;970
Tracuateua (PA);13;22;25
Trairão (PA);...;231;283
Tucumã (PA);2781;2791;4299
Tucuruí (PA);1430;1880;2019
Ulianópolis (PA);1000;1370;822
Uruará (PA);5462;3957;2138
Vigia (PA);20;24;29
Viseu (PA);347;314;178
Vitória do Xingu (PA);566;421;393
Xinguara (PA);891;1280;1852
Serra do Navio (AP);16;74;86
Amapá (AP);176;230;279
Pedra Branca do Amapari (AP);675;792;849
Calçoene (AP);71;87;100
Ferreira Gomes (AP);520;646;721
Laranjal do Jari (AP);421;509;563
Macapá (AP);1497;1787;1901
Oiapoque (AP);224;296;346
