Tabela 3940 - Produção da aquicultura, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto da aquicultura - Total;;;
;Ano;;
Santa Filomena (PI);...;...;67
Santa Luz (PI);147;280;461
Santa Rosa do Piauí (PI);165;162;141
Santo Inácio do Piauí (PI);23;43;71
São Félix do Piauí (PI);90;207;293
São Francisco de Assis do Piauí (PI);56;60;33
São Francisco do Piauí (PI);139;144;775
São Gonçalo do Gurguéia (PI);2;19;...
São Gonçalo do Piauí (PI);157;215;279
São João da Fronteira (PI);5;7;7
São João da Serra (PI);841;1019;1174
São João da Varjota (PI);24;21;23
São João do Arraial (PI);142;259;232
São João do Piauí (PI);557;445;175
São José do Divino (PI);...;...;126
São José do Piauí (PI);...;...;...
São Miguel da Baixa Grande (PI);94;202;184
São Miguel do Fidalgo (PI);27;26;119
São Miguel do Tapuio (PI);900;1117;1290
São Pedro do Piauí (PI);165;211;225
São Raimundo Nonato (PI);...;...;...
Sebastião Barros (PI);6;...;...
Sigefredo Pacheco (PI);133;157;184
Simões (PI);...;...;26
Simplício Mendes (PI);48;53;6
Socorro do Piauí (PI);25;38;39
Sussuapara (PI);...;...;...
Tamboril do Piauí (PI);...;5;7
Teresina (PI);1851;2186;2380
União (PI);2343;2143;2056
Uruçuí (PI);304;379;342
Valença do Piauí (PI);214;295;308
Várzea Grande (PI);15;66;68
Vera Mendes (PI);...;...;35
Vila Nova do Piauí (PI);84;80;...
Wall Ferraz (PI);178;184;252
Abaiara (CE);...;...;...
Acarape (CE);...;...;1296
Acaraú (CE);45962;87116;55270
Alcântaras (CE);...;...;...
Alto Santo (CE);24304;29200;17736
Amontada (CE);29469;25167;9864
Apuiarés (CE);...;...;...
Aquiraz (CE);948;726;720
Aracati (CE);116169;172891;133606
Aracoiaba (CE);328;2989;3283
Arneiroz (CE);135;29;...
Aurora (CE);34;38;...
Banabuiú (CE);924;...;450
Barbalha (CE);14;20;19
Barreira (CE);...;...;...
Barroquinha (CE);9136;9595;8049
Baturité (CE);210;47;58
Beberibe (CE);45369;47228;39914
Boa Viagem (CE);...;...;...
Brejo Santo (CE);...;...;...
Camocim (CE);28997;36085;28417
Campos Sales (CE);...;...;...
Canindé (CE);...;...;...
Caridade (CE);...;...;17
Caririaçu (CE);...;...;...
Cariús (CE);553;525;400
Carnaubal (CE);...;11;24
Cascavel (CE);14530;11372;9790
Cedro (CE);793;696;1068
Chaval (CE);2064;1527;1608
Choró (CE);...;...;...
Chorozinho (CE);164;56;60
Crateús (CE);45;...;...
Croatá (CE);...;...;5
Cruz (CE);154;42;43
Eusébio (CE);547;634;...
Farias Brito (CE);...;...;...
Fortim (CE);28708;24747;18883
Frecheirinha (CE);24;20;33
General Sampaio (CE);1152;...;...
Granja (CE);9390;13428;10514
Groaíras (CE);...;...;21
Guaiúba (CE);...;330;1093
Guaraciaba do Norte (CE);...;10;20
Hidrolândia (CE);...;...;...
Horizonte (CE);462;54;...
Ibiapina (CE);49;27;20
Ibicuitinga (CE);14;...;...
Icapuí (CE);8270;8508;8807
Icó (CE);308;208;130
Iguatu (CE);488;749;...
Ipaporanga (CE);20;...;...
Ipu (CE);7;55;180
Ipueiras (CE);...;56;58
Itaiçaba (CE);3191;4221;3160
Itaitinga (CE);98;...;500
Itapipoca (CE);1630;2380;1083
Itarema (CE);8770;11702;10429
Jaguaretama (CE);926;963;235
Jaguaribara (CE);101520;85984;26556
Jaguaribe (CE);3606;4562;6251
Jaguaruana (CE);39889;52654;37610
Jardim (CE);...;...;...
Jati (CE);...;...;...
Juazeiro do Norte (CE);...;...;...
Jucás (CE);...;...;...
Lavras da Mangabeira (CE);721;772;724
Limoeiro do Norte (CE);121;896;2917
Maranguape (CE);1060;129;74
Massapê (CE);...;3760;188
Mauriti (CE);109;121;126
Milagres (CE);...;...;...
Milhã (CE);...;...;...
Miraíma (CE);720;600;600
Missão Velha (CE);...;...;...
Morada Nova (CE);84;105;596
Mucambo (CE);...;...;3
Novo Oriente (CE);56;...;...
Ocara (CE);...;...;...
Orós (CE);37012;32287;53846
Pacajus (CE);5455;1257;365
Pacatuba (CE);42;4;13
Palhano (CE);...;...;...
Paracuru (CE);11611;11492;5148
Paraipaba (CE);18375;22815;28896
Pentecoste (CE);7866;184;172
Pindoretama (CE);...;...;...
Piquet Carneiro (CE);...;...;...
Pires Ferreira (CE);4;5;9
Porteiras (CE);...;...;...
Quixelô (CE);9900;2268;252
Quixeré (CE);3;...;...
Redenção (CE);91;40;39
Reriutaba (CE);3;1;...
Russas (CE);2721;1618;1273
Santa Quitéria (CE);42;54;88
São Benedito (CE);...;10;10
São Gonçalo do Amarante (CE);30;...;...
São João do Jaguaribe (CE);...;...;...
São Luís do Curu (CE);...;...;...
Senador Sá (CE);...;...;...
Sobral (CE);2962;304;92
Solonópole (CE);...;...;...
Tabuleiro do Norte (CE);...;195;204
Tamboril (CE);...;...;...
Tauá (CE);...;...;...
Tejuçuoca (CE);...;...;...
Tianguá (CE);14;14;17
Trairi (CE);6177;5499;3844
Tururu (CE);...;...;...
Ubajara (CE);22;13;8
Umirim (CE);266;...;...
Uruburetama (CE);336;...;...
Varjota (CE);130;135;144
Várzea Alegre (CE);288;...;...
Viçosa do Ceará (CE);52;46;64
Acari (RN);...;...;...
Açu (RN);21;23;23
Apodi (RN);290;228;237
Areia Branca (RN);1874;1817;1881
Arês (RN);14000;20800;23452
Baía Formosa (RN);1048;1200;1770
Caiçara do Norte (RN);480;650;825
Caicó (RN);532;207;142
Canguaretama (RN);70200;68160;75040
Caraúbas (RN);3;3;4
Ceará-Mirim (RN);1828;1510;2869
Equador (RN);...;...;...
Extremoz (RN);1980;2055;2077
Florânia (RN);...;...;...
Galinhos (RN);4451;5080;6141
Goianinha (RN);3625;4660;6936
Grossos (RN);875;922;680
Guamaré (RN);21029;24119;28831
Ielmo Marinho (RN);74;102;84
Itaú (RN);720;417;429
Jaçanã (RN);...;...;...
Janduís (RN);4;4;3
Jardim de Piranhas (RN);51;44;...
João Câmara (RN);46;56;44
Lagoa de Pedras (RN);1820;1950;2000
Lagoa Nova (RN);...;...;...
Lagoa Salgada (RN);175;200;200
Macaíba (RN);2080;2240;3300
Macau (RN);14919;12233;13170
Marcelino Vieira (RN);...;...;...
Maxaranguape (RN);...;110;120
Monte Alegre (RN);72;84;110
Mossoró (RN);35118;36066;33071
Natal (RN);842;675;600
Nísia Floresta (RN);37025;42947;50800
Nova Cruz (RN);1285;1640;2080
Rio do Fogo (RN);...;130;143
Pedra Grande (RN);1;0;...
Pendências (RN);21503;21220;26097
Poço Branco (RN);64;...;...
Pureza (RN);240;274;320
Tibau (RN);91;486;292
Santa Cruz (RN);6;...;...
Santo Antônio (RN);210;...;...
São Bento do Norte (RN);9750;9109;6409
São Fernando (RN);88;41;...
São Gonçalo do Amarante (RN);6901;8801;6846
São José de Mipibu (RN);2891;3440;4400
São Miguel do Gostoso (RN);21;26;26
Senador Georgino Avelino (RN);29150;32550;46100
Taipu (RN);3648;384;557
Tangará (RN);1594;...;...
Tibau do Sul (RN);23350;22400;29725
Touros (RN);28710;31357;27842
Upanema (RN);253;266;287
Vila Flor (RN);2600;2940;4224
Água Branca (PB);...;...;...
Alagoinha (PB);69;70;64
Alhandra (PB);3;11;21
Amparo (PB);...;63;32
Araçagi (PB);980;671;320
Baía da Traição (PB);156;210;238
Bananeiras (PB);2397;2894;6090
Belém (PB);16;13;...
Borborema (PB);718;630;992
Caaporã (PB);180;95;159
Cabaceiras (PB);36;40;4
Caldas Brandão (PB);1650;2031;2267
Camalaú (PB);...;842;158
Capim (PB);272;242;424
Caraúbas (PB);...;211;127
Catingueira (PB);...;...;...
Conceição (PB);27;23;12
Conde (PB);...;...;...
Congo (PB);...;632;223
Coremas (PB);1200;1120;700
Coxixola (PB);...;42;16
Cruz do Espírito Santo (PB);18;18;21
Cuitegi (PB);...;...;...
Cuité de Mamanguape (PB);...;...;464
Curral de Cima (PB);...;...;...
Dona Inês (PB);28;25;24
Emas (PB);...;...;...
Guarabira (PB);185;239;231
Gurinhém (PB);...;300;238
Itabaiana (PB);1770;2610;2643
Itaporanga (PB);215;291;158
Itapororoca (PB);...;...;...
Itatuba (PB);870;1100;1042
Jacaraú (PB);...;...;...
Jericó (PB);26;72;...
João Pessoa (PB);624;506;582
Lagoa de Dentro (PB);...;42;56
Lucena (PB);...;...;...
Mamanguape (PB);51;46;59
Marcação (PB);2449;2592;2933
Mari (PB);...;...;1650
Massaranduba (PB);7;8;4
Mataraca (PB);...;...;...
Mogeiro (PB);1480;1865;1746
Monteiro (PB);...;...;...
Mulungu (PB);...;...;...
Ouro Velho (PB);...;84;63
Parari (PB);...;42;16
Patos (PB);...;...;...
Pedras de Fogo (PB);...;...;18
Piancó (PB);18;18;23
Pilar (PB);501;610;508
Pirpirituba (PB);...;...;...
Pitimbu (PB);400;680;780
Pombal (PB);20;...;...
Prata (PB);...;42;32
Princesa Isabel (PB);...;...;...
Riachão do Poço (PB);322;263;150
Rio Tinto (PB);...;...;...
Salgado de São Félix (PB);1506;1819;2005
Santa Helena (PB);72;170;...
Santa Rita (PB);2050;2415;3435
Santa Teresinha (PB);...;...;...
São Bento (PB);806;1120;690
São João do Cariri (PB);...;48;21
São João do Tigre (PB);...;42;71
São José de Espinharas (PB);...;...;...
São José do Bonfim (PB);...;...;...
São José dos Cordeiros (PB);...;42;16
São Miguel de Taipu (PB);2250;2672;3055
São Sebastião do Umbuzeiro (PB);...;239;283
Sapé (PB);...;...;...
Serra Branca (PB);...;84;95
Sobrado (PB);...;...;...
Solânea (PB);...;...;...
Sumé (PB);...;2317;445
Teixeira (PB);...;...;...
Zabelê (PB);...;63;48
Abreu e Lima (PE);120;120;109
Afogados da Ingazeira (PE);50;25;24
Água Preta (PE);240;240;300
Águas Belas (PE);...;120;...
Amaraji (PE);0;1;78
Araripina (PE);...;...;...
Barra de Guabiraba (PE);1;1;2
Barreiros (PE);200;200;258
Belém de Maria (PE);80;80;125
Bom Conselho (PE);120;465;568
Bonito (PE);...;...;...
Brejão (PE);...;324;126
Brejinho (PE);...;...;...
Cabo de Santo Agostinho (PE);...;...;...
Calçado (PE);...;...;...
Canhotinho (PE);...;...;...
Carnaíba (PE);50;48;75
Carnaubeira da Penha (PE);...;...;...
Catende (PE);490;490;840
Correntes (PE);180;225;300
Cortês (PE);...;...;...
Escada (PE);...;...;433
Frei Miguelinho (PE);...;...;...
Gameleira (PE);5;5;91
Garanhuns (PE);7;11;20
Goiana (PE);2727;3154;18587
Iati (PE);...;...;...
Igarassu (PE);180;180;...
Iguaracy (PE);...;...;...
Ingazeira (PE);41;...;...
Ipojuca (PE);1030;315;990
Itacuruba (PE);4334;5700;4455
Ilha de Itamaracá (PE);2520;2850;3570
Itapissuma (PE);45;45;59
Jaboatão dos Guararapes (PE);450;525;551
Jaqueira (PE);45;45;65
Jatobá (PE);15791;23191;25074
Joaquim Nabuco (PE);...;...;...
Lagoa do Ouro (PE);...;...;...
Lagoa dos Gatos (PE);...;...;...
Lagoa Grande (PE);157;183;76
Limoeiro (PE);...;...;...
Maraial (PE);123;123;140
Orocó (PE);453;548;10
Palmares (PE);110;110;260
Palmeirina (PE);150;187;...
Paranatama (PE);...;...;...
Paulista (PE);750;750;1103
Petrolândia (PE);3025;5798;7800
Petrolina (PE);419;470;108
Primavera (PE);188;186;824
Quipapá (PE);9;9;14
Recife (PE);5920;5400;3750
Ribeirão (PE);14;14;181
Rio Formoso (PE);98;1311;3120
Sairé (PE);...;...;...
Saloá (PE);...;13;17
Santa Maria da Boa Vista (PE);206;256;15
Santa Terezinha (PE);...;...;...
São Benedito do Sul (PE);1010;1010;1510
São João (PE);...;...;...
São José do Egito (PE);...;...;...
Sirinhaém (PE);4163;10777;14163
Solidão (PE);...;...;...
Surubim (PE);...;...;...
Tabira (PE);200;160;135
Tamandaré (PE);45;45;77
Terezinha (PE);27;...;...
Tuparetama (PE);...;...;10
Venturosa (PE);...;...;...
Anadia (AL);...;...;...
Arapiraca (AL);...;...;...
Atalaia (AL);...;...;...
Barra de São Miguel (AL);300;300;369
Belém (AL);...;50;54
Belo Monte (AL);...;...;...
Boca da Mata (AL);280;140;196
Branquinha (AL);171;224;252
Cajueiro (AL);...;...;...
Campestre (AL);28;36;65
Campo Alegre (AL);...;...;144
Campo Grande (AL);402;273;128
Capela (AL);...;...;...
Carneiros (AL);...;...;...
Chã Preta (AL);...;...;...
Coité do Nóia (AL);...;...;...
Colônia Leopoldina (AL);24;40;38
Coruripe (AL);8344;8388;13533
Delmiro Gouveia (AL);585;614;415
Estrela de Alagoas (AL);26;48;42
Feliz Deserto (AL);...;49;51
Flexeiras (AL);...;...;...
Ibateguara (AL);420;350;353
Igaci (AL);...;22;52
Igreja Nova (AL);345;3338;3901
Inhapi (AL);93;121;106
Jacuípe (AL);28;36;77
Jaramataia (AL);34;91;233
Joaquim Gomes (AL);63;33;44
Jundiá (AL);...;...;...
Junqueiro (AL);216;408;1560
Limoeiro de Anadia (AL);...;...;...
Maceió (AL);415;212;320
Maragogi (AL);3562;3900;3133
Maravilha (AL);...;...;...
Marechal Deodoro (AL);...;...;...
Mar Vermelho (AL);...;...;...
Mata Grande (AL);88;111;73
Matriz de Camaragibe (AL);...;35;70
Messias (AL);44;21;282
Murici (AL);120;144;138
Novo Lino (AL);23;18;70
Olho d'Água das Flores (AL);...;...;...
Olho d'Água do Casado (AL);75;91;114
Olho d'Água Grande (AL);70;72;60
Olivença (AL);...;...;...
Palestina (AL);...;...;...
Palmeira dos Índios (AL);...;...;...
Pão de Açúcar (AL);...;...;...
Pariconha (AL);...;...;...
Paripueira (AL);...;...;...
Passo de Camaragibe (AL);5;25;24
Paulo Jacinto (AL);...;...;...
Penedo (AL);1080;1310;1271
Piaçabuçu (AL);...;218;216
Pilar (AL);2;...;...
Piranhas (AL);3846;3690;7878
Porto Calvo (AL);...;...;...
Porto de Pedras (AL);...;50;70
Porto Real do Colégio (AL);518;1038;1500
Quebrangulo (AL);...;...;...
Rio Largo (AL);57;164;223
Roteiro (AL);...;...;...
Santa Luzia do Norte (AL);...;...;32
Santana do Ipanema (AL);...;...;...
Santana do Mundaú (AL);1278;1844;1853
São Brás (AL);465;265;135
São José da Laje (AL);275;137;116
São José da Tapera (AL);...;...;...
São Luís do Quitunde (AL);...;...;...
São Miguel dos Campos (AL);...;...;...
São Miguel dos Milagres (AL);...;...;...
São Sebastião (AL);599;358;237
Satuba (AL);...;...;3
Senador Rui Palmeira (AL);...;...;...
Tanque d'Arca (AL);...;...;...
Taquarana (AL);...;...;...
Teotônio Vilela (AL);...;...;160
Traipu (AL);358;572;480
União dos Palmares (AL);875;1226;2583
Viçosa (AL);...;...;...
Amparo do São Francisco (SE);240;60;30
Aquidabã (SE);...;12;12
Aracaju (SE);843;993;664
Arauá (SE);188;201;128
Areia Branca (SE);64;25;36
Barra dos Coqueiros (SE);902;1527;1296
Boquim (SE);...;1;1
Brejo Grande (SE);6004;2762;2935
Campo do Brito (SE);56;72;77
Canhoba (SE);108;89;310
Canindé de São Francisco (SE);48;21;101
Capela (SE);...;...;...
Cedro de São João (SE);95;648;745
Cristinápolis (SE);...;...;...
Cumbe (SE);44;51;58
Divina Pastora (SE);5;6;...
Estância (SE);565;915;915
Feira Nova (SE);...;6;7
Gararu (SE);192;473;491
Gracho Cardoso (SE);159;192;68
Ilha das Flores (SE);147;369;347
Indiaroba (SE);2640;3840;4736
Itabaianinha (SE);...;...;...
Itaporanga d'Ajuda (SE);1483;3630;4724
Japaratuba (SE);792;415;782
Japoatã (SE);13;18;16
Laranjeiras (SE);198;221;253
Maruim (SE);10;10;27
Monte Alegre de Sergipe (SE);...;...;...
Muribeca (SE);...;10;16
Neópolis (SE);5509;1603;542
Nossa Senhora da Glória (SE);...;...;...
Nossa Senhora das Dores (SE);...;...;50
Nossa Senhora de Lourdes (SE);19;45;51
Nossa Senhora do Socorro (SE);4547;4638;10079
Pacatuba (SE);1533;3378;3171
Pirambu (SE);983;1071;1096
Poço Redondo (SE);42;41;42
Porto da Folha (SE);24;23;65
Propriá (SE);14936;9158;10525
Riachuelo (SE);119;120;121
Salgado (SE);118;92;...
Santa Luzia do Itanhy (SE);1078;1140;1470
Santana do São Francisco (SE);82;79;72
Santo Amaro das Brotas (SE);1544;1916;1598
São Cristóvão (SE);3568;3945;3997
São Domingos (SE);40;...;...
São Francisco (SE);333;175;175
Siriri (SE);...;...;...
Telha (SE);1138;1370;1062
Tobias Barreto (SE);131;145;73
Tomar do Geru (SE);...;256;256
Umbaúba (SE);...;...;...
Abaré (BA);64;60;...
Almadina (BA);...;...;1350
Anagé (BA);140;210;221
Andaraí (BA);...;35;6
Antônio Cardoso (BA);11;...;...
Aporá (BA);...;...;...
Araci (BA);1473;797;948
Aratuípe (BA);648;958;680
Barra (BA);41;726;420
Barra do Choça (BA);...;595;...
Barreiras (BA);9608;13083;9930
Barro Preto (BA);...;21;75
Biritinga (BA);...;...;...
Boa Nova (BA);42;48;43
Boa Vista do Tupim (BA);496;453;718
Bom Jesus da Lapa (BA);21;136;180
Boninal (BA);1;4;...
Caatiba (BA);44;40;...
Cabaceiras do Paraguaçu (BA);...;...;5
Cachoeira (BA);313;205;373
Cairu (BA);...;...;...
Camaçari (BA);...;43;265
Canavieiras (BA);9934;9604;9880
Cansanção (BA);90;126;161
Canudos (BA);480;1368;1657
Caraíbas (BA);214;430;443
Carinhanha (BA);...;...;1722
Casa Nova (BA);1164;1316;...
Cícero Dantas (BA);43;...;14
Cipó (BA);74;73;30
Cocos (BA);...;...;...
Conceição do Coité (BA);...;...;22
Conde (BA);...;...;1
Contendas do Sincorá (BA);560;553;504
Coribe (BA);210;240;93
Coronel João Sá (BA);...;...;4
Correntina (BA);653;725;725
Cravolândia (BA);...;...;...
Curaçá (BA);131;128;73
Dias d'Ávila (BA);57;218;480
Entre Rios (BA);22;...;...
Esplanada (BA);...;...;59
Floresta Azul (BA);...;...;...
Formosa do Rio Preto (BA);...;...;...
Glória (BA);19497;25822;50710
Guanambi (BA);...;...;149
Heliópolis (BA);4;24;...
Ibicoara (BA);90;103;103
Ibicuí (BA);115;352;533
Ibipitanga (BA);...;...;15
Ibirapitanga (BA);...;...;...
Ibirataia (BA);...;...;...
Ibotirama (BA);...;...;...
Igrapiúna (BA);...;...;7
Iguaí (BA);...;...;...
Iramaia (BA);804;788;724
Iraquara (BA);...;...;...
Itagi (BA);101;114;111
Itamaraju (BA);18;32;...
Itapebi (BA);...;...;360
Itapetinga (BA);126;109;...
Itapicuru (BA);185;151;...
Itarantim (BA);80;87;...
Itiruçu (BA);...;...;...
Itiúba (BA);922;234;...
Ituaçu (BA);198;205;306
Jaborandi (BA);72;144;226
Jaguaquara (BA);...;...;...
Jaguaripe (BA);6250;6250;6250
Jequié (BA);1095;1256;1262
Jeremoabo (BA);5;6;3
Jitaúna (BA);374;358;307
Juazeiro (BA);64;69;139
Lafaiete Coutinho (BA);...;615;698
Lamarão (BA);...;...;...
Lençóis (BA);18;...;60
Luís Eduardo Magalhães (BA);900;2250;1082
Maiquinique (BA);8;5;...
Malhada (BA);...;...;149
Maracás (BA);...;...;...
Maraú (BA);4;6;606
Mata de São João (BA);168;184;...
Mirante (BA);...;...;1080
Morpará (BA);...;...;270
Mucugê (BA);...;...;4
Muquém do São Francisco (BA);104;120;43
Nilo Peçanha (BA);...;...;...
Nordestina (BA);...;...;...
Nova Canaã (BA);...;...;149
Nova Redenção (BA);...;...;...
Nova Soure (BA);...;...;...
Novo Horizonte (BA);...;...;...
Palmeiras (BA);...;...;...
Paulo Afonso (BA);6876;11745;7466
Planalto (BA);110;6;14
Poções (BA);14;10;98
Porto Seguro (BA);470;180;...
Riachão das Neves (BA);...;0;140
Riacho de Santana (BA);...;...;...
Ribeira do Pombal (BA);48;145;57
Rio Real (BA);...;...;...
Rodelas (BA);902;903;...
Salinas da Margarida (BA);4310;5672;7044
Santa Brígida (BA);7;...;2
Santa Cruz Cabrália (BA);70;...;...
Santa Inês (BA);...;...;...
Santa Maria da Vitória (BA);456;418;638
Santana (BA);88;50;698
Santa Rita de Cássia (BA);...;0;38
Santo Amaro (BA);201;128;10
São Desidério (BA);1480;2576;338
São Félix do Coribe (BA);439;280;431
Seabra (BA);9;5;...
Serra do Ramalho (BA);...;...;...
Sento Sé (BA);...;...;218
Serrinha (BA);45;48;...
Sítio do Mato (BA);...;...;...
Sobradinho (BA);...;...;...
Souto Soares (BA);...;...;210
Tanhaçu (BA);364;391;615
Taperoá (BA);638;638;638
Teofilândia (BA);...;...;...
Ubaíra (BA);...;...;...
Una (BA);...;142;...
Valença (BA);8708;10511;16296
Vera Cruz (BA);18;19;19
Vitória da Conquista (BA);...;14;10
Xique-Xique (BA);72;82;85
Abadia dos Dourados (MG);...;...;380
Abaeté (MG);264;347;403
Abre Campo (MG);...;...;...
Água Boa (MG);...;...;...
Água Comprida (MG);21;28;389
Aguanil (MG);...;...;...
Aimorés (MG);81;417;427
Aiuruoca (MG);135;200;210
Alagoa (MG);...;...;...
Albertina (MG);3;3;3
Alfenas (MG);5049;12628;13883
Almenara (MG);...;...;...
Alpercata (MG);...;131;145
Alpinópolis (MG);...;...;...
Alterosa (MG);725;1773;1392
Alvarenga (MG);8;8;13
Alvinópolis (MG);...;2400;2400
Amparo do Serra (MG);...;...;23
Andradas (MG);...;...;...
Angelândia (MG);...;...;...
Antônio Dias (MG);...;...;...
Araçaí (MG);22;...;...
Aracitaba (MG);13;14;15
Araçuaí (MG);40;63;53
Araguari (MG);878;570;4455
Arceburgo (MG);...;...;...
Arcos (MG);85;24;26
Areado (MG);1841;415;218
Argirita (MG);...;216;199
Arinos (MG);...;...;...
Astolfo Dutra (MG);...;...;...
Ataléia (MG);3;4;5
Baependi (MG);125;188;218
Baldim (MG);42;...;343
Bambuí (MG);31;1690;1537
Barão de Cocais (MG);...;...;...
Barão de Monte Alto (MG);...;...;...
Barbacena (MG);...;...;...
Bela Vista de Minas (MG);...;108;108
Belo Oriente (MG);...;...;...
Belo Vale (MG);...;...;...
Berilo (MG);...;...;...
Betim (MG);56;61;...
Bicas (MG);...;...;...
Biquinhas (MG);30;...;...
Boa Esperança (MG);468;...;46
Bocaina de Minas (MG);606;795;803
Bocaiúva (MG);6;6;6
Bom Despacho (MG);6;5;3
Bom Jardim de Minas (MG);66;83;84
Bom Jesus do Amparo (MG);4;5;6
Bom Jesus do Galho (MG);6;7;8
Bonfim (MG);25;21;...
Bonito de Minas (MG);...;...;...
Borda da Mata (MG);10;12;14
Botelhos (MG);23;40;...
Botumirim (MG);29;45;66
Brasilândia de Minas (MG);...;...;...
Brazópolis (MG);63;23;38
Brumadinho (MG);84;84;123
Bueno Brandão (MG);12;12;13
Buenópolis (MG);...;12;...
Buritis (MG);120;434;356
Buritizeiro (MG);...;...;41
Cabeceira Grande (MG);6;...;...
Cachoeira de Minas (MG);208;119;132
Cachoeira Dourada (MG);288;354;576
Caetanópolis (MG);15;...;...
Caeté (MG);6;7;9
Cajuri (MG);...;...;...
Caldas (MG);...;...;...
Camanducaia (MG);1800;2700;1500
Cambuí (MG);...;...;...
Campanário (MG);24;28;34
Campanha (MG);...;...;...
Campestre (MG);...;...;...
Campina Verde (MG);84;12;12
Campo Belo (MG);...;...;...
Campo do Meio (MG);1100;1057;1436
Campo Florido (MG);168;255;242
Campos Gerais (MG);193;191;131
Canaã (MG);4;11;12
Canápolis (MG);...;...;...
Cana Verde (MG);...;...;...
Candeias (MG);...;...;...
Capela Nova (MG);...;...;...
Capelinha (MG);...;...;...
Capetinga (MG);...;540;189
Capinópolis (MG);147;134;32
Capitão Andrade (MG);11;...;...
Capitólio (MG);2240;2048;1890
Caraí (MG);5;6;9
Carandaí (MG);...;...;...
Carangola (MG);47;...;...
Caratinga (MG);149;162;191
Careaçu (MG);180;48;68
Carlos Chagas (MG);...;...;...
Carmésia (MG);...;...;...
Carmo da Mata (MG);28;32;29
Carmo de Minas (MG);80;31;160
Carmo do Cajuru (MG);385;111;240
Carmo do Rio Claro (MG);8024;7975;8992
Carvalhópolis (MG);105;856;589
Casa Grande (MG);...;...;...
Cascalho Rico (MG);...;...;2400
Cássia (MG);898;1782;2669
Conceição da Barra de Minas (MG);...;...;...
Cataguases (MG);16;17;63
Catas Altas (MG);3;4;4
Catas Altas da Noruega (MG);...;...;...
Catuji (MG);4;24;30
Central de Minas (MG);20;23;15
Centralina (MG);...;...;...
Chalé (MG);...;...;...
Chapada do Norte (MG);...;...;...
Chapada Gaúcha (MG);...;...;...
Claraval (MG);...;1056;1169
Claro dos Poções (MG);13;15;15
Cláudio (MG);99;104;120
Coimbra (MG);20;...;...
Coluna (MG);81;...;...
Comendador Gomes (MG);...;...;...
Conceição da Aparecida (MG);294;320;343
Conceição das Alagoas (MG);29;425;503
Conceição de Ipanema (MG);16;29;36
Conceição do Mato Dentro (MG);...;...;...
Conceição do Pará (MG);...;9;7
Conceição dos Ouros (MG);7;14;9
Cônego Marinho (MG);...;...;...
Congonhal (MG);51;53;59
Congonhas (MG);...;...;...
Congonhas do Norte (MG);...;58;40
Conquista (MG);39;...;...
Conselheiro Pena (MG);135;152;198
Contagem (MG);...;20;33
Coqueiral (MG);...;...;...
Coração de Jesus (MG);...;...;...
Cordisburgo (MG);571;514;635
Cordislândia (MG);...;...;...
Coroaci (MG);...;...;...
Coronel Fabriciano (MG);...;...;...
Coronel Murta (MG);...;...;141
Coronel Pacheco (MG);...;...;...
Córrego Danta (MG);...;...;...
Córrego do Bom Jesus (MG);...;...;...
Córrego Fundo (MG);...;75;83
Couto de Magalhães de Minas (MG);...;...;...
Cristais (MG);...;...;173
Cristália (MG);...;...;...
Cristiano Otoni (MG);...;...;...
Cristina (MG);...;...;...
Cuparaque (MG);9;11;8
Datas (MG);...;124;83
Delfim Moreira (MG);2682;3938;3175
Delfinópolis (MG);384;810;958
Delta (MG);27;...;...
Descoberto (MG);...;...;...
Desterro de Entre Rios (MG);...;...;...
Diamantina (MG);...;...;...
Dionísio (MG);...;302;307
Divino (MG);13;...;...
Divino das Laranjeiras (MG);...;...;56
Divinolândia de Minas (MG);3;...;...
Divinópolis (MG);83;28;32
Divisa Nova (MG);11;14;10
Divisópolis (MG);...;...;...
Dom Cavati (MG);28;30;34
Dom Joaquim (MG);...;25;24
Dom Viçoso (MG);...;...;...
Durandé (MG);...;...;60
Elói Mendes (MG);19;433;721
Engenheiro Caldas (MG);...;...;...
Engenheiro Navarro (MG);25;41;...
Entre Rios de Minas (MG);...;...;...
Ervália (MG);7;...;...
Esmeraldas (MG);70;...;...
Espera Feliz (MG);93;...;...
Espírito Santo do Dourado (MG);3;3;3
Estrela do Sul (MG);...;...;...
Eugenópolis (MG);503;633;749
Fama (MG);836;630;475
Felício dos Santos (MG);...;180;120
São Gonçalo do Rio Preto (MG);...;...;...
Felixlândia (MG);10290;4973;1182
Fernandes Tourinho (MG);5;3;10
Ferros (MG);5;6;7
Fervedouro (MG);224;...;...
Florestal (MG);...;...;...
Formoso (MG);...;...;...
Fortaleza de Minas (MG);...;49;50
Fortuna de Minas (MG);45;...;...
Francisco Dumont (MG);10;9;11
Francisco Sá (MG);8;12;94
Franciscópolis (MG);4;25;178
Frei Gaspar (MG);26;31;...
Frei Inocêncio (MG);...;...;6
Frei Lagonegro (MG);88;...;...
Fronteira (MG);...;...;...
Frutal (MG);1250;1425;1629
Funilândia (MG);136;514;2432
Galiléia (MG);...;...;...
Goiabeira (MG);22;21;18
Goianá (MG);278;349;415
Gonçalves (MG);...;...;...
Gonzaga (MG);88;...;...
Gouveia (MG);21;...;...
Governador Valadares (MG);1100;1100;1400
Grão Mogol (MG);...;...;...
Grupiara (MG);96;98;680
