Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;
Nível;Cód.;Município;Produto das lavouras temporárias e permanentes x Ano x Variável;;;;;;;;;;;;;;
Nível;Cód.;Município;area_plantada14;area_colhida14;valor_prod14;area_plantada15;area_colhida15;valor_prod15;area_plantada16;area_colhida16;valor_prod16;area_plantada17;area_colhida17;valor_prod17;area_plantada18;area_colhida18;valor_prod18
MU;2406700;Lajes (RN);400;70;15;360;40;8;1430;260;141;950;406;358;1680;984;446
MU;2406809;Lajes Pintadas (RN);982;84;118;857;114;133;312;117;168;472;164;209;462;462;325
MU;2406908;Lucrécia (RN);478;393;687;142;76;529;241;82;525;527;346;491;506;301;298
MU;2407005;Luís Gomes (RN);1860;1730;2213;453;206;138;357;55;280;418;315;419;815;815;745
MU;2407104;Macaíba (RN);12992;12792;5075;10016;10016;7689;10667;9467;17815;9807;9707;13046;4017;4017;4869
MU;2407203;Macau (RN);790;442;7253;855;470;6896;690;425;6049;773;543;2926;580;428;8345
MU;2407252;Major Sales (RN);632;532;700;137;53;281;113;24;191;698;330;463;998;998;1095
MU;2407302;Marcelino Vieira (RN);1070;880;1383;826;413;509;412;30;80;840;204;329;811;811;823
MU;2407401;Martins (RN);1604;1584;1205;1541;1231;806;656;77;1403;422;337;404;659;639;1002
MU;2407500;Maxaranguape (RN);710;710;3494;683;683;5892;618;618;5386;2087;2087;17445;2024;2024;13677
MU;2407609;Messias Targino (RN);206;111;112;231;161;142;251;46;86;288;120;131;268;265;194
MU;2407708;Montanhas (RN);524;454;1786;518;351;1147;522;322;1300;540;490;1932;405;405;1801
MU;2407807;Monte Alegre (RN);771;746;2249;815;735;2335;705;415;885;805;725;2572;755;755;2388
MU;2407906;Monte das Gameleiras (RN);499;115;163;902;252;369;701;311;403;601;291;388;668;668;552
MU;2408003;Mossoró (RN);18178;15733;181652;21778;14303;193559;15394;14039;194736;16099;14299;182194;17679;17679;239938
MU;2408102;Natal (RN);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
MU;2408201;Nísia Floresta (RN);3273;3273;9327;3123;3053;9207;3303;3198;11790;3363;3353;13564;3403;3403;13185
MU;2408300;Nova Cruz (RN);1433;1091;4066;1147;1147;3987;987;767;3205;737;672;3065;962;962;4442
MU;2408409;Olho d'Água do Borges (RN);230;71;41;457;34;21;212;62;36;272;101;47;1020;1020;680
MU;2408508;Ouro Branco (RN);152;56;178;142;41;159;238;93;171;197;52;169;197;167;437
MU;2408607;Paraná (RN);713;531;447;230;123;104;127;9;8;550;70;24;600;600;560
MU;2408706;Paraú (RN);200;35;8;120;60;19;160;24;3;200;75;28;180;64;97
MU;2408805;Parazinho (RN);442;300;1794;620;430;3373;620;620;3655;405;136;1801;497;497;2283
MU;2408904;Parelhas (RN);720;335;601;643;131;165;450;190;381;546;146;589;750;750;1238
MU;2408953;Rio do Fogo (RN);1725;1725;12059;1450;1450;15660;1234;1234;15000;3034;3034;51271;3011;3011;44260
MU;2409100;Passa e Fica (RN);1024;755;1004;1258;943;1813;1063;908;2674;837;553;1520;1701;1701;2927
MU;2409209;Passagem (RN);211;191;473;292;262;312;267;127;247;245;165;664;285;285;1012
MU;2409308;Patu (RN);867;417;341;414;94;121;329;104;118;413;93;225;518;518;654
MU;2409332;Santa Maria (RN);420;85;85;624;97;63;577;125;107;426;130;132;419;419;193
MU;2409407;Pau dos Ferros (RN);688;583;535;308;67;47;1019;126;232;879;304;137;583;337;341
MU;2409506;Pedra Grande (RN);315;262;315;325;211;503;145;95;590;180;136;1242;385;385;2590
MU;2409605;Pedra Preta (RN);1700;340;102;820;500;1049;1700;1250;1354;710;630;1118;1100;1070;2156
MU;2409704;Pedro Avelino (RN);387;251;1057;506;26;5;600;75;13;300;55;16;430;179;56
MU;2409803;Pedro Velho (RN);3488;3488;11817;3082;3042;12177;3108;2908;14242;3103;3088;15867;3205;3205;16235
MU;2409902;Pendências (RN);180;120;657;252;102;532;332;72;515;583;289;849;768;292;104
MU;2410009;Pilões (RN);603;498;1330;91;20;4;381;25;18;725;240;313;627;627;588
MU;2410108;Poço Branco (RN);1259;899;1130;1036;1036;1539;1250;1250;4584;1153;1153;5417;1347;1347;5643
MU;2410207;Portalegre (RN);2913;2773;2140;1996;466;481;894;49;137;912;337;481;800;660;902
MU;2410256;Porto do Mangue (RN);2500;2189;1878;1657;1240;655;800;590;367;1370;1340;5277;843;710;3065
MU;2410306;Serra Caiada (RN);925;466;511;1767;802;1076;1067;597;1936;817;482;1236;1325;1265;3852
MU;2410405;Pureza (RN);2924;2924;10551;2905;2905;18372;3494;3494;25160;6957;6957;76794;7648;7648;69307
MU;2410504;Rafael Fernandes (RN);347;262;365;129;30;39;76;13;94;206;138;156;301;301;341
MU;2410603;Rafael Godeiro (RN);334;264;282;222;104;46;322;63;115;422;152;143;272;272;1874
MU;2410702;Riacho da Cruz (RN);432;347;363;419;280;227;347;48;126;140;77;60;320;320;308
MU;2410801;Riacho de Santana (RN);797;667;1469;495;178;156;419;64;116;347;136;37;546;546;436
MU;2410900;Riachuelo (RN);247;63;60;946;127;60;551;116;99;501;158;156;576;576;358
MU;2411007;Rodolfo Fernandes (RN);765;647;487;209;209;100;491;60;118;550;361;785;558;558;754
MU;2411056;Tibau (RN);958;668;12361;1985;1730;32169;2420;2131;40770;2420;2131;32784;2790;2790;51727
MU;2411106;Ruy Barbosa (RN);406;69;89;842;96;82;594;109;124;314;112;150;338;338;299
MU;2411205;Santa Cruz (RN);697;114;132;3093;302;123;1948;663;302;928;210;213;2017;1617;665
MU;2411403;Santana do Matos (RN);1578;890;1169;1728;643;1211;1802;677;1426;4260;2930;2387;4010;2225;2309
MU;2411429;Santana do Seridó (RN);152;20;62;152;8;142;208;58;117;261;61;194;192;152;598
MU;2411502;Santo Antônio (RN);956;766;922;662;552;484;1337;427;757;987;707;1159;3737;3737;13212
MU;2411601;São Bento do Norte (RN);674;484;923;1072;465;987;831;775;1459;1064;984;736;586;586;884
MU;2411700;São Bento do Trairí (RN);456;68;135;855;114;277;558;231;271;456;156;265;654;654;657
MU;2411809;São Fernando (RN);245;245;545;194;77;110;321;117;640;321;141;357;329;249;427
MU;2411908;São Francisco do Oeste (RN);414;324;250;240;55;27;255;46;162;734;729;169;314;314;207
MU;2412005;São Gonçalo do Amarante (RN);1621;1621;3076;1519;1519;2755;1501;1501;4943;1939;1939;8094;1739;1739;3301
MU;2412104;São João do Sabugi (RN);304;145;238;281;65;124;284;89;298;249;169;498;286;286;501
MU;2412203;São José de Mipibu (RN);5954;5944;26959;5895;5895;28392;5819;5639;32323;5854;5844;36736;5880;5880;34448
MU;2412302;São José do Campestre (RN);836;51;90;3031;255;108;1735;383;210;733;178;173;920;920;392
MU;2412401;São José do Seridó (RN);233;141;380;364;81;352;211;131;619;211;101;394;129;59;356
MU;2412500;São Miguel (RN);1749;1509;3055;1611;906;922;1612;379;1198;2103;1101;2636;3648;3648;4891
MU;2412559;São Miguel do Gostoso (RN);1840;1840;8548;1150;650;9892;977;427;16253;984;704;10738;2667;2467;14081
MU;2412609;São Paulo do Potengi (RN);546;218;167;1192;457;236;1147;306;284;546;269;410;1042;1042;652
MU;2412708;São Pedro (RN);1053;551;798;1072;681;878;909;606;1150;986;744;1909;1397;1397;1692
MU;2412807;São Rafael (RN);170;112;45;180;30;11;110;33;6;325;266;59;180;105;34
MU;2412906;São Tomé (RN);729;106;134;1865;198;153;1021;170;176;571;156;210;655;655;450
MU;2413003;São Vicente (RN);1582;868;1237;1122;602;533;1242;672;1447;1351;581;1319;1223;561;682
MU;2413102;Senador Elói de Souza (RN);1481;759;1397;1306;382;577;960;465;1324;650;368;1148;1426;1176;1458
MU;2413201;Senador Georgino Avelino (RN);211;211;768;232;232;611;264;239;730;264;254;801;334;334;1111
MU;2413300;Serra de São Bento (RN);841;107;228;755;180;399;522;292;545;472;212;508;865;865;1088
MU;2413359;Serra do Mel (RN);36700;31060;13264;31300;20145;9516;31100;20205;14776;39380;29000;24917;34920;34920;55772
MU;2413409;Serra Negra do Norte (RN);229;99;157;179;74;136;278;158;999;225;105;208;183;183;533
MU;2413508;Serrinha (RN);308;168;616;328;326;513;215;75;63;145;65;93;135;135;311
MU;2413557;Serrinha dos Pintos (RN);1368;1268;709;878;268;89;516;5;74;411;391;159;411;411;476
MU;2413607;Severiano Melo (RN);5560;4814;2627;1600;1600;529;1816;380;397;1806;940;1366;1056;1056;1327
MU;2413706;Sítio Novo (RN);445;52;94;545;80;116;445;164;146;323;118;194;433;433;241
MU;2413805;Taboleiro Grande (RN);379;314;308;375;141;58;371;120;233;361;188;117;332;332;362
MU;2413904;Taipu (RN);2989;2182;8451;2200;1984;6475;1956;1956;11453;3195;2795;26859;2656;2656;12894
MU;2414001;Tangará (RN);528;83;72;1066;140;81;618;231;144;516;186;183;679;679;423
MU;2414100;Tenente Ananias (RN);842;672;632;306;261;101;305;129;273;211;91;128;411;411;390
MU;2414159;Tenente Laurentino Cruz (RN);3912;2592;2114;2112;1402;1172;2292;1692;3143;3242;2642;4400;2616;2616;3181
MU;2414209;Tibau do Sul (RN);2726;2726;9599;2601;2551;9825;2610;2580;12985;2595;2565;13030;2620;2620;12572
MU;2414308;Timbaúba dos Batistas (RN);87;47;118;73;16;27;118;23;27;221;101;133;318;78;194
MU;2414407;Touros (RN);14524;14524;147822;12396;11396;122069;11286;11286;131243;10910;10910;158525;11997;11997;114226
MU;2414456;Triunfo Potiguar (RN);544;313;207;338;138;88;442;250;304;485;296;318;510;465;290
MU;2414506;Umarizal (RN);1038;1011;1488;728;195;787;298;148;382;383;313;493;666;666;1083
MU;2414605;Upanema (RN);745;450;2860;325;190;2017;760;445;6393;3460;1540;7886;1315;1315;8795
MU;2414704;Várzea (RN);595;575;1606;390;360;783;250;130;274;210;90;283;210;210;660
MU;2414753;Venha-Ver (RN);1081;800;976;1361;91;378;1112;133;390;1034;619;753;1091;1091;1059
MU;2414803;Vera Cruz (RN);2760;2715;4029;2671;2666;3935;900;595;1025;2400;2360;15685;2400;2400;8076
MU;2414902;Viçosa (RN);362;272;246;360;138;49;358;48;92;454;364;241;471;471;441
MU;2415008;Vila Flor (RN);921;921;3329;879;879;3517;410;402;2040;415;410;2344;420;420;2325
MU;2500106;Água Branca (PB);1253;1253;614;1060;630;243;2155;1804;1648;1707;1707;852;1587;1587;1431
MU;2500205;Aguiar (PB);482;482;200;492;492;130;505;505;247;448;448;200;938;938;657
MU;2500304;Alagoa Grande (PB);4374;4374;13888;4368;3168;11902;5438;5388;13038;4984;4964;20712;6695;6695;11121
MU;2500403;Alagoa Nova (PB);7786;7786;29954;6876;6876;39355;7947;6863;48995;5795;5595;24722;6919;6919;39099
MU;2500502;Alagoinha (PB);1616;1141;3584;1583;1583;3781;1391;1391;5013;1424;1424;5058;1287;1287;5019
MU;2500536;Alcantil (PB);1092;892;232;246;35;43;572;572;120;516;76;47;611;211;92
MU;2500577;Algodão de Jandaíra (PB);-;-;-;40;40;36;80;32;26;255;255;170;430;430;179
MU;2500601;Alhandra (PB);4041;4041;17968;4032;4032;21706;4377;4377;29986;4633;4633;27070;4350;4350;24763
MU;2500700;São João do Rio do Peixe (PB);752;605;887;907;847;842;872;868;729;1283;1248;1395;1537;1537;1812
MU;2500734;Amparo (PB);577;458;42;11;11;3;457;457;162;660;231;141;800;800;303
MU;2500775;Aparecida (PB);941;653;3585;485;373;3240;636;535;2510;727;712;1671;518;518;1690
MU;2500809;Araçagi (PB);5702;4304;71769;6047;6047;80496;4659;4659;65319;7319;6599;115525;4612;4612;57358
MU;2500908;Arara (PB);2452;2452;742;2069;2069;867;2622;2622;1576;2955;2955;2575;2600;2600;2794
MU;2501005;Araruna (PB);1095;1095;4438;4548;4548;7418;4980;4980;8985;4000;3995;12547;4085;4085;12649
MU;2501104;Areia (PB);3880;3880;14482;3400;3400;15689;4682;4682;14955;4363;4363;29991;3833;3833;23222
MU;2501153;Areia de Baraúnas (PB);287;287;189;389;329;91;499;359;178;181;181;161;384;384;368
MU;2501203;Areial (PB);1295;1295;974;1000;1000;1420;1076;1076;856;1525;1525;2029;1200;1200;1265
MU;2501302;Aroeiras (PB);2333;2333;1652;1195;871;914;2181;681;1122;2464;2084;1854;1779;1041;923
MU;2501351;Assunção (PB);940;107;22;588;20;4;885;860;401;25;25;12;630;330;177
MU;2501401;Baía da Traição (PB);1966;1966;6823;1664;1664;6112;1886;1886;9228;1856;1856;5480;1979;1979;7599
MU;2501500;Bananeiras (PB);3170;2410;20339;3600;3600;24478;3340;3340;33599;3276;3276;24960;3266;3266;27222
MU;2501534;Baraúna (PB);275;275;124;724;574;181;780;780;140;410;410;160;488;488;266
MU;2501575;Barra de Santana (PB);1115;1115;327;253;253;137;718;147;187;338;102;145;685;209;267
MU;2501609;Barra de Santa Rosa (PB);3630;3630;2443;3140;3140;2145;3756;3756;2611;4900;4900;6549;5120;5120;4220
MU;2501708;Barra de São Miguel (PB);1044;249;1516;172;117;1385;511;174;2027;183;170;817;1101;1101;2451
MU;2501807;Bayeux (PB);59;59;302;44;44;298;39;39;303;9;9;93;13;13;114
MU;2501906;Belém (PB);1449;1449;1196;1387;1387;2148;1551;1551;2665;1474;1474;2430;1258;1258;2923
MU;2502003;Belém do Brejo do Cruz (PB);128;128;99;186;80;58;120;50;8;195;195;79;200;200;118
MU;2502052;Bernardino Batista (PB);299;231;68;291;228;14;517;517;103;272;272;85;548;548;398
MU;2502102;Boa Ventura (PB);375;375;235;343;343;163;370;370;213;360;360;252;585;585;538
MU;2502151;Boa Vista (PB);374;172;32;114;-;-;350;15;8;90;32;10;1780;380;58
MU;2502201;Bom Jesus (PB);245;49;30;199;25;27;214;212;79;185;185;88;264;264;298
MU;2502300;Bom Sucesso (PB);648;471;409;683;676;50;946;946;212;1200;1200;426;1002;1002;742
MU;2502409;Bonito de Santa Fé (PB);3094;3079;1001;884;464;434;849;834;1107;1422;1422;947;1312;1312;1386
MU;2502508;Boqueirão (PB);1478;1478;7872;353;174;1820;760;392;1279;279;76;483;856;406;2326
MU;2502607;Igaracy (PB);1036;1036;253;618;618;85;535;535;142;515;515;195;807;807;558
MU;2502706;Borborema (PB);1270;1098;9668;1289;1289;11285;1497;1497;16067;1378;1378;12107;1327;1250;13319
MU;2502805;Brejo do Cruz (PB);443;425;313;246;128;30;180;80;30;195;195;90;553;553;412
MU;2502904;Brejo dos Santos (PB);142;135;92;182;180;7;270;270;50;275;275;76;330;330;358
MU;2503001;Caaporã (PB);4816;4816;17283;4603;4603;18813;4744;4744;27741;1424;1424;6964;1402;1402;8665
MU;2503100;Cabaceiras (PB);1026;256;1074;99;64;1177;437;426;2290;98;60;810;551;261;974
MU;2503209;Cabedelo (PB);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
MU;2503308;Cachoeira dos Índios (PB);427;185;307;579;344;221;670;670;167;774;774;391;648;648;457
MU;2503407;Cacimba de Areia (PB);735;735;835;640;495;53;837;832;523;421;421;237;660;660;624
MU;2503506;Cacimba de Dentro (PB);2940;2940;1497;989;989;1497;1910;1910;2045;4816;1986;2912;4055;4055;4851
MU;2503555;Cacimbas (PB);374;94;73;581;301;237;1193;1193;602;1567;1567;398;1769;1769;1435
MU;2503605;Caiçara (PB);996;321;440;810;810;905;688;688;1034;484;484;945;528;528;1226
MU;2503704;Cajazeiras (PB);1085;478;461;1125;102;322;1746;1743;707;985;981;741;1247;1247;1280
MU;2503753;Cajazeirinhas (PB);337;313;341;335;185;87;323;323;105;225;224;128;392;392;499
MU;2503803;Caldas Brandão (PB);336;336;844;738;738;1627;406;356;719;450;450;1334;347;347;1140
MU;2503902;Camalaú (PB);422;82;197;96;72;252;812;812;91;8;5;14;823;823;233
MU;2504009;Campina Grande (PB);6066;6066;3900;4738;2244;4614;3999;2599;3450;2446;2444;3804;4792;3292;2963
MU;2504033;Capim (PB);1598;1598;5170;1573;1573;4928;1756;1756;8586;1856;1856;5779;1668;1668;6451
MU;2504074;Caraúbas (PB);329;197;235;90;68;398;629;629;315;84;23;545;653;653;658
MU;2504108;Carrapateira (PB);270;150;84;270;190;18;70;70;34;150;150;43;335;335;174
MU;2504157;Casserengue (PB);1500;400;95;2419;2419;633;5200;5200;1065;4500;3060;4397;5407;5407;3675
MU;2504207;Catingueira (PB);460;460;257;494;274;404;277;82;184;497;497;310;605;605;578
MU;2504306;Catolé do Rocha (PB);319;319;361;528;500;44;413;213;113;708;708;205;609;609;596
MU;2504355;Caturité (PB);850;850;337;176;36;347;765;760;89;172;35;138;1341;606;332
MU;2504405;Conceição (PB);3872;3862;2618;2208;2203;2574;2540;2530;2685;2687;2687;3319;2297;2297;4097
MU;2504504;Condado (PB);504;504;457;317;112;103;367;367;116;470;470;137;566;566;432
MU;2504603;Conde (PB);1610;1610;8772;1625;1625;12626;1881;1881;17906;1238;1238;14272;1606;1606;14886
MU;2504702;Congo (PB);583;212;1362;193;163;1744;640;640;715;471;71;1669;550;550;2403
MU;2504801;Coremas (PB);341;311;481;446;410;134;540;540;363;761;751;616;591;591;579
MU;2504850;Coxixola (PB);230;230;60;64;42;215;218;218;201;110;10;75;510;510;231
MU;2504900;Cruz do Espírito Santo (PB);6995;6995;27820;6980;6980;26537;6893;6893;38334;5095;5094;17473;5547;5547;27799
MU;2505006;Cubati (PB);1635;760;343;930;50;30;1180;530;258;1090;490;207;2380;2380;962
MU;2505105;Cuité (PB);2253;2253;1469;1920;1920;1241;3473;3473;1676;1745;1745;2154;3700;3700;2775
MU;2505204;Cuitegi (PB);602;468;1416;644;644;1639;649;649;2119;668;668;2226;655;655;2089
MU;2505238;Cuité de Mamanguape (PB);1707;1707;18622;1718;1718;23976;1640;1640;23103;1642;1642;18134;2143;2143;32281
MU;2505279;Curral de Cima (PB);970;970;11742;884;884;13108;963;963;14209;1149;1149;21315;1040;1040;13888
MU;2505303;Curral Velho (PB);333;333;158;288;288;121;330;330;116;350;350;229;388;388;462
MU;2505352;Damião (PB);265;265;49;244;244;264;1722;1722;189;1732;1720;420;1805;1805;795
MU;2505402;Desterro (PB);155;155;58;680;80;230;1406;1394;926;1485;1485;641;1508;1508;1051
MU;2505501;Vista Serrana (PB);322;269;195;170;70;4;120;120;47;162;162;42;140;140;150
MU;2505600;Diamante (PB);454;454;291;427;427;147;367;367;193;393;393;222;880;880;676
MU;2505709;Dona Inês (PB);1339;1051;1839;1380;1380;1768;3944;3944;2873;1334;1334;2622;1172;1172;2466
MU;2505808;Duas Estradas (PB);579;494;3828;615;615;4483;788;788;5082;656;656;4277;548;548;4324
MU;2505907;Emas (PB);181;181;225;402;202;363;322;312;431;299;299;232;511;511;461
MU;2506004;Esperança (PB);2798;2798;3316;1944;1944;3030;2982;2982;2805;3407;3372;5972;3072;3072;4714
MU;2506103;Fagundes (PB);2918;2268;3454;1315;1045;2084;1500;375;1038;2379;1966;1745;2214;1879;1618
MU;2506202;Frei Martinho (PB);265;165;91;140;20;107;106;106;31;170;170;50;325;325;113
MU;2506251;Gado Bravo (PB);278;278;193;995;280;195;252;252;200;2150;2150;677;1654;142;85
MU;2506301;Guarabira (PB);1111;688;3507;1171;1171;4190;1071;1071;4693;951;951;9019;1031;1031;6153
MU;2506400;Gurinhém (PB);1533;1463;750;1624;1624;2295;2076;1376;1593;1720;1720;2807;1890;1890;2687
MU;2506509;Gurjão (PB);1009;184;84;20;14;67;804;804;57;12;-;-;601;601;163
MU;2506608;Ibiara (PB);352;352;589;455;455;1490;923;455;1852;1509;1509;1816;884;884;2014
MU;2506707;Imaculada (PB);2307;2307;1334;1964;964;336;1547;1507;655;1978;1978;781;1888;1888;1257
MU;2506806;Ingá (PB);1338;1338;598;1444;1444;581;2340;1255;736;2262;2262;1725;1705;1705;1561
MU;2506905;Itabaiana (PB);2479;2479;3746;2944;2944;4113;2304;1294;2663;2248;2248;4010;2032;2032;3240
MU;2507002;Itaporanga (PB);613;613;509;587;582;501;659;654;612;767;767;811;1970;1970;1872
MU;2507101;Itapororoca (PB);5765;5620;79011;6305;6305;96303;5705;5705;93753;6791;6091;99619;5178;5178;81784
MU;2507200;Itatuba (PB);466;466;410;1431;1431;815;1880;1429;700;1820;1820;1031;1458;1458;998
MU;2507309;Jacaraú (PB);2757;2757;9478;2764;2764;8967;2881;2881;12638;2449;2449;6128;3336;3336;13376
MU;2507408;Jericó (PB);412;352;418;132;57;19;238;238;105;167;167;105;910;910;643
MU;2507507;João Pessoa (PB);251;251;1469;177;177;1330;178;178;1389;240;240;1533;190;190;1202
MU;2507606;Juarez Távora (PB);1376;1376;1134;1144;1144;960;670;670;510;1300;1300;1493;1275;1275;1326
MU;2507705;Juazeirinho (PB);1820;277;125;2050;30;77;1175;305;331;2065;707;177;2465;1865;703
MU;2507804;Junco do Seridó (PB);1074;330;158;944;179;174;969;602;326;932;132;196;943;863;401
MU;2507903;Juripiranga (PB);5115;5115;22395;5055;5055;21130;5026;5026;36412;5043;5043;40685;4966;4966;24250
MU;2508000;Juru (PB);1583;1583;875;1615;1355;479;1365;1365;1305;2730;2730;1266;2329;2329;2291
MU;2508109;Lagoa (PB);90;90;91;91;82;10;203;203;74;154;154;63;134;134;152
MU;2508208;Lagoa de Dentro (PB);1069;779;13336;1074;1062;14715;1084;1084;15679;919;919;13557;939;939;13765
MU;2508307;Lagoa Seca (PB);2383;2383;9433;2417;2417;7825;2173;2173;10228;1749;1749;10199;2115;2115;10748
MU;2508406;Lastro (PB);248;98;102;168;164;86;301;301;192;280;280;78;292;292;193
MU;2508505;Livramento (PB);730;412;210;1189;174;248;816;16;40;1329;1329;559;1676;1522;657
MU;2508554;Logradouro (PB);257;138;319;405;405;472;415;415;780;330;330;632;445;445;702
MU;2508604;Lucena (PB);3102;3102;9872;3152;3152;10534;3104;3104;13636;3404;3404;8473;2911;2911;10647
MU;2508703;Mãe d'Água (PB);602;602;315;448;388;152;469;469;265;354;354;224;542;542;497
MU;2508802;Malta (PB);148;148;119;238;80;6;200;200;40;130;120;26;225;225;295
MU;2508901;Mamanguape (PB);10925;10925;60991;10279;10279;51647;10505;10505;73372;9270;9270;47856;10003;10003;57841
MU;2509008;Manaíra (PB);2325;2325;1100;1735;1355;227;1952;1662;417;2347;2347;612;1612;1612;1390
MU;2509057;Marcação (PB);3061;3061;12730;3037;3037;12025;3297;3297;17062;3147;3147;10225;3609;3609;15172
MU;2509107;Mari (PB);3715;3715;14273;3998;3998;18099;3839;3839;20199;4124;4124;16828;3727;3727;18638
MU;2509156;Marizópolis (PB);205;142;557;147;142;364;149;134;157;240;228;705;236;236;411
MU;2509206;Massaranduba (PB);4401;4401;5530;3024;3024;4549;2394;574;1829;1754;1454;1924;2903;2903;3818
MU;2509305;Mataraca (PB);3347;3347;11553;3310;3310;10307;3332;3332;16385;3293;3293;8833;4246;4246;16780
MU;2509339;Matinhas (PB);2576;2576;8754;2906;2906;7965;1632;1632;5329;2232;1932;6223;2521;2521;8730
MU;2509370;Mato Grosso (PB);598;598;500;242;230;74;245;245;67;304;303;140;387;387;313
MU;2509396;Maturéia (PB);1208;1208;1038;555;361;128;645;645;825;1182;1182;550;1758;1758;1275
MU;2509404;Mogeiro (PB);3632;3632;4358;3414;3414;5495;2280;2120;3025;2779;2779;7590;3015;3015;3320
MU;2509503;Montadas (PB);1285;1285;936;1060;1060;971;1243;1243;834;1457;1457;2180;1456;1456;1402
MU;2509602;Monte Horebe (PB);848;385;387;498;419;185;441;433;350;483;482;610;597;597;829
MU;2509701;Monteiro (PB);1323;433;483;203;203;561;1371;1371;1689;3151;1726;4134;3221;3221;6362
MU;2509800;Mulungu (PB);1834;1484;3303;924;924;1424;1598;998;1748;1163;1163;2509;777;777;1876
MU;2509909;Natuba (PB);1222;1222;14873;1369;1369;9437;1208;1208;14724;1271;1271;11064;1121;1121;9809
MU;2510006;Nazarezinho (PB);1041;241;644;775;600;1064;772;760;993;847;847;798;784;784;1218
MU;2510105;Nova Floresta (PB);295;295;1266;671;511;1784;424;424;1847;490;490;2083;647;647;2149
MU;2510204;Nova Olinda (PB);429;429;282;401;401;192;312;312;193;426;426;279;328;328;400
MU;2510303;Nova Palmeira (PB);840;86;49;125;5;22;35;5;22;1212;732;244;1017;959;420
MU;2510402;Olho d'Água (PB);1046;1046;673;873;703;513;684;684;540;678;678;532;820;820;844
MU;2510501;Olivedos (PB);1280;180;140;80;80;57;880;80;77;150;150;72;1590;1206;574
MU;2510600;Ouro Velho (PB);378;86;155;97;97;352;385;385;408;455;197;471;476;476;345
MU;2510659;Parari (PB);509;509;120;31;25;115;206;206;44;49;-;-;553;553;140
MU;2510709;Passagem (PB);447;447;234;157;142;61;337;337;119;205;205;52;303;303;169
MU;2510808;Patos (PB);740;740;508;567;433;219;684;627;375;957;957;527;503;503;493
MU;2510907;Paulista (PB);577;576;1146;344;187;852;246;246;418;544;544;759;614;614;1339
MU;2511004;Pedra Branca (PB);782;782;428;649;649;203;639;639;165;735;735;557;752;752;724
MU;2511103;Pedra Lavrada (PB);1800;215;180;3040;10;40;780;80;236;1427;1021;388;3087;3084;1654
MU;2511202;Pedras de Fogo (PB);21878;21878;138509;19837;19837;120221;22911;22911;173861;22078;22078;127558;22797;22797;193352
MU;2511301;Piancó (PB);1437;1437;276;1074;1074;125;379;379;140;1040;1040;227;1234;1234;786
MU;2511400;Picuí (PB);886;886;1064;2241;1431;1375;1773;1773;1308;3022;3022;4331;2919;2919;2072
MU;2511509;Pilar (PB);330;330;2330;552;552;3772;642;642;4459;650;650;2699;964;964;4288
MU;2511608;Pilões (PB);1917;1837;7196;1554;1554;8281;1744;1744;8192;2102;2102;26166;2355;2355;11074
MU;2511707;Pilõezinhos (PB);1057;852;2961;1052;1052;4713;1087;1087;6520;1097;1097;5514;977;977;6112
MU;2511806;Pirpirituba (PB);902;710;1878;886;886;2209;757;757;2666;754;754;2224;731;731;2516
MU;2511905;Pitimbu (PB);5045;5045;18588;4922;4922;20414;5002;5002;28315;2548;2548;20703;2528;2528;16808
MU;2512002;Pocinhos (PB);4271;3136;2191;3054;2351;2234;3210;2544;2288;2630;2010;1465;3625;2600;2040
MU;2512036;Poço Dantas (PB);303;210;100;1041;656;113;381;381;214;825;825;648;514;514;187
MU;2512077;Poço de José de Moura (PB);716;266;831;566;210;1298;422;361;612;447;407;259;622;622;722
MU;2512101;Pombal (PB);430;430;1062;378;55;819;668;668;382;563;561;728;487;487;909
MU;2512200;Prata (PB);204;44;298;59;59;335;108;108;298;402;306;2626;513;513;3799
MU;2512309;Princesa Isabel (PB);3297;3297;2502;4346;2746;892;3404;3404;2439;3519;3519;2077;4191;4191;4366
MU;2512408;Puxinanã (PB);3249;3249;3625;2049;837;1594;811;446;1693;2380;2230;4101;2224;2224;5022
MU;2512507;Queimadas (PB);4467;4467;2815;1734;1334;2293;3672;587;566;3337;2755;1851;2612;1662;1903
MU;2512606;Quixaba (PB);404;404;201;128;108;72;259;239;106;190;190;92;412;412;339
MU;2512705;Remígio (PB);1586;1586;1627;1834;1714;2811;972;972;1480;1251;1251;3717;1293;1293;2101
MU;2512721;Pedro Régis (PB);690;690;3125;685;685;3436;667;667;5001;506;506;3698;579;579;4788
MU;2512747;Riachão (PB);1114;242;202;731;731;341;1363;1363;691;980;980;1014;720;720;750
MU;2512754;Riachão do Bacamarte (PB);348;348;245;964;964;687;552;321;210;485;485;304;653;653;362
MU;2512762;Riachão do Poço (PB);458;458;1638;415;415;1889;466;466;1759;428;428;1939;410;410;2038
MU;2512788;Riacho de Santo Antônio (PB);88;88;26;72;-;-;146;90;20;20;20;1;270;145;50
MU;2512804;Riacho dos Cavalos (PB);470;350;339;571;170;10;193;73;47;664;653;103;906;906;612
