Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Água Azul do Norte (PA);20181;4876;8791;9,66;10,41;10,83;38,89;38,02;39,43;22,7;24,3;14,1;1011,38;;;
Água Boa (MG);8160;7035;6473;5,93;5,8;6,14;25,29;25,62;26,92;5,12;42,5;27,09;804,56;;;
Água Boa (MT);4097;16759;9551;26,5;24,49;24,86;26,15;25,97;25;9,57;15,19;49,09;1470,44;;;
Água Branca (AL);14276;5101;7581;4,27;4,1;4,1;5,29;5,44;5,03;5,56;60,19;28,96;888,71;;;
Água Branca (PB);5388;4061;3091;5,09;5,07;4,9;4,37;3,95;6,16;9,11;64,11;22,41;1000,98;;;
Água Branca (PI);1912;14539;6117;6,53;6,52;6,8;1,66;1,65;1,6;7,07;42,39;48,88;919,96;;;
Água Clara (MS);4826;9598;7071;28,66;43,92;50,38;56,05;45,1;40,16;5,63;16,73;21,58;1358,74;;;
Água Comprida (MG);505;1520;1070;37,55;31,19;43,75;54,42;49,31;60,08;5,53;14,5;25,55;1309,85;;;
Água Doce do Maranhão (MA);8448;3133;2624;3,83;3,82;3,94;13,59;11,35;11,45;6,91;53,52;25,98;784,78;;;
Água Doce do Norte (ES);5072;6699;4957;8,72;8,29;8,02;13,18;12,41;12,08;17,33;40,03;29,47;1424,45;;;
Água Doce (SC);3528;3433;3545;28,86;27,69;29,55;43,32;43,51;47,55;15,1;11,83;29,75;1154,88;;;
Água Fria (BA);9954;5777;6227;4,25;4,52;5,28;12,2;10,83;11,95;5,59;55,59;26,62;1165,85;;;
Água Fria de Goiás (GO);2953;2137;2305;23,59;26,38;33,01;64,19;65,79;70,39;6,78;13,3;15,72;1155,73;;;
Aguaí (SP);3147;29001;15470;17,55;13,88;14,42;10,89;8,71;16,83;32,02;15,83;41,27;1321,43;;;
Água Limpa (GO);587;1426;905;18,36;16,45;14,63;47,97;42,75;38,91;3,37;26,79;21,86;998,84;;;
Aguanil (MG);1709;2345;1953;8,65;8,1;9,76;23,42;22,78;35,91;7,07;36,92;32,6;863,49;;;
Água Nova (RN);1072;1908;1119;5,35;5,42;5,04;4,45;3,62;2,81;2,99;74,14;18,42;804,73;;;
Água Preta (PE);14345;18750;8318;4,58;4,48;4,72;12,18;11,93;18,26;3,47;60,69;23,66;960,87;;;
Água Santa (RS);2275;1447;2232;47,16;49,79;48,97;32,38;31,49;32,92;5,61;8,84;53,18;1396,08;;;
Águas Belas (PE);15671;24564;14497;4,96;4,85;4,86;6,08;11,57;11,03;2,87;53,66;37,39;1140,04;;;
Águas da Prata (SP);813;6771;3865;12,96;12,33;11,74;8,96;9,54;12,77;14,43;23,11;53,5;1333,1;;;
Águas de Chapecó (SC);2874;3236;3261;10,91;9,85;10,45;38,19;35;37,53;5,69;27,74;28,38;1304,59;;;
Águas de Lindóia (SP);155;17111;8550;16,11;18,54;16,42;1,67;1,3;1,37;8,73;19,54;70,06;1203,31;;;
Águas de Santa Bárbara (SP);1342;4259;2601;16,89;14,7;17,5;22,63;12,09;29,35;8,58;24,24;44,55;1382,6;;;
Águas de São Pedro (SP);;2707;1353;30,68;28,82;27,47;0;0;0;7,58;15,27;77,16;1304,65;;;
Águas Formosas (MG);4161;14318;8060;7,61;7,39;7,62;6,51;5,84;6,31;8,74;35,61;49,14;993,55;;;
Águas Frias (SC);1443;981;1346;22,75;21,69;24,29;25,52;23,61;26,18;20,09;18,58;35,81;1461,63;;;
