Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Biritiba-Mirim (SP);4050;24525;13753;18,23;16,71;15,58;52,43;50,61;50,97;5,53;13,08;28,96;1149,48;;;
Biritinga (BA);11319;3517;5644;4,45;4,59;4,29;6,8;9,18;8,24;9,97;55,49;27,75;904,04;;;
Bituruna (PR);5981;9899;7376;12,42;11,83;11,71;34,31;27,1;23,98;14,97;24,19;26,53;1066,55;;;
Blumenau (SC);14238;294773;177971;37,44;32,89;29,74;0,3;0,33;0,42;34,23;9,47;56;1804;;;
Boa Esperança do Iguaçu (PR);1811;953;1538;18,14;18,69;20,75;43,04;43,8;43,5;6,13;23,49;27,34;1179,3;;;
Boa Esperança do Sul (SP);1461;12184;6775;13,67;11,09;14,15;31,68;23,31;39,34;5,71;22,11;40,49;1305,35;;;
Boa Esperança (ES);3960;10239;7240;10,23;11,12;9,49;24,34;24,67;18,59;6,56;32,05;37,05;1081,79;;;
Boa Esperança (MG);6325;32191;17925;12,75;12,49;14,4;15,06;13,84;23,23;6,95;22,26;55,74;946,26;;;
Boa Esperança (PR);1928;2640;2290;30,96;25,93;31,73;46,28;38,81;45,39;5,62;11,91;36,18;1247,13;;;
Boa Hora (PI);4772;1524;2559;4,66;4,02;4,36;12,55;7,06;8,98;3,45;64,52;19,48;1157,71;;;
Boa Nova (BA);9607;5804;5408;4,54;4,64;4,37;15,53;17,12;14,2;5,16;51,99;27,32;919,33;;;
Boa Ventura de São Roque (PR);5010;1544;3291;19,37;16,84;20,19;41,07;31,11;41,17;10,34;17,49;31,1;1260,44;;;
Boa Ventura (PB);2229;3522;2436;4,93;5,05;4,77;7,4;7,03;6,65;3,43;67,52;21,66;689,08;;;
Boa Viagem (CE);25894;26604;18186;4,94;4,63;4,54;11,69;8,67;9,16;6,23;44,98;37,11;861,18;;;
Boa Vista da Aparecida (PR);3011;4900;3623;10,49;10,67;11,2;34,03;31,99;33,15;8,22;29,63;28,12;980,48;;;
Boa Vista das Missões (RS);1228;886;1007;39,88;40,09;41,26;59,42;59,06;60,54;4,42;12,03;24,13;1178,76;;;
Boa Vista do Buricá (RS);2208;4366;3899;18,95;17,98;18,18;25,5;23,6;26,73;14,22;17,99;42,29;1014,01;;;
Boa Vista do Cadeado (RS);1969;472;1248;54,28;51,76;61,19;62,1;62,2;66,87;3,96;9,16;24,78;1453,34;;;
Boa Vista do Gurupi (MA);2330;5619;2151;4,2;4,43;4,06;11,51;10,22;9,2;4,94;42,45;41,1;700,85;;;
Boa Vista do Incra (RS);1701;724;1247;37,88;40,05;45,58;61,32;62,67;66,76;3,63;12,73;22,32;1119,59;;;
Boa Vista do Ramos (AM);7429;7550;4779;4,49;4,16;4,04;16,2;16,49;17,52;3,87;63,74;16,19;797,64;;;
Boa Vista do Sul (RS);2385;391;1680;18,47;18,04;15,12;46,31;38,47;28,94;13,93;23,1;16,65;1406,73;;;
Boa Vista do Tupim (BA);11398;6593;6235;4,39;4,29;3,97;18,52;17,09;19,38;4,98;50,54;25,96;904,66;;;
Boa Vista (PB);3019;3208;2644;12,74;12,72;11,98;8,05;7,32;7,37;43,54;30,54;17,87;1032,02;;;
Boa Vista (RR);6514;277799;130183;18,38;17,07;16,5;0,55;0,8;1,2;13,27;39,6;46,58;2012,16;;;
Boca da Mata (AL);8326;17450;8578;9,43;7,86;6,42;16,08;19,01;34,9;31,4;28,95;23,56;1005,99;;;
Boca do Acre (AM);11284;19348;9798;6,6;6,17;6,05;20,65;22,34;25,36;11,6;44,73;23,03;863,1;;;
Bocaina de Minas (MG);2611;2396;2549;5,93;6,45;6,51;13,75;10,58;13,42;7,4;42,55;36,29;791,55;;;
Bocaina do Sul (SC);2323;967;1486;13,57;13,63;13,65;48,54;51,86;49,78;3,69;28,65;19,12;955,81;;;
Bocaina (PI);2623;1746;1656;5,1;5,36;5,19;16,55;16,57;10,79;4,46;55,22;23,76;653,82;;;
Bocaina (SP);853;10006;5910;25,38;56,66;58,19;7,99;2,7;3,72;39,47;12,85;39,7;1492,87;;;
Bocaiúva do Sul (PR);5859;5128;5407;10,94;10,54;10,53;24,47;17,92;16,81;15,34;26,58;33,61;1206,28;;;
Bocaiúva (MG);10054;36600;21717;10,49;10,22;9,7;9,74;10,95;10,56;22,76;26,73;40,77;962,84;;;
Bodocó (PE);22334;12824;12970;4,45;4,46;4,18;8,55;11,49;9,99;3,47;58,89;29,09;923,45;;;
Bodoquena (MS);2208;5777;3613;18,85;18,07;16,6;16,62;19,08;21,34;30,71;24,94;27,73;1335,25;;;
Bodó (RN);1032;1393;979;27,1;11,85;16,44;2,36;9,34;5,38;44,73;26,48;26,43;1154,45;;;
Bofete (SP);3486;6132;4490;12,13;10,06;9,53;23,62;12,82;15,38;17,33;24,41;34,64;1254,24;;;
Boituva (SP);2866;45448;25179;37,45;34,94;30,5;1,08;0,96;0,87;41,85;9,56;47,51;1852,59;;;
Bombinhas (SC);;14293;7526;21,02;21,15;21,81;3,77;3,78;3,2;14,27;19,29;62,68;1184,83;;;
Bom Conselho (PE);15724;29779;17274;6,75;6,6;6,59;11,3;15,81;15,08;11,69;40,51;36,5;1127,98;;;
Bom Despacho (MG);2661;42963;23551;16,03;15,36;15,34;9,21;7,96;11,83;17,44;17;56,35;1032,18;;;
Bom Jardim da Serra (SC);1998;2397;1959;14,3;12,27;16,54;41,76;37,11;49,98;5,92;23,07;29,25;1011,68;;;
Bom Jardim de Goiás (GO);2074;6349;3499;12,06;11,2;10,78;36,61;38,62;38,88;4,25;22,97;36,17;1033,7;;;
Bom Jardim de Minas (MG);925;5576;2809;11,49;11,93;11,87;27,58;33,21;35,01;7,31;25,72;39,39;903,46;;;
Bom Jardim (MA);22663;16386;12097;4,71;4,34;4,52;29,14;27,24;27,47;4;42,24;24,62;943,22;;;
Bom Jardim (PE);22631;15195;13649;4,96;4,63;5,39;7,88;7,78;12,92;7,48;53,15;31,5;824,7;;;
Bom Jardim (RJ);10067;15266;12768;19,79;18,64;17,06;10,56;10,64;10,87;26,67;28,05;34,72;1141,19;;;
Bom Jesus da Lapa (BA);20381;43099;25378;7,25;8,03;7,81;15,16;22,85;17,19;6,92;30,48;47,44;1095,39;;;
Bom Jesus da Penha (MG);1062;2825;2008;19,01;15,43;19,71;41,75;33,43;36,74;7,67;18,04;32,54;1071,97;;;
Bom Jesus da Serra (BA);7345;2768;3460;3,28;3,48;3,3;9,27;7,86;7,71;4,81;61,74;24,18;913,64;;;
Bom Jesus das Selvas (MA);15028;13431;8204;5,57;5,15;5;31,99;26,29;28,99;5,48;40,58;21,95;1099,67;;;
Bom Jesus de Goiás (GO);1474;19253;9433;19,81;19,15;21,49;36,91;36,49;43,34;6,65;15,52;40,93;1401,01;;;
Bom Jesus do Amparo (MG);2975;2516;2608;8,07;8,14;8,04;12,04;14,27;11,33;6,3;35,83;45,84;947,86;;;
Bom Jesus do Araguaia (MT);2666;2648;2377;23,71;24,91;28,1;61,59;62,79;65,94;4,26;16,75;17,4;1461,7;;;
Bom Jesus do Galho (MG);5340;10024;5586;6,22;6,33;5,88;25,57;27,55;21,58;6,24;39,11;29,07;812,98;;;
Bom Jesus do Itabapoana (RJ);5484;29927;15950;13,29;13,42;13,12;6,34;6,1;6,21;10,15;39,08;44,43;1029,94;;;
Bom Jesus do Norte (ES);777;8699;4232;8,84;8,69;8,71;2,5;2,62;3,27;15,64;39,39;42,48;948,29;;;
Bom Jesus do Oeste (SC);1485;647;1337;15,22;13,81;13,2;37,66;35,85;36,66;6,07;27,94;28,33;1234,87;;;
Bom Jesus dos Perdões (SP);2332;17376;8956;17,05;15,35;15,54;2,32;2,26;2,04;32,78;18,5;46,4;1381,12;;;
Bom Jesus do Sul (PR);2863;933;1708;11,57;11,79;12,84;51,56;47,05;48,64;3,6;27,41;17,43;992,74;;;
Bom Jesus do Tocantins (PA);7140;8158;6019;5,93;5,98;6,22;34,8;36,37;37,23;3,74;38,87;22,6;963,36;;;
Bom Jesus do Tocantins (TO);942;2826;1567;12,83;9,83;8,9;52,93;45,07;38,24;4,6;30,97;11,5;852,91;;;
Bom Jesus (PB);1412;988;930;6,27;6,72;6,6;6,57;6,32;6,5;4,22;66,42;22,79;996,62;;;
Bom Jesus (PI);5006;17623;9491;16,53;19,14;13,9;24,64;21,11;11,82;6,18;17,88;51,3;1052,99;;;
Bom Jesus (RN);2672;6768;3532;5;5,07;4,81;2,67;3,54;3,95;3,84;64,51;28,98;1029,77;;;
Bom Jesus (RS);2926;8593;5041;17,8;17,34;18,63;39,49;36,89;42,84;10,82;18,61;31,07;1163,56;;;
Bom Jesus (SC);1031;1495;1221;16,09;16,55;21,86;32,54;28,24;26,68;16,3;24,94;26,22;1100,98;;;
Bom Lugar (MA);10637;4181;4803;3,68;3,64;3,59;27,89;27,7;22,56;3,52;49,37;19,22;810,37;;;
Bom Princípio do Piauí (PI);3650;1654;1739;4,92;4,55;4,95;19,26;17,18;20,79;3,27;61,23;16,23;925,73;;;
Bom Princípio (RS);2591;9198;7197;26,67;27,1;26,6;5,64;4,95;5,47;36,99;13,85;43,51;1338,01;;;
Bom Progresso (RS);1182;1146;962;16,41;15,54;16,52;37,59;34,84;38,23;4,31;27,61;30,49;1062,81;;;
Bom Repouso (MG);4778;5679;5209;8,08;8,12;8,46;25,66;25,45;30,06;6,29;33,05;35;983,99;;;
Bom Retiro do Sul (RS);2310;9162;6458;13,62;13,87;13,53;9,64;8,06;9,97;28,48;24,29;37,59;1088,55;;;
Bom Retiro (SC);2525;6417;4584;18,98;17,5;19,05;44,82;44,62;49,07;7,29;15,65;32,24;1077,87;;;
Bom Sucesso de Itararé (SP);1141;2430;1470;10,62;9,61;8,5;11,84;13,59;9,36;30,5;31,81;25,85;1208,18;;;
Bom Sucesso do Sul (PR);1712;1581;1427;33,45;32;44,71;48,31;45,54;54,55;3,65;11,84;36,21;1292,28;;;
Bom Sucesso (MG);3049;14194;7788;12,63;12,24;11,65;13,88;12,08;20,29;11,62;22,06;52,44;946,71;;;
Bom Sucesso (PB);3005;2030;1773;5,16;5,03;5,04;6,23;5,78;6,89;3,34;69,17;21,25;932,06;;;
Bom Sucesso (PR);1232;5329;3148;11,14;10,78;10,69;41,37;38,93;40,19;7,8;27,71;23,13;963,16;;;
Bonfim do Piauí (PI);3758;1635;2364;4,11;4,08;4,27;5,85;7,17;4,3;3,58;66,55;24,02;673,01;;;
Bonfim (MG);3486;3332;2822;8,58;7,97;8,33;19,86;17,94;20,3;6,33;32,02;41,79;865,04;;;
Bonfim (RR);7232;3711;3499;12,55;13,79;13,88;31,15;38,36;38,34;4,78;53,65;10,41;1416,1;;;
Bonfinópolis de Minas (MG);1728;4137;2418;21,14;19,81;23,92;52,66;50,61;57,83;6,3;14,94;26,1;1061,11;;;
Bonfinópolis (GO);515;7021;3609;6,63;5,83;5,38;10,61;9,36;9,6;10,49;43,13;35,77;1123,58;;;
Boninal (BA);9088;4607;5091;4,08;3,94;4,02;7,84;7,51;6,74;5,43;51,67;35,06;1039,02;;;
Bonito (BA);8602;6232;6595;5,32;6,63;6,16;25,63;35,83;33,87;5,66;42,95;25,76;939,32;;;
Bonito de Minas (MG);7464;2209;3365;5,92;4,34;4,57;8,75;9,41;11,92;4,66;46,12;40,47;1003,5;;;
Bonito de Santa Fé (PB);3405;7399;4006;5,35;5,03;4,75;5,96;5,57;5,98;4,78;62,98;26,29;923,7;;;
Bonito (MS);3428;16159;9928;20,28;19,3;19,82;27,94;28,23;29,25;6,42;20,89;44,75;1108,68;;;
Bonito (PA);9803;3827;5257;4,28;4,08;4,62;25,32;24,53;14,11;5,19;52,41;17,08;333,84;;;
Bonito (PE);11358;26208;11805;6,26;6,05;6,35;11,42;12,52;9,91;9,51;43,55;35,52;1066,94;;;
Bonópolis (GO);2202;1301;1548;14,66;15,78;14,91;58,68;59,35;60,11;3,77;20,71;16,85;1010,96;;;
Boqueirão do Leão (RS);6001;1672;4580;10,93;9,33;9,63;41,67;38,61;42,43;7,29;27,32;23,73;1177,72;;;
Boqueirão do Piauí (PI);3527;2666;1861;3,94;3,94;4;4,23;3,65;3,06;3,23;68,52;24,02;875,93;;;
Boqueirão (PB);4882;12006;7830;6,98;6,86;6,4;13,97;10,48;10,69;6,4;48,16;31,47;930,78;;;
Boquim (SE);9539;15994;10700;8,06;7,6;7,18;10,27;10,8;9,97;6,47;42,74;40,53;1139,1;;;
Boquira (BA);14673;7364;8097;4,11;4,13;4,06;8,16;10,2;9,79;6;51,54;34,3;861,49;;;
Boracéia (SP);441;3827;2222;26,14;40,11;28,39;10,2;4,73;9,05;42,51;13,83;33,45;1401,7;;;
Borá (SP);178;627;421;69,37;61,77;66,41;17,22;12,61;15,6;44,38;10,37;28,02;1555,85;;;
Borba (AM);20527;14434;11581;5,19;4,79;4,42;24,53;20,17;19,33;4,05;54,33;17,1;969,42;;;
Borborema (PB);1379;3732;1686;7,2;7,07;7,43;31,87;29,87;36,11;3,28;49,12;15,73;728,03;;;
Borborema (SP);1434;13095;7739;16,9;15,14;16,41;25,19;19,95;30,51;8,88;18,75;47,18;1071,05;;;
Borda da Mata (MG);3400;13718;8500;10,92;11,24;10,67;5,81;6,83;8,67;23,12;24,49;46,58;969,84;;;
Borebi (SP);293;2000;1098;15,17;12,55;15,83;32,68;22,48;39,22;4;32,24;31,08;1138,04;;;
Borrazópolis (PR);2069;5809;4224;14,93;15,8;15,62;30,2;28,93;26,76;5,14;20,62;44,03;1022,85;;;
Bossoroca (RS);3202;3682;3360;25,24;25,12;28,1;49,53;49,05;54,05;3,76;15,77;30,94;1125,84;;;
Botelhos (MG);3554;11366;7600;9,88;11,38;10,43;23,34;23,75;27,63;8,16;26,76;41,74;940,54;;;
Botucatu (SP);4650;122678;62987;23,04;24,02;22,8;2,51;1,45;2,59;33,71;10,86;52,92;2016,16;;;
Botumirim (MG);3027;3470;2573;4,9;4,7;4,65;22,41;21,58;21,04;2,78;53,37;21,43;815,16;;;
Botuporã (BA);7078;4076;4932;5,11;5,13;5,19;7,54;9,19;10,91;4,87;51,41;36,19;1030,48;;;
Botuverá (SC);3158;1310;2728;36,17;33,8;32,99;3,37;2,67;2,99;61,84;10,55;24,24;1623,08;;;
Bozano (RS);1571;629;1534;25,93;30,75;31,69;39,05;43,33;45,1;3,06;17,12;40,78;1528,74;;;
Braço do Norte (SC);5635;23383;16368;22,83;22,26;20,92;10,49;11,18;10,74;27,53;14,15;47,82;1192,36;;;
Braço do Trombudo (SC);1559;1898;2097;38,48;28,28;25,3;5,07;6,54;7,6;60,13;11,41;23,39;1586,84;;;
Bragança (PA);40606;72621;40711;5,98;5,8;5,71;23,64;20,7;19,63;6,94;35,44;33,98;896;;;
Bragança Paulista (SP);4489;142255;74923;23,1;21,21;20,81;1,36;1,28;1,35;29,49;12,86;56,29;1506,38;;;
Braganey (PR);2318;3417;2870;21,64;20,5;20,97;52,54;48,06;50,92;5,14;15,1;27,22;1138,01;;;
Braga (RS);1420;2282;1762;15,14;14,18;14,35;35,45;33,02;36,06;3,9;25,41;35,24;1010,54;;;
Branquinha (AL);3910;6673;3171;4,61;10,31;24,49;18,93;58,72;78,34;3,19;57,32;20,56;987,72;;;
Brasilândia de Minas (MG);1854;12372;6324;9,23;8,42;8,34;22,88;15,69;19;6,79;29,32;41,02;1107,61;;;
Brasilândia do Sul (PR);1029;2180;1413;34,08;35,21;40,03;44,73;39,21;44,8;3,85;11,67;39,75;1227,11;;;
Brasilândia do Tocantins (TO);628;1436;788;12,59;13,18;11,99;26,38;23,07;22,56;3,64;41,76;28,22;911,19;;;
Brasilândia (MS);3813;8013;5948;50,12;34,48;27,19;76,46;69,87;59,99;2,78;9,3;11,47;1220,81;;;
Brasiléia (AC);7141;14257;7778;11,48;11,75;11,11;20,45;19,45;20,39;13,83;39,36;26,36;954,41;;;
Brasileira (PI);4483;3483;2907;4;3,79;3,91;7,1;7,07;6,78;7,64;63,11;22,15;939,58;;;
Brasília de Minas (MG);10538;20675;13284;6,41;5,93;6,17;4,63;4,81;4,98;8,87;43,23;43,28;956,3;;;
Brasília (DF);87950;2482210;1361053;54,48;53,4;52,52;0,45;0,34;0,4;6,63;43,06;49,86;3262,11;;;
Brasil Novo (PA);8791;6899;5847;9,46;10,06;10,23;40,45;39,38;41,39;4,3;28,22;27,03;1123,97;;;
Brasnorte (MT);5319;10038;7454;28;25,92;29,63;47,84;47,95;48,56;9,57;14,74;27,85;1369,38;;;
Brasópolis (MG);6770;7891;6891;7,89;7,87;7,73;17,81;16,6;21,12;6,17;33,38;42,64;909,69;;;
Brás Pires (MG);2414;2223;1669;5,51;4,89;5,27;16,53;10,45;12,11;4,02;51,44;28;826,24;;;
Braúnas (MG);3437;1593;2029;14,37;17,57;15,07;6,68;7,97;10;62,75;20,58;9,98;1009,53;;;
Braúna (SP);631;4390;2502;9,64;9,24;10,54;19,16;19,03;31,45;6,33;32,69;41,82;1091,91;;;
Brazabrantes (GO);1062;2170;1548;17,3;18,54;21,15;13,61;11,64;10,31;48,8;19,29;18,3;856,62;;;
Brejão (PE);5280;3564;3375;8,19;7,74;9,88;32,78;39,78;54,12;5,02;40,85;21,35;1033,44;;;
Brejetuba (ES);8499;3416;6166;12,18;11,18;13,46;32,04;32,51;45,19;17,32;26,86;23,78;1138,14;;;
Brejinho de Nazaré (TO);990;4195;2015;12,97;12,7;10,86;47,09;49,99;42,7;5,13;31,88;15,9;969,67;;;
Brejinho (PE);3921;3386;2658;4,82;4,66;4,72;6,96;5,07;11,04;2,95;61,2;28,89;902,51;;;
Brejinho (RN);2652;8925;4350;8,16;7,14;7,06;12,4;4,12;4,1;10,25;43,41;33,93;852,82;;;
Brejo Alegre (SP);463;2110;1283;57,61;175,62;182,29;4,04;1,13;1,62;54,17;8,5;33,29;1785,51;;;
Brejo da Madre de Deus (PE);10056;35124;19361;4,57;4,39;4,36;1,71;1,83;1,74;3,93;60,13;34,23;1044,58;;;
Brejo de Areia (MA);2724;2853;1861;8,13;4,17;3,95;34,04;27,32;24,22;4,8;38,91;22,25;924,91;;;
Brejo do Cruz (PB);3225;9898;5251;5,48;5,41;5,35;4,08;4,06;3,93;4,16;58,43;33,34;1014,97;;;
Brejo do Piauí (PI);2424;1426;1693;5,21;5,16;5,1;9,5;10,14;10,53;6,34;62,45;21,72;1137,98;;;
Brejo dos Santos (PB);1564;4634;1968;5,37;5,23;4,94;2,85;2,99;3,47;4,21;61,85;31,09;600,39;;;
Brejões (BA);9345;4937;5387;6,49;6,21;5,65;20,55;22,26;19,72;5,63;38,1;35,72;1077,33;;;
Brejo Grande do Araguaia (PA);3009;4308;2618;6,17;6,42;7,03;30,99;33,39;35,45;3,65;39,79;25,57;728,9;;;
Brejo Grande (SE);3720;4022;2885;7,04;5,98;6,11;16,43;13,77;22,73;14,92;50,66;18;1257,8;;;
Brejolândia (BA);9093;1984;3635;5,29;5,45;5,28;40,97;40,05;38,76;2,94;37,14;18,94;700,09;;;
Brejo (MA);21019;12340;7551;5,68;4,5;4,24;25,47;22,4;13,54;8;36,01;30,52;988,33;;;
Brejo Santo (CE);17138;28055;17233;8,91;8,92;9,39;7,84;4,84;6,13;22,81;26,99;42,36;1217;;;
Breu Branco (PA);23185;29308;17552;7,36;6,11;5,68;12,83;17,59;21,79;34,2;31,49;21,48;1325,16;;;
Breves (PA);46300;46560;29301;5,03;4,8;4,6;7,38;7,48;6,84;7,15;56,11;29,35;1324,76;;;
Britânia (GO);966;4543;2589;12,78;12,49;11,93;36,16;37,66;39,65;6,27;23,9;33,68;1092,99;;;
Brochier (RS);2379;2296;2889;12,13;11,81;10,76;30;28,3;28,79;8,58;27,69;33,73;1195,97;;;
Brodowski (SP);510;20597;10935;16,49;15,08;14,99;10,55;7,16;9,63;20,66;18,56;50,23;1154,18;;;
Brotas de Macaúbas (BA);7599;3118;3856;4,29;4,26;4,11;7,64;8,43;8,5;6,4;52,42;33,53;1238,13;;;
Brotas (SP);2981;18599;10931;20,52;18,32;18,83;11,35;9,6;14,61;19,04;16,4;53,22;1353,92;;;
Brumadinho (MG);5331;28642;17206;62,39;30,54;26,62;0,88;1,52;2,01;65,59;7,79;25,74;1647,84;;;
Brumado (BA);19471;45131;29100;12,58;11,96;13,1;2,76;3,67;3,03;40,05;17,17;40,02;1119,27;;;
Brunópolis (SC);2145;705;1408;17,65;17,53;19,55;47,71;46,31;50,13;4,49;22,38;25,42;1058,31;;;
Brusque (SC);3478;102025;61111;34,56;29,13;27,67;0,06;0,07;0,06;43,51;10,17;46,26;1536,37;;;
Bueno Brandão (MG);5218;5674;5829;8,07;8,09;8,61;18,7;18,15;29,1;6,62;31,89;42,78;1014,74;;;
Buenópolis (MG);2525;7767;4638;7,52;7,32;7,07;20,32;19,22;21,51;4,92;35,84;38,92;798,52;;;
Buenos Aires (PE);4620;7917;4686;4,73;4,52;4,83;11,29;13,05;15,78;5,95;56,22;26,53;941,62;;;
Buerarema (BA);3328;15277;6118;9,56;8,13;6,11;7,02;8,9;10,34;5,32;24,9;62,77;874,04;;;
Bugre (MG);2461;1531;1410;5,62;5,29;5,32;20,75;14,39;18,11;6,53;50,03;22,69;747,86;;;
Buíque (PE);30910;21195;15941;4,49;4,35;4,33;14,58;14,59;13,97;2,19;56,97;26,26;754,12;;;
Bujari (AC);4778;3693;3194;11,15;11,43;11,09;47,55;51,6;51,25;2,72;38,93;10,8;942,96;;;
Bujaru (PA);17596;8099;8634;10,96;10,29;11,61;61,84;59,04;62,52;6,56;20,15;11,45;938,5;;;
Buri (SP);3571;14992;7079;15,52;13,2;12,97;35,22;29,04;32,91;7,22;19,11;38,45;1113,4;;;
Buritama (SP);892;14526;7784;18,15;27,46;20,56;8,25;4,87;8,37;34,99;16,63;40,13;1564,46;;;
Buriti Alegre (GO);642;8412;4478;17,17;22,42;20,99;32,1;24,73;34,67;9,54;18,21;40,16;986;;;
Buriti Bravo (MA);5885;17014;7130;4,11;4,02;4,31;18,81;15,04;12,34;9,51;45,55;26,13;817,95;;;
Buriticupu (MA);29448;35789;19669;4,92;4,85;4,57;17,9;20,59;13,94;5,96;38,85;37,29;1378,88;;;
Buriti de Goiás (GO);825;1735;1166;10,64;9,57;9,48;24,39;23,54;23,81;9,81;34,58;31,21;855,63;;;
Buriti dos Lopes (PI);8780;10294;6472;5,13;5,01;5,21;15,92;14,7;15,79;5,77;52,99;25,32;1309,24;;;
Buriti dos Montes (PI);5553;2421;2523;3,84;3,82;3,83;10,16;9,67;9,11;3,25;68,2;18,38;945,71;;;
Buriti do Tocantins (TO);2314;7454;3156;5,02;5,07;5,3;6,71;6,6;6,3;5,02;67,84;20,43;756,26;;;
Buriti (MA);18614;8399;7601;4,36;3,96;3,86;27,81;19,69;13,36;4,77;43,36;24,06;1581,79;;;
Buritinópolis (GO);1436;1885;1320;6,05;11,66;16,44;15,84;8,28;5,58;9,16;54,12;20,87;686,89;;;
Buritirama (BA);11695;7905;6863;3,72;3,77;3,6;9,63;10,6;13,07;3,87;60,63;25,87;954,49;;;
Buritirana (MA);10638;4146;5070;3,66;3,63;4,02;23,82;23,41;22,01;3,6;51,95;20,63;1066,75;;;
Buritis (MG);6637;16100;10201;18,28;17,84;18,1;38,74;37,74;45,36;7,46;16,35;37,45;1195,89;;;
Buritis (RO);14261;18122;15140;10,07;9,91;10,04;25,49;27,63;28,17;7,79;38,76;27,96;1064,09;;;
Buritizal (SP);747;3306;2050;51,71;48,97;50,38;14,82;9,79;15,38;11,02;8,88;65,28;1806,94;;;
Buritizeiro (MG);3292;23630;11875;8,91;7,89;10,15;36,82;27,88;43,25;4,52;30,47;28,19;1002,89;;;
Butiá (RS);1076;19330;8481;13,87;13,92;13,14;20,56;24,3;24,28;20,75;22,52;36,17;1237,69;;;
Caapiranga (AM);5835;5140;3275;8,42;7,88;7,65;44,48;44,88;43,97;4,46;38,22;12,84;772,72;;;
Caaporã (PB);2814;17548;7550;14,73;11,89;9,37;5,71;6,1;8,1;44,52;28,02;21,75;1203,37;;;
Caarapó (MS);7458;18309;11456;26,23;27,09;28,74;27,34;28,28;28,31;21,61;15,2;35,85;1285,48;;;
Caatiba (BA);6022;5398;4482;4,52;4,61;4,38;28,18;29,04;28,26;4,86;46,89;20,08;534,17;;;
Cabaceiras do Paraguaçu (BA);12683;4644;7694;4,74;4,25;4,55;19,19;17,55;28,84;5,85;50,88;24,09;902,01;;;
Cabaceiras (PB);2818;2217;1951;5,6;5,78;5,62;14,71;13,79;14,86;4,13;58,1;23,06;1114,84;;;
Cabeceira Grande (MG);1156;5297;2872;20,2;21,38;17,91;27,9;23,78;38,02;39,79;17,3;15;1234,33;;;
Cabeceiras do Piauí (PI);8271;1657;3474;3,66;3,58;3,7;9,35;8,49;8,71;3,42;67,18;20,05;820,86;;;
Cabeceiras (GO);1849;5505;3064;20,86;20,51;22,83;60,41;58,48;61,41;8,76;12,5;18,34;1133,66;;;
Cabedelo (PB);8;57936;25954;28,04;26,56;24,71;0,28;0,31;0,34;24,63;16,56;58,54;1559,08;;;
Cabixi (RO);3620;2693;2648;13,9;13,24;14,08;45,58;45,64;46,22;4,27;31,63;18,52;989,86;;;
Cabo de Santo Agostinho (PE);17242;167783;78917;31,3;29,08;28,87;0,26;0,55;0,45;39,22;12,42;48,11;1590,41;;;
Cabo Frio (RJ);45741;140486;90449;66,24;36,85;22,55;0,18;0,31;0,52;60,29;9,05;30,48;1259,42;;;
Cabo Verde (MG);6196;7627;7296;9,94;10,66;10,62;30,78;29,08;31,33;6,3;26,24;36,68;891,31;;;
Cabrália Paulista (SP);588;3777;2030;15,35;12,8;12,26;39,29;26,18;27,33;10,35;22,48;27,89;1063,4;;;
Cabreúva (SP);6343;35261;21333;67,39;61,44;58,24;0,89;0,94;0,79;32,07;5,44;61,6;1829,37;;;
Cabrobó (PE);11075;19798;11823;8,8;6,89;7,33;6,25;4,96;6,73;7,78;34,83;51,13;979;;;
Caçador (SC);6305;64457;34459;28,47;24,65;23,6;6;5,91;7,43;46,93;11,16;35,92;1483,34;;;
Caçapava do Sul (RS);8280;25410;15784;15,1;15,11;14,51;14,07;14,42;14,99;20,19;21,96;43,79;1242,81;;;
Caçapava (SP);12235;72517;39866;31,79;26,33;25,87;0,52;0,46;0,58;48,51;9,59;41,38;1928,54;;;
Cacaulândia (RO);3667;2069;2761;14,58;14,21;13,87;53,5;53,27;54,72;2,8;31,14;12,56;1401,31;;;
Cacequi (RS);1724;11952;5596;16,11;16,39;14,99;44,11;44,95;42,68;5,17;20,57;30,16;1159,97;;;
Cáceres (MT);11374;76568;38587;12,41;12,4;12,56;10,26;9,55;10,02;9,71;28,29;51,73;1709,94;;;
Cachoeira Alta (GO);2171;8382;5955;16,53;16,01;14,46;23,25;27,46;28,05;18,76;19,7;38,29;1280,13;;;
Cachoeira (BA);15639;16387;14214;9,83;9,42;9,92;7,7;6,69;7,82;35,57;21,5;35,23;1119,69;;;
Cachoeira da Prata (MG);126;3528;1852;8,76;7,07;6,69;7,18;4,16;4,84;13,28;41,87;37,67;884,4;;;
Cachoeira de Goiás (GO);246;1171;684;13,28;13,11;11,69;30,99;31,97;34,16;4,74;38,05;26,22;1020,37;;;
