Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Água Boa (MG);57,58;0,24;72,94;8160;7035;6473;5,93;5,8;25,29;25,62;5,12;4,37;22,41;7,87
Água Boa (MT);21,8;0,46;74,71;4097;16759;9551;26,5;24,49;26,15;25,97;9,57;9,17;47,24;10,01
Água Branca (AL);64,84;;68,7;14276;5101;7581;4,27;4,1;5,29;5,44;5,56;4,62;18,8;8,66
Água Branca (PB);43,92;;67,72;5388;4061;3091;5,09;5,07;4,37;3,95;9,11;9,65;60,83;7,87
Água Branca (PI);19,84;;70,79;1912;14539;6117;6,53;6,52;1,66;1,65;7,07;8,47;88,14;9,67
Água Clara (MS);33,54;0,15;74,4;4826;9598;7071;28,66;43,92;56,05;45,1;5,63;30,99;25,1;8,94
Água Comprida (MG);38,81;;76,58;505;1520;1070;37,55;31,19;54,42;49,31;5,53;5,52;10,08;8,5
Água Doce do Maranhão (MA);38,36;;66,81;8448;3133;2624;3,83;3,82;13,59;11,35;6,91;6,87;94,07;8,07
Água Doce do Norte (ES);51,92;3,21;74,13;5072;6699;4957;8,72;8,29;13,18;12,41;17,33;11,48;11,65;9,74
Água Doce (SC);49,04;0,08;74,2;3528;3433;3545;28,86;27,69;43,32;43,51;15,1;11,5;38,76;10,43
Água Fria (BA);60,93;;69,79;9954;5777;6227;4,25;4,52;12,2;10,83;5,59;10,76;32,94;7,56
Água Fria de Goiás (GO);55,26;1,85;74,01;2953;2137;2305;23,59;26,38;64,19;65,79;6,78;7,04;59,05;10,36
Aguaí (SP);27,26;0,26;76,49;3147;29001;15470;17,55;13,88;10,89;8,71;32,02;24,54;19,36;8,57
Água Limpa (GO);34,51;;74,24;587;1426;905;18,36;16,45;47,97;42,75;3,37;3,76;11,09;10,6
Aguanil (MG);36,78;0,19;75,7;1709;2345;1953;8,65;8,1;23,42;22,78;7,07;5,27;12,48;10,28
Água Nova (RN);39,23;;71,56;1072;1908;1119;5,35;5,42;4,45;3,62;2,99;3,89;63,9;10,52
Água Preta (PE);41,59;;70,64;14345;18750;8318;4,58;4,48;12,18;11,93;3,47;4,9;18,3;8,8
Água Santa (RS);52,57;0,5;76;2275;1447;2232;47,16;49,79;32,38;31,49;5,61;5,18;15,24;10,51
Águas Belas (PE);56,16;0,09;66,44;15671;24564;14497;4,96;4,85;6,08;11,57;2,87;2,83;24,18;7,51
Águas da Prata (SP);20,48;0,09;78,13;813;6771;3865;12,96;12,33;8,96;9,54;14,43;14,67;30,75;9,4
Águas de Chapecó (SC);43,63;0,34;73,66;2874;3236;3261;10,91;9,85;38,19;35;5,69;5,72;20,2;10,51
Águas de Lindóia (SP);7,74;0,45;75,76;155;17111;8550;16,11;18,54;1,67;1,3;8,73;16,37;17,06;9,92
Águas de Santa Bárbara (SP);23,21;0,73;75,41;1342;4259;2601;16,89;14,7;22,63;12,09;8,58;10,78;24,39;9,17
Águas de São Pedro (SP);2,22;;78,37;;2707;1353;30,68;28,82;0;0;7,58;8,3;32,55;10,83
Águas Formosas (MG);34,92;0,13;73,63;4161;14318;8060;7,61;7,39;6,51;5,84;8,74;8,39;30,31;9,11
Águas Frias (SC);50,5;;76,61;1443;981;1346;22,75;21,69;25,52;23,61;20,09;19,69;19,62;11,91
Águas Lindas de Goiás (GO);1,57;0,07;75,85;240;159138;73008;6,17;5,96;0,22;0,23;11,27;9,64;44,79;9,3
Águas Mornas (SC);37,42;;76,15;3221;2327;3448;19,07;16,35;28,15;29,51;23,28;16,41;80,7;10,29
Águas Vermelhas (MG);33,63;0,81;73,46;3781;8941;4585;9,14;9,05;12,59;10,14;6,41;5,25;41,28;7,72
Agudo (RS);55,44;;75,84;9833;6889;9804;19,77;18,09;29,92;27,98;20,05;19,56;43,83;7,95
Agudos do Sul (PR);42,12;0,26;72,41;5448;2822;4076;12,46;12,44;45,72;42,68;6,07;6,23;45,97;10,08
Agudos (SP);9,85;0,05;75,67;1531;32993;17044;45,64;52,29;3,24;1,83;55,07;65,27;20,35;10,03
Águia Branca (ES);54,17;3,21;72,53;6468;3051;5170;11,67;11,63;26,29;21,64;12,44;14,99;14,53;9,78
Aguiarnópolis (TO);17,17;0,93;73,21;1020;4142;1985;11,55;12,83;18,31;19,97;8,06;7,71;75,84;8,93
Aguiar (PB);46,62;;70,17;2829;2701;2182;5,33;5,16;11,43;12,33;3,84;5,37;81,44;9,36
Aimorés (MG);26,29;0,26;73,58;5259;19700;11157;11,72;11,17;12,4;10,3;19,73;24,9;6,02;9,32
Aiquara (BA);43,49;;69;1922;2680;1930;7,82;7,89;34,93;35,36;5,05;7,11;47,94;8,55
Aiuaba (CE);51,32;;69,96;12252;3951;5842;4,35;4,51;23,51;14,64;2,15;2,71;83,75;8,79
Aiuruoca (MG);36,35;0,26;77,23;3039;3123;3141;8,79;8,83;23,04;22;5,66;6,02;22,72;9,14
Ajuricaba (RS);51,75;;75,98;3147;4108;4336;21,11;23,28;34,3;35,36;6,54;7,79;4,43;11,1
Alagoa Grande (PB);42,22;;72,83;10948;17531;10389;5,8;5,69;7,19;6,95;5,18;6,5;24,86;7,78
