mun;ano;estabelecimentos
Mg-Conceicao do Rio Verde;2002;22
Mg-Conceicao dos Ouros;2002;71
Mg-Conego Marinho;2002;0
Mg-Confins;2002;10
Mg-Congonhal;2002;24
Mg-Congonhas;2002;49
Mg-Congonhas do Norte;2002;1
Mg-Conquista;2002;8
Mg-Conselheiro Lafaiete;2002;146
Mg-Conselheiro Pena;2002;28
Mg-Consolacao;2002;2
Mg-Contagem;2002;1419
Mg-Coqueiral;2002;5
Mg-Coracao de Jesus;2002;19
Mg-Cordisburgo;2002;5
Mg-Cordislandia;2002;3
Mg-Corinto;2002;32
Mg-Coroaci;2002;3
Mg-Coromandel;2002;40
Mg-Coronel Fabriciano;2002;117
Mg-Coronel Murta;2002;6
Mg-Coronel Pacheco;2002;4
Mg-Coronel Xavier Chaves;2002;8
Mg-Corrego Danta;2002;2
Mg-Corrego do Bom Jesus;2002;1
Mg-Corrego Fundo;2002;98
Mg-Corrego Novo;2002;2
Mg-Couto de Magalhaes de Minas;2002;3
Mg-Crisolita;2002;2
Mg-Cristais;2002;34
Mg-Cristalia;2002;2
Mg-Cristiano Otoni;2002;10
Mg-Cristina;2002;10
Mg-Crucilandia;2002;9
Mg-Cruzeiro da Fortaleza;2002;5
Mg-Cruzilia;2002;38
Mg-Cuparaque;2002;0
Mg-Curral de Dentro;2002;6
Mg-Curvelo;2002;144
Mg-Datas;2002;5
Mg-Delfim Moreira;2002;14
Mg-Delfinopolis;2002;2
Mg-Delta;2002;7
Mg-Descoberto;2002;26
Mg-Desterro de Entre Rios;2002;6
Mg-Desterro do Melo;2002;2
Mg-Diamantina;2002;57
Mg-Diogo de Vasconcelos;2002;1
Mg-Dionisio;2002;3
Mg-Divinesia;2002;4
Mg-Divino;2002;10
Mg-Divino das Laranjeiras;2002;4
Mg-Divinolandia de Minas;2002;3
Mg-Divinopolis;2002;1138
Mg-Divisa Alegre;2002;3
Mg-Divisa Nova;2002;6
Mg-Divisopolis;2002;4
Mg-Dom Bosco;2002;1
Mg-Dom Cavati;2002;5
Mg-Dom Joaquim;2002;2
Mg-Dom Silverio;2002;20
Mg-Dom Vicoso;2002;0
Mg-Dona Eusebia;2002;13
Mg-Dores de Campos;2002;67
Mg-Dores de Guanhaes;2002;4
