mun;ano;estabelecimentos
Mg-Cachoeira de Minas;2005;30
Mg-Cachoeira Dourada;2005;3
Mg-Caetanopolis;2005;26
Mg-Caete;2005;53
Mg-Caiana;2005;1
Mg-Cajuri;2005;1
Mg-Caldas;2005;48
Mg-Camacho;2005;1
Mg-Camanducaia;2005;66
Mg-Cambui;2005;96
Mg-Cambuquira;2005;23
Mg-Campanario;2005;4
Mg-Campanha;2005;70
Mg-Campestre;2005;40
Mg-Campina Verde;2005;25
Mg-Campo Azul;2005;0
Mg-Campo Belo;2005;189
Mg-Campo do Meio;2005;16
Mg-Campo Florido;2005;5
Mg-Campos Altos;2005;21
Mg-Campos Gerais;2005;33
Mg-Canaa;2005;2
Mg-Canapolis;2005;9
Mg-Cana Verde;2005;6
Mg-Candeias;2005;40
Mg-Cantagalo;2005;5
Mg-Caparao;2005;2
Mg-Capela Nova;2005;5
Mg-Capelinha;2005;35
Mg-Capetinga;2005;19
Mg-Capim Branco;2005;7
Mg-Capinopolis;2005;24
Mg-Capitao Andrade;2005;1
Mg-Capitao Eneas;2005;8
Mg-Capitolio;2005;30
Mg-Caputira;2005;2
Mg-Carai;2005;6
Mg-Caranaiba;2005;2
Mg-Carandai;2005;26
Mg-Carangola;2005;60
Mg-Caratinga;2005;114
Mg-Carbonita;2005;6
Mg-Careacu;2005;21
Mg-Carlos Chagas;2005;15
Mg-Carmesia;2005;0
Mg-Carmo da Cachoeira;2005;9
Mg-Carmo da Mata;2005;36
Mg-Carmo de Minas;2005;12
Mg-Carmo do Cajuru;2005;116
Mg-Carmo do Paranaiba;2005;50
Mg-Carmo do Rio Claro;2005;51
Mg-Carmopolis de Minas;2005;42
Mg-Carneirinho;2005;16
Mg-Carrancas;2005;4
Mg-Carvalhopolis;2005;5
Mg-Carvalhos;2005;3
Mg-Casa Grande;2005;1
Mg-Cascalho Rico;2005;1
Mg-Cassia;2005;48
Mg-Conceicao da Barra de Minas;2005;2
Mg-Cataguases;2005;155
Mg-Catas Altas;2005;2
Mg-Catas Altas da Noruega;2005;1
Mg-Catuji;2005;2
Mg-Catuti;2005;0
Mg-Caxambu;2005;45
Mg-Cedro do Abaete;2005;0
Mg-Central de Minas;2005;8
Mg-Centralina;2005;6
Mg-Chacara;2005;3
Mg-Chale;2005;3
Mg-Chapada do Norte;2005;2
Mg-Chapada Gaucha;2005;0
Mg-Chiador;2005;1
Mg-Cipotanea;2005;4
Mg-Claraval;2005;10
Mg-Claro dos Pocoes;2005;1
Mg-Claudio;2005;160
Mg-Coimbra;2005;7
Mg-Coluna;2005;5
Mg-Comendador Gomes;2005;0
Mg-Comercinho;2005;4
Mg-Conceicao da Aparecida;2005;5
Mg-Conceicao das Pedras;2005;4
Mg-Conceicao das Alagoas;2005;21
Mg-Conceicao de Ipanema;2005;2
Mg-Conceicao do Mato Dentro;2005;8
Mg-Conceicao do Para;2005;10
Mg-Conceicao do Rio Verde;2005;19
Mg-Conceicao dos Ouros;2005;88
Mg-Conego Marinho;2005;0
Mg-Confins;2005;19
Mg-Congonhal;2005;35
Mg-Congonhas;2005;43
Mg-Congonhas do Norte;2005;0
Mg-Conquista;2005;14
Mg-Conselheiro Lafaiete;2005;148
Mg-Conselheiro Pena;2005;31
Mg-Consolacao;2005;2
Mg-Contagem;2005;1518
Mg-Coqueiral;2005;10
Mg-Coracao de Jesus;2005;9
Mg-Cordisburgo;2005;7
Mg-Cordislandia;2005;2
Mg-Corinto;2005;38
Mg-Coroaci;2005;2
Mg-Coromandel;2005;44
Mg-Coronel Fabriciano;2005;116
Mg-Coronel Murta;2005;8
Mg-Coronel Pacheco;2005;6
Mg-Coronel Xavier Chaves;2005;10
Mg-Corrego Danta;2005;1
Mg-Corrego do Bom Jesus;2005;1
Mg-Corrego Fundo;2005;84
Mg-Corrego Novo;2005;1
Mg-Couto de Magalhaes de Minas;2005;5
Mg-Crisolita;2005;1
Mg-Cristais;2005;63
Mg-Cristalia;2005;1
Mg-Cristiano Otoni;2005;11
Mg-Cristina;2005;20
Mg-Crucilandia;2005;11
Mg-Cruzeiro da Fortaleza;2005;3
Mg-Cruzilia;2005;42
Mg-Cuparaque;2005;1
Mg-Curral de Dentro;2005;7
Mg-Curvelo;2005;141
Mg-Datas;2005;4
Mg-Delfim Moreira;2005;14
Mg-Delfinopolis;2005;3
Mg-Delta;2005;3
Mg-Descoberto;2005;26
Mg-Desterro de Entre Rios;2005;6
Mg-Desterro do Melo;2005;2
Mg-Diamantina;2005;49
Mg-Diogo de Vasconcelos;2005;1
Mg-Dionisio;2005;5
Mg-Divinesia;2005;8
Mg-Divino;2005;12
Mg-Divino das Laranjeiras;2005;1
Mg-Divinolandia de Minas;2005;2
Mg-Divinopolis;2005;1132
Mg-Divisa Alegre;2005;2
Mg-Divisa Nova;2005;6
Mg-Divisopolis;2005;3
Mg-Dom Bosco;2005;1
Mg-Dom Cavati;2005;4
Mg-Dom Joaquim;2005;1
Mg-Dom Silverio;2005;21
Mg-Dom Vicoso;2005;0
Mg-Dona Eusebia;2005;12
Mg-Dores de Campos;2005;82
Mg-Dores de Guanhaes;2005;6
Mg-Dores do Indaia;2005;41
Mg-Dores do Turvo;2005;4
Mg-Doresopolis;2005;2
Mg-Douradoquara;2005;2
Mg-Durande;2005;2
Mg-Eloi Mendes;2005;64
Mg-Engenheiro Caldas;2005;19
Mg-Engenheiro Navarro;2005;6
Mg-Entre Folhas;2005;1
Mg-Entre Rios de Minas;2005;19
Mg-Ervalia;2005;37
Mg-Esmeraldas;2005;52
Mg-Espera Feliz;2005;30
Mg-Espinosa;2005;31
Mg-Espirito Santo do Dourado;2005;5
Mg-Estiva;2005;15
Mg-Estrela Dalva;2005;0
Mg-Estrela do Indaia;2005;4
Mg-Estrela do Sul;2005;10
Mg-Eugenopolis;2005;37
Mg-Ewbank da Camara;2005;7
Mg-Extrema;2005;94
Mg-Fama;2005;3
Mg-Faria Lemos;2005;6
Mg-Felicio dos Santos;2005;0
Mg-Sao Goncalo do Rio Preto;2005;0
Mg-Felisburgo;2005;0
Mg-Felixlandia;2005;35
Mg-Fernandes Tourinho;2005;0
Mg-Ferros;2005;5
Mg-Fervedouro;2005;6
Mg-Florestal;2005;10
Mg-Formiga;2005;291
Mg-Formoso;2005;1
Mg-Fortaleza de Minas;2005;4
Mg-Fortuna de Minas;2005;10
Mg-Francisco Badaro;2005;1
Mg-Francisco Dumont;2005;11
Mg-Francisco Sa;2005;20
Mg-Franciscopolis;2005;1
Mg-Frei Gaspar;2005;1
Mg-Frei Inocencio;2005;5
Mg-Frei Lagonegro;2005;0
Mg-Fronteira;2005;8
Mg-Fronteira dos Vales;2005;0
Mg-Fruta de Leite;2005;0
Mg-Frutal;2005;94
Mg-Funilandia;2005;6
Mg-Galileia;2005;11
Mg-Gameleiras;2005;0
Mg-Glaucilandia;2005;0
Mg-Goiabeira;2005;3
Mg-Goiana;2005;6
Mg-Goncalves;2005;9
Mg-Gonzaga;2005;1
Mg-Gouveia;2005;29
Mg-Governador Valadares;2005;493
Mg-Grao Mogol;2005;6
Mg-Grupiara;2005;2
Mg-Guanhaes;2005;40
Mg-Guape;2005;28
Mg-Guaraciaba;2005;8
Mg-Guaraciama;2005;0
Mg-Guaranesia;2005;50
Mg-Guarani;2005;30
Mg-Guarara;2005;18
Mg-Guarda-Mor;2005;7
Mg-Guaxupe;2005;205
Mg-Guidoval;2005;60
Mg-Guimarania;2005;11
Mg-Guiricema;2005;16
Mg-Gurinhata;2005;7
Mg-Heliodora;2005;14
Mg-Iapu;2005;3
Mg-Ibertioga;2005;1
Mg-Ibia;2005;19
Mg-Ibiai;2005;2
Mg-Ibiracatu;2005;0
Mg-Ibiraci;2005;9
Mg-Ibirite;2005;107
Mg-Ibitiura de Minas;2005;8
Mg-Ibituruna;2005;2
Mg-Icarai de Minas;2005;0
Mg-Igarape;2005;46
Mg-Igaratinga;2005;63
Mg-Iguatama;2005;10
Mg-Ijaci;2005;21
Mg-Ilicinea;2005;20
Mg-Imbe de Minas;2005;1
Mg-Inconfidentes;2005;55
Mg-Indaiabira;2005;2
Mg-Indianopolis;2005;5
Mg-Ingai;2005;2
Mg-Inhapim;2005;17
Mg-Inhauma;2005;19
Mg-Inimutaba;2005;6
Mg-Ipaba;2005;9
Mg-Ipanema;2005;37
Mg-Ipatinga;2005;329
Mg-Ipiacu;2005;2
Mg-Ipuiuna;2005;13
Mg-Irai de Minas;2005;9
Mg-Itabira;2005;154
Mg-Itabirinha;2005;9
Mg-Itabirito;2005;97
Mg-Itacambira;2005;2
Mg-Itacarambi;2005;9
Mg-Itaguara;2005;38
Mg-Itaipe;2005;0
Mg-Itajuba;2005;214
Mg-Itamarandiba;2005;21
Mg-Itamarati de Minas;2005;12
Mg-Itambacuri;2005;13
Mg-Itambe do Mato Dentro;2005;0
Mg-Itamogi;2005;17
Mg-Itamonte;2005;36
Mg-Itanhandu;2005;47
Mg-Itanhomi;2005;11
Mg-Itaobim;2005;21
Mg-Itapagipe;2005;11
Mg-Itapecerica;2005;52
Mg-Itapeva;2005;21
Mg-Itatiaiucu;2005;23
Mg-Itau de Minas;2005;33
Mg-Itauna;2005;319
Mg-Itaverava;2005;5
Mg-Itinga;2005;10
Mg-Itueta;2005;10
Mg-Ituiutaba;2005;157
Mg-Itumirim;2005;3
Mg-Iturama;2005;29
Mg-Itutinga;2005;8
Mg-Jaboticatubas;2005;20
Mg-Jacinto;2005;1
Mg-Jacui;2005;11
Mg-Jacutinga;2005;348
Mg-Jaguaracu;2005;5
Mg-Jaiba;2005;5
Mg-Jampruca;2005;1
Mg-Janauba;2005;82
Mg-Januaria;2005;36
Mg-Japaraiba;2005;9
Mg-Japonvar;2005;0
Mg-Jeceaba;2005;2
Mg-Jenipapo de Minas;2005;0
Mg-Jequeri;2005;10
Mg-Jequitai;2005;2
Mg-Jequitiba;2005;9
Mg-Jequitinhonha;2005;12
Mg-Jesuania;2005;9
Mg-Joaima;2005;3
Mg-Joanesia;2005;0
Mg-Joao Monlevade;2005;120
Mg-Joao Pinheiro;2005;72
Mg-Joaquim Felicio;2005;5
Mg-Jordania;2005;0
Mg-Jose Goncalves de Minas;2005;0
Mg-Jose Raydan;2005;3
Mg-Josenopolis;2005;1
Mg-Nova Uniao;2005;5
Mg-Juatuba;2005;38
Mg-Juiz de Fora;2005;1240
Mg-Juramento;2005;1
Mg-Juruaia;2005;43
Mg-Juvenilia;2005;0
Mg-Ladainha;2005;3
Mg-Lagamar;2005;8
Mg-Lagoa da Prata;2005;120
Mg-Lagoa dos Patos;2005;1
Mg-Lagoa Dourada;2005;15
Mg-Lagoa Formosa;2005;35
Mg-Lagoa Grande;2005;7
Mg-Lagoa Santa;2005;83
Mg-Lajinha;2005;5
Mg-Lambari;2005;59
Mg-Lamim;2005;1
Mg-Laranjal;2005;21
Mg-Lassance;2005;6
Mg-Lavras;2005;194
Mg-Leandro Ferreira;2005;10
Mg-Leme do Prado;2005;2
Mg-Leopoldina;2005;99
Mg-Liberdade;2005;8
Mg-Lima Duarte;2005;35
Mg-Limeira do Oeste;2005;5
Mg-Lontra;2005;0
Mg-Luisburgo;2005;0
Mg-Luislandia;2005;1
Mg-Luminarias;2005;14
Mg-Luz;2005;44
Mg-Machacalis;2005;1
Mg-Machado;2005;89
Mg-Madre de Deus de Minas;2005;3
Mg-Malacacheta;2005;12
Mg-Mamonas;2005;1
Mg-Manga;2005;3
Mg-Manhuacu;2005;119
Mg-Manhumirim;2005;25
Mg-Mantena;2005;57
Mg-Maravilhas;2005;34
Mg-Mar de Espanha;2005;80
Mg-Maria da Fe;2005;23
Mg-Mariana;2005;32
Mg-Marilac;2005;1
Mg-Mario Campos;2005;6
Mg-Maripa de Minas;2005;14
Mg-Marlieria;2005;32
Mg-Marmelopolis;2005;7
Mg-Martinho Campos;2005;41
Mg-Martins Soares;2005;0
Mg-Mata Verde;2005;3
Mg-Materlandia;2005;0
Mg-Mateus Leme;2005;63
Mg-Matias Barbosa;2005;28
Mg-Matias Cardoso;2005;0
Mg-Matipo;2005;11
Mg-Mato Verde;2005;4
Mg-Matozinhos;2005;114
Mg-Matutina;2005;7
Mg-Medeiros;2005;1
Mg-Medina;2005;35
Mg-Mendes Pimentel;2005;3
Mg-Merces;2005;18
Mg-Mesquita;2005;3
Mg-Minas Novas;2005;11
Mg-Minduri;2005;7
Mg-Mirabela;2005;0
Mg-Miradouro;2005;6
Mg-Mirai;2005;37
Mg-Miravania;2005;1
Mg-Moeda;2005;8
Mg-Moema;2005;14
Mg-Monjolos;2005;2
Mg-Monsenhor Paulo;2005;19
Mg-Montalvania;2005;2
Mg-Monte Alegre de Minas;2005;18
Mg-Monte Azul;2005;12
Mg-Monte Belo;2005;13
Mg-Monte Carmelo;2005;107
Mg-Monte Formoso;2005;2
Mg-Monte Santo de Minas;2005;58
Mg-Montes Claros;2005;461
Mg-Monte Siao;2005;543
Mg-Montezuma;2005;4
Mg-Morada Nova de Minas;2005;8
Mg-Morro da Garca;2005;3
Mg-Morro do Pilar;2005;4
Mg-Munhoz;2005;4
Mg-Muriae;2005;445
Mg-Mutum;2005;22
Mg-Muzambinho;2005;58
Mg-Nacip Raydan;2005;1
Mg-Nanuque;2005;48
Mg-Naque;2005;2
Mg-Natalandia;2005;1
Mg-Natercia;2005;8
Mg-Nazareno;2005;8
Mg-Nepomuceno;2005;16
Mg-Ninheira;2005;2
Mg-Nova Belem;2005;1
Mg-Nova Era;2005;26
Mg-Nova Lima;2005;151
Mg-Nova Modica;2005;2
Mg-Nova Ponte;2005;14
Mg-Nova Porteirinha;2005;3
Mg-Nova Resende;2005;13
Mg-Nova Serrana;2005;832
Mg-Novo Cruzeiro;2005;2
Mg-Novo Oriente de Minas;2005;3
Mg-Novorizonte;2005;3
Mg-Olaria;2005;0
Mg-Olhos-D Agua;2005;9
Mg-Olimpio Noronha;2005;4
Mg-Oliveira;2005;93
Mg-Oliveira Fortes;2005;5
Mg-Onca de Pitangui;2005;2
Mg-Oratorios;2005;5
Mg-Orizania;2005;0
Mg-Ouro Branco;2005;70
Mg-Ouro Fino;2005;131
Mg-Ouro Preto;2005;73
Mg-Ouro Verde de Minas;2005;1
Mg-Padre Carvalho;2005;1
Mg-Padre Paraiso;2005;9
Mg-Paineiras;2005;9
Mg-Pains;2005;63
Mg-Pai Pedro;2005;0
Mg-Paiva;2005;1
Mg-Palma;2005;6
Mg-Palmopolis;2005;1
Mg-Papagaios;2005;202
Mg-Paracatu;2005;90
Mg-Para de Minas;2005;257
Mg-Paraguacu;2005;79
Mg-Paraisopolis;2005;20
Mg-Paraopeba;2005;89
Mg-Passabem;2005;0
Mg-Passa Quatro;2005;44
Mg-Passa Tempo;2005;11
Mg-Passa-Vinte;2005;1
Mg-Passos;2005;288
Mg-Patis;2005;0
Mg-Patos de Minas;2005;338
Mg-Patrocinio;2005;148
Mg-Patrocinio do Muriae;2005;24
Mg-Paula Candido;2005;12
Mg-Paulistas;2005;1
Mg-Pavao;2005;4
Mg-Pecanha;2005;43
Mg-Pedra Azul;2005;12
Mg-Pedra Bonita;2005;0
Mg-Pedra do Anta;2005;1
Mg-Pedra do Indaia;2005;8
Mg-Pedra Dourada;2005;1
Mg-Pedralva;2005;17
Mg-Pedras de Maria da Cruz;2005;0
Mg-Pedrinopolis;2005;2
Mg-Pedro Leopoldo;2005;159
Mg-Pedro Teixeira;2005;1
Mg-Pequeri;2005;13
Mg-Pequi;2005;4
Mg-Perdigao;2005;84
Mg-Perdizes;2005;23
Mg-Perdoes;2005;67
Mg-Periquito;2005;1
Mg-Pescador;2005;2
Mg-Piau;2005;6
Mg-Piedade de Caratinga;2005;3
Mg-Piedade de Ponte Nova;2005;5
Mg-Piedade do Rio Grande;2005;3
Mg-Piedade dos Gerais;2005;5
Mg-Pimenta;2005;11
Mg-Pingo-D Agua;2005;0
Mg-Pintopolis;2005;0
Mg-Piracema;2005;11
Mg-Pirajuba;2005;2
Mg-Piranga;2005;7
Mg-Pirangucu;2005;10
Mg-Piranguinho;2005;17
Mg-Pirapetinga;2005;14
Mg-Pirapora;2005;75
Mg-Pirauba;2005;46
Mg-Pitangui;2005;63
Mg-Piumhi;2005;64
Mg-Planura;2005;6
Mg-Poco Fundo;2005;47
Mg-Pocos de Caldas;2005;366
Mg-Pocrane;2005;3
Mg-Pompeu;2005;82
Mg-Ponte Nova;2005;106
Mg-Ponto Chique;2005;0
Mg-Ponto dos Volantes;2005;2
Mg-Porteirinha;2005;12
Mg-Porto Firme;2005;10
Mg-Pote;2005;6
Mg-Pouso Alegre;2005;307
Mg-Pouso Alto;2005;17
Mg-Prados;2005;29
Mg-Prata;2005;27
Mg-Pratapolis;2005;19
Mg-Pratinha;2005;0
Mg-Presidente Bernardes;2005;1
Mg-Presidente Juscelino;2005;7
Mg-Presidente Kubitschek;2005;0
Mg-Presidente Olegario;2005;13
Mg-Alto Jequitiba;2005;9
Mg-Prudente de Morais;2005;15
Mg-Quartel Geral;2005;5
Mg-Queluzito;2005;1
Mg-Raposos;2005;9
Mg-Raul Soares;2005;28
Mg-Recreio;2005;31
Mg-Reduto;2005;6
Mg-Resende Costa;2005;53
Mg-Resplendor;2005;27
Mg-Ressaquinha;2005;8
Mg-Riachinho;2005;3
Mg-Riacho dos Machados;2005;0
Mg-Ribeirao das Neves;2005;121
Mg-Ribeirao Vermelho;2005;6
Mg-Rio Acima;2005;12
Mg-Rio Casca;2005;26
Mg-Rio Doce;2005;3
Mg-Rio do Prado;2005;0
Mg-Rio Espera;2005;2
Mg-Rio Manso;2005;12
Mg-Rio Novo;2005;28
Mg-Rio Paranaiba;2005;18
Mg-Rio Pardo de Minas;2005;17
Mg-Rio Piracicaba;2005;5
Mg-Rio Pomba;2005;58
Mg-Rio Preto;2005;5
Mg-Rio Vermelho;2005;1
Mg-Ritapolis;2005;10
Mg-Rochedo de Minas;2005;8
Mg-Rodeiro;2005;49
Mg-Romaria;2005;6
Mg-Rosario da Limeira;2005;3
Mg-Rubelita;2005;2
Mg-Rubim;2005;3
Mg-Sabara;2005;122
Mg-Sabinopolis;2005;8
Mg-Sacramento;2005;68
Mg-Salinas;2005;48
Mg-Salto da Divisa;2005;5
Mg-Santa Barbara;2005;35
Mg-Santa Barbara do Leste;2005;3
Mg-Santa Barbara do Monte Verde;2005;3
Mg-Santa Barbara do Tugurio;2005;4
Mg-Santa Cruz de Minas;2005;25
Mg-Santa Cruz de Salinas;2005;1
Mg-Santa Cruz do Escalvado;2005;4
Mg-Santa Efigenia de Minas;2005;1
Mg-Santa Fe de Minas;2005;2
Mg-Santa Helena de Minas;2005;1
Mg-Santa Juliana;2005;13
Mg-Santa Luzia;2005;173
Mg-Santa Margarida;2005;5
Mg-Santa Maria de Itabira;2005;8
Mg-Santa Maria do Salto;2005;1
Mg-Santa Maria do Suacui;2005;17
Mg-Santana da Vargem;2005;9
Mg-Santana de Cataguases;2005;11
Mg-Santana de Pirapama;2005;4
Mg-Santana do Deserto;2005;12
Mg-Santana do Garambeu;2005;2
Mg-Santana do Jacare;2005;10
Mg-Santana do Manhuacu;2005;4
Mg-Santana do Paraiso;2005;25
Mg-Santana do Riacho;2005;2
Mg-Santana dos Montes;2005;1
Mg-Santa Rita de Caldas;2005;15
Mg-Santa Rita de Jacutinga;2005;5
Mg-Santa Rita de Minas;2005;10
Mg-Santa Rita de Ibitipoca;2005;4
Mg-Santa Rita do Itueto;2005;3
Mg-Santa Rita do Sapucai;2005;171
Mg-Santa Rosa da Serra;2005;1
Mg-Santa Vitoria;2005;22
Mg-Santo Antonio do Amparo;2005;12
Mg-Santo Antonio do Aventureiro;2005;10
Mg-Santo Antonio do Grama;2005;0
Mg-Santo Antonio do Itambe;2005;2
Mg-Santo Antonio do Jacinto;2005;1
Mg-Santo Antonio do Monte;2005;122
Mg-Santo Antonio do Retiro;2005;0
Mg-Santo Antonio do Rio Abaixo;2005;1
Mg-Santo Hipolito;2005;1
Mg-Santos Dumont;2005;66
Mg-Sao Bento Abade;2005;5
Mg-Sao Bras do Suacui;2005;10
Mg-Sao Domingos das Dores;2005;3
Mg-Sao Domingos do Prata;2005;24
Mg-Sao Felix de Minas;2005;1
Mg-Sao Francisco;2005;12
Mg-Sao Francisco de Paula;2005;12
Mg-Sao Francisco de Sales;2005;14
Mg-Sao Francisco do Gloria;2005;4
Mg-Sao Geraldo;2005;39
Mg-Sao Geraldo da Piedade;2005;0
Mg-Sao Geraldo do Baixio;2005;0
Mg-Sao Goncalo do Abaete;2005;4
Mg-Sao Goncalo do Para;2005;62
Mg-Sao Goncalo do Rio Abaixo;2005;8
Mg-Sao Goncalo do Sapucai;2005;45
Mg-Sao Gotardo;2005;50
Mg-Sao Joao Batista do Gloria;2005;22
Mg-Sao Joao da Lagoa;2005;3
Mg-Sao Joao da Mata;2005;7
Mg-Sao Joao da Ponte;2005;3
Mg-Sao Joao das Missoes;2005;0
Mg-Sao Joao Del Rei;2005;236
Mg-Sao Joao do Manhuacu;2005;4
Mg-Sao Joao do Manteninha;2005;20
Mg-Sao Joao do Oriente;2005;10
Mg-Sao Joao do Pacui;2005;0
Mg-Sao Joao do Paraiso;2005;18
Mg-Sao Joao Evangelista;2005;14
Mg-Sao Joao Nepomuceno;2005;174
Mg-Sao Joaquim de Bicas;2005;52
Mg-Sao Jose da Barra;2005;17
Mg-Sao Jose da Lapa;2005;25
Mg-Sao Jose da Safira;2005;7
Mg-Sao Jose da Varginha;2005;1
Mg-Sao Jose do Alegre;2005;4
Mg-Sao Jose do Divino;2005;0
Mg-Sao Jose do Goiabal;2005;6
Mg-Sao Jose do Jacuri;2005;1
Mg-Sao Jose do Mantimento;2005;0
Mg-Sao Lourenco;2005;110
Mg-Sao Miguel do Anta;2005;3
Mg-Sao Pedro da Uniao;2005;4
Mg-Sao Pedro dos Ferros;2005;13
Mg-Sao Pedro do Suacui;2005;4
Mg-Sao Romao;2005;0
Mg-Sao Roque de Minas;2005;4
Mg-Sao Sebastiao da Bela Vista;2005;10
Mg-Sao Sebastiao da Vargem Alegre;2005;3
Mg-Sao Sebastiao do Anta;2005;2
Mg-Sao Sebastiao do Maranhao;2005;1
Mg-Sao Sebastiao do Oeste;2005;16
Mg-Sao Sebastiao do Paraiso;2005;202
Mg-Sao Sebastiao do Rio Preto;2005;0
Mg-Sao Sebastiao do Rio Verde;2005;4
Mg-Sao Tiago;2005;53
Mg-Sao Tomas de Aquino;2005;10
Mg-Sao Thome das Letras;2005;115
Mg-Sao Vicente de Minas;2005;19
Mg-Sapucai-Mirim;2005;22
Mg-Sardoa;2005;0
Mg-Sarzedo;2005;19
Mg-Setubinha;2005;0
Mg-Sem-Peixe;2005;1
Mg-Senador Amaral;2005;0
Mg-Senador Cortes;2005;4
Mg-Senador Firmino;2005;16
Mg-Senador Jose Bento;2005;1
Mg-Senador Modestino Goncalves;2005;4
Mg-Senhora de Oliveira;2005;3
Mg-Senhora do Porto;2005;1
Mg-Senhora dos Remedios;2005;6
Mg-Sericita;2005;1
Mg-Seritinga;2005;3
Mg-Serra Azul de Minas;2005;1
Mg-Serra da Saudade;2005;0
Mg-Serra dos Aimores;2005;2
Mg-Serra do Salitre;2005;14
Mg-Serrania;2005;18
Mg-Serranopolis de Minas;2005;0
Mg-Serranos;2005;2
Mg-Serro;2005;18
Mg-Sete Lagoas;2005;511
Mg-Silveirania;2005;2
Mg-Silvianopolis;2005;16
Mg-Simao Pereira;2005;1
Mg-Simonesia;2005;3
Mg-Sobralia;2005;3
Mg-Soledade de Minas;2005;13
Mg-Tabuleiro;2005;9
Mg-Taiobeiras;2005;78
Mg-Taparuba;2005;7
Mg-Tapira;2005;3
Mg-Tapirai;2005;2
Mg-Taquaracu de Minas;2005;3
Mg-Tarumirim;2005;9
Mg-Teixeiras;2005;23
Mg-Teofilo Otoni;2005;185
Mg-Timoteo;2005;165
Mg-Tiradentes;2005;48
Mg-Tiros;2005;6
Mg-Tocantins;2005;62
Mg-Tocos do Moji;2005;3
Mg-Toledo;2005;6
Mg-Tombos;2005;17
Mg-Tres Coracoes;2005;140
Mg-Tres Marias;2005;38
Mg-Tres Pontas;2005;80
Mg-Tumiritinga;2005;2
Mg-Tupaciguara;2005;41
Mg-Turmalina;2005;34
Mg-Turvolandia;2005;6
Mg-Uba;2005;502
Mg-Ubai;2005;1
Mg-Ubaporanga;2005;10
Mg-Uberaba;2005;747
Mg-Uberlandia;2005;1079
Mg-Umburatiba;2005;1
Mg-Unai;2005;103
Mg-Uniao de Minas;2005;3
Mg-Uruana de Minas;2005;2
Mg-Urucania;2005;10
Mg-Urucuia;2005;0
Mg-Vargem Alegre;2005;6
Mg-Vargem Bonita;2005;2
Mg-Vargem Grande do Rio Pardo;2005;8
Mg-Varginha;2005;307
Mg-Varjao de Minas;2005;6
Mg-Varzea da Palma;2005;65
Mg-Varzelandia;2005;0
Mg-Vazante;2005;27
Mg-Verdelandia;2005;0
Mg-Veredinha;2005;0
Mg-Verissimo;2005;7
Mg-Vermelho Novo;2005;4
Mg-Vespasiano;2005;95
Mg-Vicosa;2005;161
Mg-Vieiras;2005;1
Mg-Mathias Lobato;2005;1
Mg-Virgem da Lapa;2005;8
Mg-Virginia;2005;9
Mg-Virginopolis;2005;7
Mg-Virgolandia;2005;1
Mg-Visconde do Rio Branco;2005;124
Mg-Volta Grande;2005;8
Mg-Wenceslau Braz;2005;6
Mg-Abadia dos Dourados;2006;11
Mg-Abaete;2006;40
Mg-Abre Campo;2006;11
Mg-Acaiaca;2006;5
Mg-Acucena;2006;1
Mg-Agua Boa;2006;6
Mg-Agua Comprida;2006;3
Mg-Aguanil;2006;8
Mg-Aguas Formosas;2006;3
Mg-Aguas Vermelhas;2006;3
Mg-Aimores;2006;36
Mg-Aiuruoca;2006;13
Mg-Alagoa;2006;2
Mg-Albertina;2006;6
Mg-Alem Paraiba;2006;56
Mg-Alfenas;2006;158
Mg-Alfredo Vasconcelos;2006;8
Mg-Almenara;2006;28
Mg-Alpercata;2006;14
Mg-Alpinopolis;2006;42
Mg-Alterosa;2006;17
Mg-Alto Caparao;2006;0
Mg-Alto Rio Doce;2006;4
Mg-Alvarenga;2006;0
Mg-Alvinopolis;2006;20
Mg-Alvorada de Minas;2006;1
Mg-Amparo do Serra;2006;0
Mg-Andradas;2006;168
Mg-Cachoeira de Pajeu;2006;11
Mg-Andrelandia;2006;15
Mg-Angelandia;2006;2
Mg-Antonio Carlos;2006;17
Mg-Antonio Dias;2006;7
Mg-Antonio Prado de Minas;2006;0
Mg-Aracai;2006;4
Mg-Aracitaba;2006;0
Mg-Aracuai;2006;34
Mg-Araguari;2006;264
Mg-Arantina;2006;0
Mg-Araponga;2006;6
Mg-Arapora;2006;7
Mg-Arapua;2006;1
Mg-Araujos;2006;110
Mg-Araxa;2006;219
Mg-Arceburgo;2006;22
Mg-Arcos;2006;123
Mg-Areado;2006;20
Mg-Argirita;2006;1
Mg-Aricanduva;2006;1
Mg-Arinos;2006;8
Mg-Astolfo Dutra;2006;94
Mg-Ataleia;2006;5
Mg-Augusto de Lima;2006;5
Mg-Baependi;2006;58
Mg-Baldim;2006;19
Mg-Bambui;2006;38
Mg-Bandeira;2006;1
Mg-Bandeira do Sul;2006;14
Mg-Barao de Cocais;2006;35
Mg-Barao de Monte Alto;2006;5
Mg-Barbacena;2006;179
Mg-Barra Longa;2006;1
Mg-Barroso;2006;43
Mg-Bela Vista de Minas;2006;7
Mg-Belmiro Braga;2006;10
Mg-Belo Horizonte;2006;5233
Mg-Belo Oriente;2006;17
Mg-Belo Vale;2006;11
Mg-Berilo;2006;3
Mg-Bertopolis;2006;0
Mg-Berizal;2006;4
Mg-Betim;2006;665
Mg-Bias Fortes;2006;5
Mg-Bicas;2006;56
Mg-Biquinhas;2006;4
